,京九线客运量,京包线客运量,京哈线客运量,京广线客运量,京沪线客运量,兰新线客运量,兰青、青藏线客运量,包兰线客运量,北同蒲线客运量,南同蒲线客运量,南昆线客运量,宝中线客运量,宝成、成渝线客运量,成昆线客运量,新石线客运量,沪昆线客运量,焦柳线客运量,石太线客运量,石德线客运量,襄渝线客运量,陇海线客运量,鹰厦线客运量
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,1530.0,0.0,13877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.0,197.0,0.0,4640.0,0.0
1994年,0.0,1504.0,0.0,13985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0,193.0,0.0,4935.0,0.0
1995年,0.0,1413.0,0.0,13299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,187.0,0.0,4674.0,0.0
1996年,0.0,1352.0,0.0,11362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,181.0,0.0,3882.0,0.0
1997年,0.0,1389.0,0.0,11634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,178.0,0.0,3735.0,0.0
1998年,1921.0,1425.0,0.0,12165.0,0.0,1302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,262.0,0.0,1356.0,996.0,221.0,0.0,3584.0,0.0
1999年,2220.0,1507.0,0.0,13233.0,0.0,1371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,264.0,0.0,0.0,968.0,249.0,0.0,3782.0,0.0
2000年,3858.0,1620.0,0.0,14222.0,0.0,1482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.0,276.0,5307.0,0.0,1002.0,275.0,0.0,3822.0,0.0
2001年,4209.0,1606.0,0.0,14352.0,0.0,1424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.0,286.0,12653.0,0.0,1057.0,292.0,0.0,3791.0,0.0
2002年,3785.0,1575.0,8514.0,10869.0,9260.0,1055.0,413.0,655.0,541.0,1245.0,387.0,74.0,2074.0,1203.0,288.0,5496.0,1800.0,814.0,491.0,1586.0,4759.0,654.0
2003年,3717.0,1404.0,7561.0,11510.0,8946.0,958.0,393.0,614.0,489.0,1166.0,408.0,78.0,2037.0,1159.0,284.0,5222.0,1601.0,698.0,453.0,1583.0,4507.0,644.0
2004年,4380.0,1604.0,8274.0,12814.0,10562.0,1105.0,375.0,546.0,533.0,1407.0,476.0,95.0,2361.0,1394.0,395.0,6071.0,1741.0,875.0,556.0,1817.0,5365.0,714.0
2005年,4661.0,1635.0,8465.0,12634.0,10892.0,1185.0,355.0,559.0,563.0,1264.0,301.0,89.0,2449.0,1446.0,453.0,6118.0,1492.0,577.0,571.0,1871.0,6122.0,696.0
2006年,5285.5809,1873.905,7830.3596,13122.9162,12785.6995,1322.2449,382.7613,651.9041,651.3978,1197.1056,285.9502,127.0718,2784.1416,1554.5958,538.0806,6042.5324,1428.3493,594.3264,621.7232,1949.7449,6794.7017,758.2581
2007年,6003.2302,1854.0315,5627.2027,13274.0304,13109.7788,1465.8263,551.5309,731.9971,785.0697,1390.2624,462.7352,150.4046,2476.0365,1585.8245,533.93,7648.0,1438.94,647.0697,628.6291,1907.3699,7200.7755,808.6048
2008年,6787.8619,1997.0502,6365.902,14465.2286,14526.601,1489.6607,545.7997,836.4514,947.1594,1588.5,533.8742,206.6522,2466.9045,1516.8678,580.0554,8203.6162,1513.0506,662.5808,692.5424,1927.4924,8151.3892,858.1954
2009年,6967.2993,2216.6023,7241.4507,14607.6971,14307.3166,1653.2857,635.4705,912.7578,1157.7848,1724.0529,595.9871,207.3662,2808.159,1478.8809,608.1062,8352.7202,1614.3249,461.2224,715.2646,1784.2901,8606.7279,780.0073
2010年,7034.6331,2343.7299,7657.2924,14966.804,12477.0718,1789.7879,712.5849,960.5584,1278.4179,1895.9047,285.7425,204.1336,3433.7753,1126.9198,615.5911,7339.2133,1724.6371,601.7496,583.5245,1704.8633,9328.9973,1069.3424
2011年,6805.3152,2244.0424,7485.8148,15849.909,8692.0897,2157.5346,767.5903,962.0185,1339.0873,2057.497,683.5903,193.4823,3424.2172,1633.7514,684.7815,9233.9373,1836.6675,920.8369,580.7926,1571.6007,9415.7774,1337.0997
2012年,6844.5688,2093.9864,7535.1426,15881.5391,7480.8835,2169.8724,780.0769,962.9852,1430.9649,2035.1488,656.9432,205.8022,3168.5535,1555.5182,803.1747,9401.703,1849.8126,967.1755,594.2695,1481.915,9407.7867,1390.0497
2013年,7520.2123,2486.0978,7259.8639,15489.4429,8217.7448,2468.8937,850.2674,1058.6525,1425.2466,2124.6402,0.0,0.0,3249.4491,1527.6009,0.0,10463.7217,1793.4927,1070.3865,636.8119,1510.6446,10046.2982,1464.0468
2014年,8405.0005,1475.486,8102.9957,15969.3927,8817.5512,2537.7271,891.917,1162.4339,1491.3758,1514.436,0.0,0.0,3376.3595,1184.3869,0.0,10863.7603,1756.082,1201.9311,664.8705,1582.0313,10473.5563,642.4209
