,公共厕所数量,市容环卫专用车辆设备,生活垃圾清运量,粪便清运量,道路清扫保洁面积
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,109629.0,60238.0,15509.3,3576.3,275972.54
2005年,114917.0,64205.0,15576.8,3804.6,310806.09
2006年,107331.0,66020.0,14841.3,2130.5,324768.0
2007年,112604.0,71609.0,15214.53,2506.29,379355.0
2008年,115306.0,76400.0,15437.7,2330.71,468545.0
2009年,118525.0,83756.0,15733.68,2140.96,447265.0
2010年,119327.0,90414.0,15804.8,1950.52,485033.0
2011年,120459.0,100340.0,16395.28,1962.86,630545.0
2012年,121941.0,112157.0,17080.87,1811.8,573507.0
2013年,122541.0,126552.0,17238.58,1682.41,646014.0
2014年,124410.0,141431.0,17860.18,1551.97,676093.0
