,城区面积,城市人口密度,城市建设用地面积,建成区面积,征用土地面积
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,,865.0,30781.28,30406.19,1612.56
2005年,,870.204448884,29636.83,32520.72,1263.5
2006年,,2238.1525496,31765.7,33659.8,1396.48
2007年,,2104.0,36351.65,35469.65,1216.03
2008年,178110.28,2080.0,39140.46,36295.3,1344.58
2009年,175463.61,2147.0,38726.92,38107.26,1504.69
2010年,178691.73,2209.0,39758.42,40058.01,1641.57
2011年,183618.02,2228.0,41860.61,43603.23,1841.72
2012年,183039.42,2307.0,45750.67,45565.76,2161.48
2013年,183416.05,2362.0,47108.5,47855.28,1831.57
2014年,184098.59,2419.0,49982.74,49772.63,1475.88
