,城市排水管道长度,城市桥梁,城市污水日处理能力,城市道路照明灯,道路长度,道路面积
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,,,,,,
2003年,,,,,,
2004年,21.88809,51092.0,7387.24,10531538.0,22.296375,352954.63
2005年,24.105567,52123.0,7989.74,12070195.0,24.701486,392166.47
2006年,26.1379,54643.0,9734.0,12837000.0,24.12,410900.0
2007年,29.1933,48100.0,10336.5,13949521.0,24.61721,423662.0
2008年,31.522,49840.0,11172.5,15104336.0,25.97397,452433.0
2009年,34.3892,51068.0,12183.9,16942776.0,26.91414,481947.0
2010年,36.9553,52548.0,13392.9,17739889.0,29.4443,521321.8
2011年,41.407399,53386.0,13304.1,19492076.0,30.889687,562523.18
2012年,43.907994,57601.0,13692.9,20622248.0,32.7081,607449.3
2013年,46.487782,59530.0,14652.7,21995472.0,33.630375,644154.75
2014年,51.11785,61872.0,15123.5,23019144.0,35.233333,683027.9
