,事业法人单位数,企业法人单位数,其他类型机构法人单位数,机关法人单位数,社会团体法人单位数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,,,,,
2005年,,,,,
2006年,,,,,
2007年,,,,,
2008年,,,,,
2009年,,,,,
2010年,726067.0,6517670.0,1058380.0,250257.0,202214.0
2011年,725000.0,7331200.0,1078009.0,249855.0,209665.0
2012年,729718.0,8286654.0,1134290.0,250271.0,215597.0
2013年,786297.0,8208273.0,1348671.0,250585.0,262742.0
2014年,828440.0,10617154.0,1701798.0,259357.0,294691.0
