,交通运输、仓储和邮政业硕士毕业研究与试验发展人员,信息传输、计算机服务和软件业硕士毕业研究与试验发展人员,农、林、牧、渔业硕士毕业研究与试验发展人员,制造业硕士毕业研究与试验发展人员,卫生、社会保障和社会福利业硕士毕业研究与试验发展人员,建筑业硕士毕业研究与试验发展人员,教育硕士毕业研究与试验发展人员,文化、体育和娱乐业硕士毕业研究与试验发展人员,水利、环境和公共设施管理业硕士毕业研究与试验发展人员,电力、燃气及水的生产和供应业硕士毕业研究与试验发展人员,硕士毕业研究与试验发展人员,科学研究、技术服务和地质勘查业硕士毕业研究与试验发展人员,租赁和商务服务业硕士毕业研究与试验发展人员,采矿业硕士毕业研究与试验发展人员,金融业硕士毕业研究与试验发展人员
1978年,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,
2009年,863.0,11538.0,1055.0,113845.0,26419.0,4293.0,168418.0,100.0,255.0,1726.0,432580.0,96699.0,2092.0,5221.0,56.0
2010年,,,,,,,,,,,495133.0,,,,
2011年,,,,,,,,,,,566434.0,,,,
2012年,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,
