,交通运输、仓储和邮政业本科毕业研究与试验发展人员,信息传输、计算机服务和软件业本科毕业研究与试验发展人员,农、林、牧、渔业本科毕业研究与试验发展人员,制造业本科毕业研究与试验发展人员,卫生、社会保障和社会福利业本科毕业研究与试验发展人员,建筑业本科毕业研究与试验发展人员,教育本科毕业研究与试验发展人员,文化、体育和娱乐业本科毕业研究与试验发展人员,本科毕业研究与试验发展人员,水利、环境和公共设施管理业本科毕业研究与试验发展人员,电力、燃气及水的生产和供应业本科毕业研究与试验发展人员,科学研究、技术服务和地质勘查业本科毕业研究与试验发展人员,租赁和商务服务业本科毕业研究与试验发展人员,采矿业本科毕业研究与试验发展人员,金融业本科毕业研究与试验发展人员
1978年,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,
2009年,2146.0,19947.0,4254.0,519380.0,29329.0,24524.0,137136.0,262.0,945095.0,882.0,4659.0,169803.0,9064.0,23608.0,101.0
2010年,,,,,,,,,1091322.0,,,,,,
2011年,,,,,,,,,1279139.0,,,,,,
2012年,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,
