,交通运输、仓储和邮政业研究与试验发展人员,信息传输、计算机服务和软件业研究与试验发展人员,农、林、牧、渔业研究与试验发展人员,制造业研究与试验发展人员,卫生、社会保障和社会福利业研究与试验发展人员,建筑业研究与试验发展人员,教育研究与试验发展人员,文化、体育和娱乐业研究与试验发展人员,水利、环境和公共设施管理业研究与试验发展人员,电力、燃气及水的生产和供应业研究与试验发展人员,研究与试验发展人员,科学研究、技术服务和地质勘查业研究与试验发展人员,租赁和商务服务业研究与试验发展人员,采矿业研究与试验发展人员,金融业研究与试验发展人员
1978年,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,
2009年,8254.0,90533.0,16798.0,1777395.0,179522.0,92535.0,458558.0,2128.0,3905.0,26042.0,3183687.0,389324.0,26300.0,110837.0,1556.0
2010年,,,,,,,,,,,3542244.0,,,,
2011年,,,,,,,,,,,4017578.0,,,,
2012年,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,
