,交通运输、仓储和邮政业博士毕业研究与试验发展人员,信息传输、计算机服务和软件业博士毕业研究与试验发展人员,农、林、牧、渔业博士毕业研究与试验发展人员,制造业博士毕业研究与试验发展人员,博士毕业研究与试验发展人员,卫生、社会保障和社会福利业博士毕业研究与试验发展人员,建筑业博士毕业研究与试验发展人员,教育博士毕业研究与试验发展人员,文化、体育和娱乐业博士毕业研究与试验发展人员,水利、环境和公共设施管理业博士毕业研究与试验发展人员,电力、燃气及水的生产和供应业博士毕业研究与试验发展人员,科学研究、技术服务和地质勘查业博士毕业研究与试验发展人员,租赁和商务服务业博士毕业研究与试验发展人员,采矿业博士毕业研究与试验发展人员,金融业博士毕业研究与试验发展人员
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,182,1086,350,16547,178843,10599,673,108403,24,55,254,39551,277,831,11
2010年,0,0,0,0,201728,0,0,0,0,0,0,0,0,0,0
2011年,0,0,0,0,231677,0,0,0,0,0,0,0,0,0,0
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
