,规模以上专用设备制造业工业企业新产品销售收入,规模以上交通运输设备制造业工业企业新产品销售收入,规模以上仪器仪表及文化、办公用机械制造业工业企业新产品销售收入,规模以上农副食品加工业企业新产品销售收入,规模以上化学原料及化学制品制造业工业企业新产品销售收入,规模以上化学纤维制造业工业企业新产品销售收入,规模以上医药制造业工业企业新产品销售收入,规模以上印刷业和记录媒介的复制工业企业新产品销售收入,规模以上塑料制品业工业企业新产品销售收入,规模以上家具制造业工业企业新产品销售收入,规模以上工业企业新产品销售收入,规模以上工艺品及其他制造业工业企业新产品销售收入,规模以上文教体育用品制造业工业企业新产品销售收入,规模以上有色金属冶炼及压延加工业企业新产品销售收入,规模以上有色金属矿采选业工业企业新产品销售收入,规模以上木材加工及木、竹、藤、棕、草制品业工业企业新产品销售收入,规模以上橡胶制品业工业企业新产品销售收入,规模以上水的生产和供应业工业企业新产品销售收入,规模以上烟草制品业工业企业新产品销售收入,规模以上煤炭开采和洗选业工业企业新产品销售收入,规模以上燃气生产和供应业工业企业新产品销售收入,规模以上电力、热力的生产和供应业工业企业新产品销售收入,规模以上电气机械及器材制造业工业企业新产品销售收入,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业新产品销售收入,规模以上石油加工、炼焦及核燃料加工工业企业新产品销售收入,规模以上石油和天然气开采业工业企业新产品销售收入,规模以上纺织业工业企业新产品销售收入,规模以上纺织服装、鞋、帽制造业工业企业新产品销售收入,规模以上通信设备、计算机及电子设备制造业其他工业企业新产品销售收入,规模以上通用设备制造业工业企业新产品销售收入,规模以上造纸及纸制品业工业企业新产品销售收入,规模以上金属制品业工业企业新产品销售收入,规模以上非金属矿物制品业工业企业新产品销售收入,规模以上非金属矿采选业工业企业新产品销售收入,规模以上食品制造业工业企业新产品销售收入,规模以上饮料制造业工业企业新产品销售收入,规模以上黑色金属冶炼及压延加工业企业新产品销售收入,规模以上黑色金属矿采选业工业企业新产品销售收入
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
