,大中型工业企业新产品产值,规模以上工业中外合作经营企业新产品产值,规模以上工业中外合资经营企业新产品产值,规模以上工业企业新产品产值,规模以上工业其他企业新产品产值,规模以上工业内资企业新产品产值,规模以上工业国有企业新产品产值,规模以上工业国有独资公司新产品产值,规模以上工业国有联营企业新产品产值,规模以上工业外商投资企业新产品产值,规模以上工业外商投资股份有限公司新产品产值,规模以上工业外资企业新产品产值,规模以上工业有限责任公司新产品产值,规模以上工业港、澳、台商合作经营企业新产品产值,规模以上工业港、澳、台商合资经营企业新产品产值,规模以上工业港、澳、台商投资企业新产品产值,规模以上工业港、澳、台商投资股份有限公司新产品产值,规模以上工业港、澳、台商独资经营企业新产品产值,规模以上工业私营企业新产品产值,规模以上工业联营企业新产品产值,规模以上工业股份合作企业新产品产值,规模以上工业股份有限公司新产品产值,规模以上工业集体企业新产品产值
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,
1996年,35683684.1,,,,,,,,,,,,,,,,,,,,,,
1997年,41392056.1,,,,,,,,,,,,,,,,,,,,,,
1998年,48483068.2,,,,,,,,,,,,,,,,,,,,,,
1999年,59876549.0,,,,,,,,,,,,,,,,,,,,,,
2000年,79973698.6,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,
2004年,205625718.0,,,230417447.0,,,,,,,,,,,,,,,,,,,
2005年,253823290.0,,,,,,,,,,,,,,,,,,,,,,
2006年,322619625.0,,,,,,,,,,,,,,,,,,,,,,
2007年,427637650.0,,,,,,,,,,,,,,,,,,,,,,
2008年,523942671.7,,,585227473.0,,,,,,,,,,,,,,,,,,,
2009年,587144048.6,,,681988049.0,,,,,,,,,,,,,,,,,,,
2010年,736062822.4,,,,,,,,,,,,,,,,,,,,,,
2011年,885826552.3,1409814.3,153884486.7,1008904580.5,4225855.6,661590500.3,78091561.2,49167119.3,1094092.8,248562255.4,10826197.1,82263726.9,255339267.9,510816.5,43940934.8,98746031.2,7218947.8,46354292.3,141786991.9,1937405.3,2922990.9,169244030.4,8042397.1
2012年,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,
