,专业公共卫生机构实际开放总床日数,专科医院实际开放总床日数,专科疾病防治院(所、站)实际开放总床日数,中医医院实际开放总床日数,中西医结合医院实际开放总床日数,临床检验中心实际开放总床日数,乡镇卫生院实际开放总床日数,其他医疗卫生机构实际开放总床日数,医院实际开放总床日数,卫生院实际开放总床日数,各类医疗卫生机构实际开放总床日数,基层医疗卫生机构实际开放总床日数,妇幼保健院(所、站)实际开放总床日数,护理院实际开放总床日数,民族医院实际开放总床日数,疗养院实际开放总床日数,社区卫生服务中心(站)实际开放总床日数,综合医院实际开放总床日数,街道卫生院实际开放总床日数,门诊部实际开放总床日数
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,
2010年,57107868.0,159775220.0,9683250.0,150213113.0,,730.0,345779967.0,13203364.0,1193243907.0,352323125.0,1672352895.0,408797756.0,47424618.0,,,13202634.0,53846520.0,863967042.0,6543158.0,2587231.0
2011年,61373398.0,172777947.0,10796301.0,166798815.0,13358742.0,730.0,356520425.0,13596645.0,1297094201.0,360029327.0,1794446284.0,422382040.0,50577097.0,2832184.0,4639453.0,13595915.0,59629062.0,936687060.0,3508902.0,2683136.0
2012年,68384126.0,193921233.0,11909924.0,192032007.0,17205708.0,,382442138.0,13169980.0,1456856660.0,385905915.0,1986683159.0,448272393.0,56474202.0,3845002.0,5045096.0,13169980.0,62322668.0,1044807614.0,3463777.0,
2013年,74591707.0,214656106.0,13053352.0,213152174.0,20147550.0,,396337881.0,12449463.0,1598950217.0,399496179.0,2148404431.0,462413044.0,61538355.0,5091191.0,6329659.0,12449463.0,62810315.0,1139573537.0,3158298.0,
2014年,77458421.0,235414471.0,12784056.0,233129982.0,23243356.0,,408440660.0,11692839.0,1733694710.0,411541055.0,2298714536.0,475868566.0,64674365.0,6775110.0,7518775.0,11692839.0,64217281.0,1227613016.0,3100395.0,
