,专业公共卫生机构入院人数,专科医院入院人数,专科疾病防治院(所、站)入院人数,中医医院入院人数,中西医结合医院入院人数,临床检验中心入院人数,乡镇卫生院入院人数,其他医疗卫生机构入院人数,医院入院人数,卫生院入院人数,各类医疗卫生机构入院人数,基层医疗卫生机构入院人数,妇幼保健院(所、站)入院人数,护理院入院人数,民族医院入院人数,疗养院入院人数,社区卫生服务中心(站)入院人数,综合医院入院人数,街道卫生院入院人数,门诊部入院人数
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,2123.0,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,1771.0,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,1958.0,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,1960.0,,,,,,,,,,,,,
1996年,,,,,,,1916.0,,,,,,,,,,,,,
1997年,,,,,,,1918.0,,,,,,,,,,,,,
1998年,,,,,,,1751.0,,,,,,,,,,,,,
1999年,,,,,,,1688.0,,,,,,,,,,,,,
2000年,,,,,,,1708.0,,,,,,,,,,,,,
2001年,,,,,,,1700.0,,,,,,,,,,,,,
2002年,,,,,,,1625.0,,3996.9323,,,,,,,,,,,
2003年,,,,,,,1608.0,,4158.9323,,,,,,,,,,,
2004年,,,,,,,1599.0,,4673.3415,,,,,,,,,,,
2005年,,,,,,,1622.0,,5108.0664,,,,,,,,,,,
2006年,,,,,,,1836.0,,5562.1907,,,,,,,,,,,
2007年,,,,,,,2662.0,,6487.1998,,,,,,,,,,,
2008年,,550.0,27.9045,888.694,,,3312.7226,,7392.0221,3355.0,11482.8056,,519.596,,,36.0,141.0,5871.6932,41.8519,11.8198
2009年,602.3397,641.132,30.1393,1034.3274,76.5424,,3807.7222,54.6313,8488.0298,3870.1071,13256.2637,4111.2629,572.2004,1.5543,21.4717,54.6313,224.7823,6713.002,62.3849,16.3661
2010年,654.6113,732.8438,32.6388,1167.7235,91.3493,,3630.38,45.3099,9523.7665,3676.9451,14173.5485,3949.8608,621.9725,2.1375,24.25,45.3099,261.594,7505.4624,46.5649,11.3114
2011年,720.5805,844.1212,38.2835,1349.2646,98.4419,,3448.7819,47.6598,10754.7387,3472.2137,15297.6533,3774.6743,682.297,2.4031,29.2112,47.6598,289.5122,8431.2967,23.4318,12.9381
2012年,824.9695,1004.0568,,1641.6838,129.7442,,3907.5,50.7833,12727.436,3931.0,17857.0984,4254.0,781.7065,2.9948,34.0941,50.7833,309.0,9914.8623,23.0,14.22
2013年,860.1517,1132.3731,54.1794,1826.6728,155.6275,,3937.1515,47.22,14007.4335,3958.0146,19215.4557,4300.4699,805.9723,4.1146,40.6633,47.22,322.1516,10847.9822,20.8631,20.3037
2014年,928.8865,1286.8436,55.4321,2010.5654,177.8587,,3732.6053,43.0064,15375.1386,3752.1456,20441.1818,4093.9652,873.4544,6.4801,49.2565,43.0064,321.0337,11844.1343,19.5403,21.0
