,专业公共卫生机构实际占用总床日数,专科医院实际占用总床日数,专科疾病防治院(所、站)实际占用总床日数,中医医院实际占用总床日数,中西医结合医院实际占用总床日数,临床检验中心实际占用总床日数,乡镇卫生院实际占用总床日数,其他医疗卫生机构实际占用总床日数,医院实际占用总床日数,卫生院实际占用总床日数,各类医疗卫生机构实际占用总床日数,基层医疗卫生机构实际占用总床日数,妇幼保健院(所、站)实际占用总床日数,护理院实际占用总床日数,民族医院实际占用总床日数,疗养院实际占用总床日数,社区卫生服务中心(站)实际占用总床日数,综合医院实际占用总床日数,街道卫生院实际占用总床日数,门诊部实际占用总床日数
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,
2010年,40989283.0,136971327.0,6429335.0,126318958.0,,,204151629.0,6629577.0,1034538275.0,208088614.0,1320399235.0,238242100.0,34559948.0,,,6629577.0,29364839.0,755716148.0,3936985.0,760787.0
2011年,45222310.0,150243775.0,7331208.0,144010075.0,11142668.0,,207217297.0,6879552.0,1147607486.0,209238537.0,1441778276.0,242068928.0,37891102.0,2283853.0,3446853.0,6879552.0,31892141.0,836480262.0,2021240.0,910390.0
2012年,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,
