,专用设备制造业能源消费总量,交通运输、仓储和邮政业能源消费总量,仪器仪表制造业能源消费总量,其他制造业能源消费总量,其他行业能源消费总量,其他采矿业能源消费总量,农、林、牧、渔、水利业能源消费总量,农副食品加工业能源消费总量,制造业能源消费总量,化学原料及化学制品制造业能源消费总量,化学纤维制造业能源消费总量,医药制造业能源消费总量,印刷业和记录媒介的复制能源消费总量,塑料制品业能源消费总量,家具制造业能源消费总量,工业能源消费总量,废弃资源综合利用业能源消费总量,建筑业能源消费总量,开采辅助活动能源消费总量,批发、零售业和住宿、餐饮业能源消费总量,文教体育用品制造业能源消费总量,有色金属冶炼及压延加工业能源消费总量,有色金属矿采选业能源消费总量,木材加工及木、竹、藤、棕、草制品业能源消费总量,橡胶制品业能源消费总量,橡胶和塑料制品业能源消费总量,水的生产和供应业能源消费总量,汽车制造业能源消费总量,烟草制品业能源消费总量,煤炭开采和洗选业能源消费总量,燃气生产和供应业能源消费总量,生活消费能源消费总量,电力、热力的生产和供应业能源消费总量,电力、煤气及水生产和供应业能源消费总量,电气机械及器材制造业能源消费总量,皮革、毛皮、羽毛及其制品和制鞋业能源消费总量,石油加工、炼焦及核燃料加工业能源消费总量,石油和天然气开采业能源消费总量,纺织业能源消费总量,纺织服装、服饰业能源消费总量,能源消费总量,通信设备、计算机及其他电子设备制造业能源消费总量,通用设备制造业能源消费总量,造纸及纸制品业能源消费总量,酒、饮料和精制茶制造业能源消费总量,采掘业能源消费总量,金属制品、机械和设备修理业能源消费总量,金属制品业能源消费总量,铁路、船舶、航空航天和其他运输设备制造业能源消费总量,非金属矿物制品业能源消费总量,非金属矿采选业能源消费总量,食品制造业能源消费总量,黑色金属冶炼及硣延加工业能源消费总量,黑色金属矿采选业能源消费总量
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,866.58395154,11241.5923051,156.697966964,1375.45388285,5761.57658006,228.021274952,3913.76521768,1717.36205596,80771.9650454,14326.132661,1883.87387119,941.619852845,204.550928215,696.392720464,101.138758226,103773.853849,0.0,2178.53288173,,3047.6311694,122.754450682,4079.30361751,425.25809029,360.660273774,687.980288477,,616.420443303,1502.37794103,303.982516556,5286.08006891,605.088863659,16695.0470827,10812.3228779,12033.8321849,648.346588401,203.861077418,7220.12221391,3963.58376833,3014.36967629,348.429025697,146964.0,692.892375873,1251.008752,2269.29754216,800.453895667,10968.0566189,,1210.42149017,,13768.0787546,690.456136426,1055.54883354,18962.2690823,374.657279957
2001年,866.345335306,11613.109629,163.744535877,1364.19657768,5931.57437708,211.434270882,4115.19743826,1763.61461053,83158.3615987,14626.2708927,1882.09867213,1010.75252524,226.462155573,733.86298922,112.564233012,107137.598039,0.0,2255.01706028,,3170.22940308,144.325933108,4309.47568482,453.500349268,391.921113967,750.257870079,,615.341908815,1652.50525377,314.631705996,5440.29595693,551.37248568,,11372.5040405,12539.218435,673.405435564,217.598299085,7694.15260646,4215.30300962,3150.72227152,380.123101051,155547.0,742.550809061,1324.637288,2334.01559313,794.629934889,11440.0180052,,1375.658419,,13370.5110411,728.879758133,1060.03267348,19727.2940373,390.604660361
2002年,882.676434448,12313.22,185.970903797,1410.94877673,6240.93036289,194.723421474,4331.18322651,1916.74580727,88181.3010203,16264.7207451,2100.88776192,1016.82049598,223.330275347,769.671118395,104.888596122,113600.444588,0.0,2409.57496382,,3373.17317708,171.272211379,4818.73786095,467.77343776,400.249288131,748.646791251,,575.488241402,1816.28746452,312.052941572,5132.79791883,593.598631123,,12564.5394998,13733.6263723,810.009346062,239.542609456,8019.1453352,4680.62614832,3484.02469012,404.53381796,169577.0,854.343569511,1468.11920664,2635.04786801,842.276433631,11685.5171958,,1613.56391903,,12888.5315363,758.672055899,1138.46875406,20639.7864614,450.924213531
2003年,1029.15174414,14116.1942876,213.480241756,1365.28104965,7152.84412565,232.593391219,4954.60182154,1803.62434489,102841.73,19046.6774541,1826.17734325,1181.98250942,390.167410216,876.569965949,124.42334732,131167.92,40.0362161136,2720.66072685,,3914.93183839,156.359143205,5883.28528817,604.60100112,500.586761138,831.080160639,,568.088795737,1810.43419649,308.700746416,6193.69718101,557.23488223,,14013.2693042,15138.5929822,953.389476939,267.950243997,9124.40354549,4677.96247299,3929.82284522,443.275194623,197083.0,1085.3733675,1639.45315239,2760.60108713,867.262110631,13187.6015024,,1798.96248317,,15628.5183585,885.604069268,1012.56700367,25942.0976166,593.143386782
2004年,1228.10257988,16642.2055441,177.161514199,1191.9474245,8242.82074675,75.3354289699,5697.35107445,2074.14277257,122998.632827,21568.0412875,1352.57921411,1128.22875881,348.672867379,1182.58510518,117.076675308,152506.508847,31.5206159212,3114.6012239,,4484.09083772,189.88937785,6651.16066832,646.115164748,619.697681575,948.240444953,,666.2635247,2197.3255765,262.889702266,7180.21552162,553.361093142,,15105.6217478,16325.2463656,1157.45278045,297.61639579,12372.8914685,3637.69200256,4882.54356245,506.616791071,230281.0,1299.32094943,1784.38139063,3396.20296521,966.466413597,13182.6296542,,2037.490646,,20495.8971018,923.010561852,1133.52677426,31398.9633209,720.2609744
2005年,1314.7067294,18391.01,197.446840093,1330.44645987,9254.56144833,101.676115484,6071.06171081,2207.27612487,137140.400709,23848.6943187,1382.8222839,1203.58033622,280.698486653,1486.34388454,133.120531122,168723.525613,34.975288098,3403.30986857,,4847.7514358,198.365943612,7403.80224956,680.666904448,754.767827098,1137.05397709,,698.759224022,2043.12829681,257.082538558,7522.44680513,643.193426312,27572.9003516,16326.4995414,17668.4521918,1213.19993033,323.711425355,11923.5722017,3710.91637902,5281.32393498,577.423351381,261369.0,1482.63928771,2149.71467124,3574.91319694,992.063302003,13914.6727131,,2271.0778993,,21310.4572386,927.83966592,1281.73939499,39544.2527578,971.126843144
2006年,1438.18690529,20284.23,232.819927285,1349.93068953,10275.978999,133.165146643,6330.70640659,2360.77353264,151274.666171,25995.3582893,1465.04575849,1255.97908543,303.62351343,1604.91287851,149.323198996,184945.451267,51.4880034659,3760.72902999,,5314.04622466,202.845353851,8861.83243267,738.01830117,843.102963304,1246.94816686,,756.416083398,2247.85196775,255.375100557,7672.90218939,663.113224167,27765.1619148,18004.1214975,19423.6508051,1353.04130705,364.14572553,12498.7224634,3586.78952782,6108.5926992,661.67860766,286467.0,1754.04682913,2406.23049747,3791.56207427,1081.59600585,14247.1342908,,2632.41483175,,22637.6435698,978.208058646,1389.67078806,44729.9230043,1138.05106709
2007年,1579.44,21959.18,260.9,1323.74,11158.19,125.27,6228.4,2537.65,164951.1,28621.16,1575.02,1261.41,327.08,1652.49,152.86,200531.38,50.64,4127.52,,5689.38,210.09,10867.61,828.89,893.67,1305.16,,796.48,2467.64,249.03,8269.88,650.79,30813.9,18892.27,20339.53,1557.01,387.67,13445.3,3651.26,6528.3,711.44,311442.0,1994.99,2649.23,3643.36,1098.77,15240.74,,2852.64,,23111.66,1035.12,1448.62,50186.53,1330.32
2008年,1630.28,22917.25,284.97580919,1401.71557489,11771.3361774,184.79,6013.13,2731.34,172106.52,28961.1329496,1448.57816226,1360.49285736,349.806052793,1852.36701999,181.801019114,209302.15,56.8445942909,3812.53,,5733.58078577,219.761519381,11287.99,863.14,981.91,1335.83469779,,834.110983027,2732.58,232.6,9356.17,634.599668362,31898.3223911,18676.4796176,20145.190269,1791.1,388.73,13747.0088912,4210.04,6396.38,725.34,320611.0,2197.44,2758.11,3998.65190364,1161.85,17050.44,,3023.79,,25460.52,1028.27,1544.66,51862.92,1408.03
2009年,1671.52,23691.84,291.92,1413.73,12689.81,253.16,6251.18,2795.37,180595.966029,28946.07,1436.85,1354.58,357.48,1894.96,183.81,219197.16,61.11,4562.02,,6412.26,214.62,11401.37,832.89,1049.09,1344.72,,874.91,3031.9,233.8,10206.55,566.25,33843.0,19574.86,21016.02,1854.48,384.48,15328.29,3945.9,6251.01,713.08,336126.0,2216.28,2985.24,4101.0,1191.44,17585.17,,3037.78,,26882.28,1095.77,1563.34,56404.37,1250.9
2010年,1851.2,26068.47,346.47,1505.08,13680.5,213.52,6477.3,2644.27,189414.85,31353.93,1440.91,1427.68,390.97,2097.51,209.66,232018.82,77.49,5309.3,,6826.82218592,210.84,12841.45,954.16,1035.62,1461.17,,970.36,3748.85,228.89,10574.43,650.11,36469.6317324,22584.11,24204.58,2121.53,392.19,16044.66,4057.55,6204.53,748.42,360648.0,2525.15,3270.81,3961.92,1130.42,18399.39,,3627.75,,27473.24,1026.38,1508.52,57533.71,1573.35
2011年,1887.0465368,28535.5,318.389391565,1641.89391467,15189.1515212,282.695347848,6758.5617375,2663.78793538,200403.37,34713.14,1530.39927561,1523.16261887,389.601846169,2016.72733741,201.99453892,246440.96,89.2921010767,5872.16,,7795.37922075,232.757214892,13991.1278885,1146.53018455,1097.30686404,1521.16153138,,1036.08143712,3995.63240674,272.308946416,11566.4657064,604.70946892,39583.6629271,24372.1432368,26012.9341429,2276.47810999,371.366569929,17057.01,3934.35649115,6269.05006329,753.436781034,387043.0,2623.38776527,3823.12842875,3983.5067873,1197.40507814,20024.6637621,,3533.37116323,,30014.96,1173.91396119,1517.96564475,58896.5767765,1920.70207097
2012年,1781.83895308,31524.7092792,311.260438342,1616.47094941,16580.7708005,305.197840547,6784.43021921,2750.5465249,205667.693195,36995.5438926,1557.9952472,1608.63054786,400.025021231,,199.407132822,252462.780888,107.356391305,6167.37060672,,8545.85879422,280.455319569,14829.0117881,1180.81974919,1152.63820627,,,1115.29262799,2760.6697578,247.418244108,12339.1163747,693.637139774,42305.8386981,23809.2394454,25618.1692132,2329.07460091,574.227368441,18115.4435182,3807.88650657,6357.00966187,861.08837261,402138.0,2666.74979369,3465.89286053,3846.1401946,1180.08564345,21176.91848,,3854.34383916,,29400.923485,1216.99735198,1621.31918976,59668.1020391,1842.98046217
2013年,1914.13721557,34819.0224254,,,19762.5940623,365.216807858,8054.79716128,3904.81559359,239053.39771,44081.4560926,1909.22267484,2179.1135175,448.29802958,,247.052661533,291130.63433,169.458711212,7016.97031669,,10598.1571767,,16617.3365435,1280.19229118,1521.85417161,,,1160.90181065,,255.724310334,14179.9929251,697.087588431,45530.8401352,26294.8221832,28152.8115823,2606.11425681,,19255.1298637,4088.42214297,7365.72111939,,416913.015607,2801.58912277,3571.02585858,4152.99814179,,23924.4250377,,4704.49410784,,36561.0234536,1380.16075905,1890.20747433,68838.8898084,2223.58580309
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426000.0,,,,,,,,,,,,,
