,中间消费(用于加工转换),交通运输、仓储和邮政业石油消费总量,供热中间消费石油,其他行业石油消费总量,农、林、牧、渔、水利业石油消费总量,出口石油量(-),制气中间消费石油,发电中间消费石油,工业石油消费总量,工业终端石油消费量,年初年末石油库存差额,建筑业石油消费总量,批发、零售业和住宿、餐饮业石油消费总量,炼油损失量,生活消费石油总量,石油可供量,石油平衡差额,石油损失量,石油生产量,石油终端消费量,石油能源消费总量,进口石油量
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,2352.92,6398.99364244,426.97,1635.86,788.505,2172.14,25.88,1178.15,11248.52,8859.99,-1244.98,840.57,247.03,721.92,1336.45,22631.37,135.445,192.89,16300.0,19950.115,22495.925,9748.49
2001年,2291.99,6587.89868315,438.66,1673.71,838.608,2046.68,22.76,1213.55,11227.16,8898.39,-262.67,933.83,252.41,617.02,1374.81,23204.67,316.242,189.34,16395.87,20407.098,22888.428,9118.15
2002年,2606.76,7041.68103696,420.7,1698.6,922.378,2139.19,18.91,1275.57,12309.41,9674.28,94.94,1046.6,273.02,891.58,1497.47,24925.09,135.932,190.24,16700.0,21992.158,24789.158,10269.34
2003年,2901.36,7916.74279386,417.97,1756.39,1057.53,2540.84,20.93,1491.57,13196.4624662,10268.71,-68.24,1190.56,272.33,970.89,1735.75,27540.510001,414.740001,161.9,16959.98,24062.51,27125.77,13189.61
2004年,3488.18,9549.58715259,418.47,2001.6778,1231.427324,2240.58,10.51,1864.07,14968.767547,11455.597547,-521.854281,1392.31,348.715561,1195.13,2208.047453,32116.20572,415.664903,149.71,17587.32,28062.650817,31700.540817,17291.32
2005年,2895.98418,10928.496181,429.05,1974.1836,1451.6948057,2888.08,14.39,1306.42418,14030.40486,11107.528602,128.760851,1502.1886,375.639226,1146.12,2284.433456,32539.125251,-7.8974187,155.42,18135.29,29495.6184897,32547.0226697,17163.15
2006年,3062.106958,11849.1703339,427.76371,2077.61395,1540.2023111,2626.19,13.39,1343.677198,14804.2834015,11707.478889,-373.31296,1648.50564,392.210426,1277.27605,2564.230063,34930.029341,53.8231289,199.9504,18476.57,31614.1488541,34876.2062121,19452.96
2007年,2601.1972,12906.6540478,430.1,2215.9498,1399.92144,2664.27,4.9628,884.0128,14905.1308463,12269.2493622,-458.01907,1823.059362,426.912849,1282.1216,2981.11365715,36648.880931,-9.86278931401,199.9504,18631.82,33857.5961203,36658.7437203,21139.35
2008年,2397.60286816,13279.439942,413.78,2353.778288,1265.7800564,2945.65,2.028818,618.12024,15603.0916318,13170.7933178,-1795.0,1517.48,366.42,1363.67381016,2916.86941535,37318.79313,15.9387843258,202.3504,19043.96,34702.9010775,37302.8543457,23015.45
2009年,2505.9,13548.5,383.3,2296.3,1308.1,3916.6,0.3,501.2,15692.9,13153.7,-2211.9,1942.3,429.7,1621.1,3166.8,38462.8,78.3,188.7,18949.0,35689.9,38384.5,25642.4
2010年,2663.25,15079.2536346,593.12,2578.2347773,1382.50267981,4079.0,0.0,385.33,18555.0111879,15857.76,-1481.19,2483.10985139,481.00802659,1684.8,3541.90557587,44178.43,77.4037323709,194.4,20301.4,41243.3762676,44101.0262676,29437.22
2011年,2469.5,16021.0,525.67,2880.47309007,1466.26353397,4117.038,0.0,319.76,18005.0,15463.9,-2105.0,2521.8,499.977712029,1624.1,3983.93092109,45659.222,280.686244867,181.74,20287.55,42727.3,45378.5357551,31593.6
2012年,2534.57,17863.6337847,493.52,3067.78685802,1537.90514079,3884.294,0.0,292.39,17753.235822,15160.37,-2087.64,2740.7275546,542.386247443,1748.66,4291.57491014,47864.676,67.4136549205,182.04,20747.8,45080.6523451,47797.2623451,33088.81
2013年,2295.69,18967.5849981,448.22,3349.72080184,1650.26871432,4176.66,0.0,265.08,17594.635822,15235.44,-1086.1,3090.62829285,565.376595178,1582.39,4752.41527368,49993.9,23.2666169151,216.12,20991.85,47458.8233831,49970.6333831,34264.81
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
