,专用设备制造业汽油消费总量,交通运输、仓储和邮政业汽油消费总量,仪器仪表制造业汽油消费总量,其他制造业汽油消费总量,其他行业汽油消费总量,其他采矿业汽油消费总量,农、林、牧、渔、水利业汽油消费总量,农副食品加工业汽油消费总量,制造业汽油消费总量,化学原料及化学制品制造业汽油消费总量,化学纤维制造业汽油消费总量,医药制造业汽油消费总量,印刷业和记录媒介的复制汽油消费总量,塑料制品业汽油消费总量,家具制造业汽油消费总量,工业汽油消费总量,废弃资源综合利用业汽油消费总量,建筑业汽油消费总量,开采辅助活动汽油消费总量,批发、零售业和住宿、餐饮业汽油消费总量,文教体育用品制造业汽油消费总量,有色金属冶炼及压延加工业汽油消费总量,有色金属矿采选业汽油消费总量,木材加工及木、竹、藤、棕、草制品业汽油消费总量,橡胶制品业汽油消费总量,橡胶和塑料制品业汽油消费总量,水的生产和供应业汽油消费总量,汽油消费总量,汽车制造业汽油消费总量,烟草制品业汽油消费总量,煤炭开采和洗选业汽油消费总量,燃气生产和供应业汽油消费总量,生活消费汽油消费总量,电力、热力的生产和供应业汽油消费总量,电力、煤气及水生产和供应业汽油消费总量,电气机械及器材制造业汽油消费总量,皮革、毛皮、羽毛及其制品和制鞋业汽油消费总量,石油加工、炼焦及核燃料加工业汽油消费总量,石油和天然气开采业汽油消费总量,纺织业汽油消费总量,纺织服装、服饰业汽油消费总量,通信设备、计算机及其他电子设备制造业汽油消费总量,通用设备制造业汽油消费总量,造纸及纸制品业汽油消费总量,酒、饮料和精制茶制造业汽油消费总量,采掘业汽油消费总量,金属制品、机械和设备修理业汽油消费总量,金属制品业汽油消费总量,铁路、船舶、航空航天和其他运输设备制造业汽油消费总量,非金属矿物制品业汽油消费总量,非金属矿采选业汽油消费总量,食品制造业汽油消费总量,黑色金属冶炼及硣延加工业汽油消费总量,黑色金属矿采选业汽油消费总量
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,34.119454376,1527.78219775,3.39948067512,16.2041912181,792.67,17.3373514431,89.157,34.0401331602,528.754597357,51.0488681381,4.30600885515,10.2211052299,6.8102929525,13.7339019275,3.96606078764,681.98,0.0,115.55,,69.84,2.54961050634,12.4874256799,5.86976996571,3.68277073138,9.6885199241,,2.32297846133,3504.55919775,22.6971993076,34.0401331602,36.3177852126,1.94903558707,227.58,28.1698402077,32.4418542561,18.1532268052,5.67713272745,16.6308232631,45.3830670129,39.6766130697,7.94345317754,9.06528180033,23.8190279304,13.620585905,11.3542654549,120.783548387,,20.4195472552,,51.7387642731,9.06528180033,13.620585905,34.0401331602,6.8102929525
2001年,32.9380412037,1564.36868315,3.76499951411,17.6270431797,804.3,16.9082705452,93.42,36.3607680347,556.154791876,57.0568562729,4.05022675002,11.808407567,7.03940818244,12.9493165106,4.0730449289,705.14,0.0,116.7,,69.04,3.11468141622,12.7781801691,5.59045382398,4.56363577468,9.1729079071,,2.85227235917,3597.56868315,21.3349972466,34.2272683101,35.2883136277,1.82545430987,244.6,27.649541965,32.327268634,19.9887246931,5.63609018172,17.6229522853,43.6169489165,42.2706763629,9.32122606977,10.6674986233,24.7577240776,13.9190891128,10.6674986233,116.65793949,,24.5523604678,,54.0676748405,9.35545333808,14.603634479,35.2198590911,5.89849923877
2002年,31.2258868283,1603.49680412,3.44302900618,14.6925297194,866.29,17.3628657473,101.551,34.839362815,567.334824853,62.5313155809,4.13618006023,12.1017356158,7.39739895388,13.2721382152,4.397532097,717.64,0.0,112.32,,74.22,3.24985576161,12.522171501,5.53384530036,3.40893961008,9.42003645586,,2.7726042162,3749.31780412,22.4876382945,34.7030052306,34.2030274211,1.67038040894,273.8,27.5719860517,32.0149706768,20.6695371691,5.46566650816,18.1432905373,44.4298462514,40.2709399271,9.15868441908,11.0222380726,25.1579743224,17.7833016326,9.61320970043,118.29020447,,22.4762751625,,63.2926454272,9.7382041528,14.9766080203,35.4756982089,7.02241559677
2003年,24.2384738795,1915.14081649,6.39177653852,5.76329667611,877.0,14.6474689275,116.5,21.7429077693,496.37436733,45.1789333993,3.02317407458,13.5602762269,6.26816678571,9.96390021021,4.56333588875,632.88,0.0,113.66,,78.09,2.78817427282,11.9374733917,4.99278592635,3.0728955792,8.93949138532,,3.46728124426,4072.02081649,21.5116993783,27.973592756,33.0429308102,1.1049628025,338.75,25.8105586968,30.3828027436,23.1376776351,4.05497442167,22.6832504735,39.0689189481,26.2425282464,9.30533391311,11.7602676121,28.6532488839,19.1011377654,8.1943882112,106.122829926,,21.986712249,,59.1429969144,8.38916135711,8.34706044609,36.8472223462,5.98156395706
2004年,23.6587044762,2334.4556258,5.35199981183,7.33151929021,986.9378,0.0323120894247,134.091,16.0714354782,403.892871482,45.7201265319,0.740002047979,7.67002122702,5.8900163008,14.8000409596,2.28000630999,507.4,0.405509122259,156.49,,119.803456,3.3300092159,7.06071654075,3.07000849634,3.43000949266,9.75002673443,,3.8403186282,4695.7173298,28.4600787642,0.928769570399,17.7859669465,1.63000451109,456.539448,27.2307346977,32.701057837,20.6911742635,4.05001120853,25.1000694099,36.5637461913,21.2600588379,7.95002200193,10.4111128131,30.3688690468,8.88002457575,8.04651326898,70.8060706813,,19.9176311227,,34.4061812202,6.58339721976,7.8000215868,22.1321902515,6.77063973796
2005年,15.8424231595,2430.05258985,3.45335331574,6.87310007019,998.2012,0.0191321513338,159.5920487,13.239448723,364.254377187,42.1385633126,1.09722887899,7.33718003649,6.63959884028,11.9671606593,2.73589764073,441.71,0.313480299604,172.14,,129.386,3.70207128308,6.14142057814,3.30029610507,4.72487609338,9.12777188353,,2.9463513054,4854.91035255,34.9161761841,0.746153902016,14.609567165,2.36282068972,523.828514,20.2526247388,25.5617967339,20.6244591378,4.30042931604,20.8740449538,25.7136113926,16.740632417,9.2781367893,10.550424853,26.2110473272,8.05463571151,6.9276007583,51.8938260787,,17.142407595,,24.0265792116,3.65267189615,7.35631218783,21.1717620683,4.59854736864
2006年,17.7346993566,2592.35850482,3.83054490366,7.26274034378,1064.11,0.0212808050203,167.7482023,14.9619381473,411.394348292,48.277102249,1.34249958471,8.1611887253,7.38526503729,13.5281151799,3.04315511791,498.5,0.348685990258,180.747,,123.3412,4.11783577143,6.89944979564,3.73077516952,5.25550760782,10.2731490175,,3.2453227656,5242.54556012,39.6142185453,0.829951395793,17.0444272515,2.66010062754,615.740653,21.7664211207,27.6718445139,23.2497583028,4.78339294845,23.1960774722,29.4594440057,18.9931184806,10.3201263946,11.8952251782,29.6299245348,9.10525418185,7.7056112731,59.4338071937,,19.3784031994,,26.7249060803,4.06288854134,8.31584378366,25.2306596933,5.11499142055
2007年,20.7623684152,2613.18770517,4.65601558803,5.61795297119,1119.67,0.0223895835985,172.78044,15.7414893198,436.65543856,44.9990212419,1.88066511987,10.2614931783,7.10992708692,14.2282376964,3.20171045459,524.5,0.340264637118,178.825,,131.729252,3.69773574397,7.25405037549,3.92515708242,5.52933156549,10.9053812803,,3.24878881887,5519.09239607,41.2714261731,0.873193760342,18.3169013054,2.62133098472,778.3999989,19.0595768138,24.9296966174,23.201968027,5.03261865335,24.4046461224,30.9943483671,19.9827033617,10.8578285661,13.3907440766,33.8751921352,9.5796587345,7.38571884454,62.9148648222,,23.7548089413,,31.5649335123,4.27457431995,8.74911825039,26.5452347272,5.38149416371
2008年,21.603,3090.43090306,5.151,5.8425,1121.93,0.04,160.43898,17.5848,492.78252,51.7545,2.04,11.32992,8.1795,17.138,4.025,586.10852,0.3774,196.185568002,,135.28,4.23,6.996,4.386,7.89,13.731,,3.51,6145.5158746,46.46,0.88,22.36,2.1,855.141903545,21.99,27.6,26.6805,6.05,20.0475,27.84,22.4845,12.579,16.126,40.51,11.96,9.14,65.726,,29.38,,38.027,5.14,9.8674,24.718,5.96
2009年,28.3,2881.59473457,6.85,8.18,1069.93,0.03,168.05983155,32.98,571.16,49.8,1.61,12.07,8.77,18.24,7.84,671.07,0.69,235.429022802,,147.52284,4.43,10.14,7.64,7.94,11.06,,5.04,6172.68505589,42.74,0.75,21.21,2.88,999.078626965,26.53,34.45,35.6,9.22,39.81,25.04,26.25,17.18,19.25,50.48,12.83,10.39,65.46,,31.13,,36.95,5.08,14.16,15.52,6.46
2010年,29.51,3204.93,7.26,7.73,1166.22,0.32,169.07,38.93,590.92,48.2,1.55,12.16,8.33,23.21,8.23,689.46,0.73,274.7,,168.18,4.08,10.35,7.59,9.29,10.81,,4.38,6886.21,49.21,0.72,20.11,3.2,1213.65,24.64,32.22,36.48,8.4,36.18,24.2,26.96,17.83,20.31,54.03,11.32,9.55,66.32,,32.95,,37.47,6.4,15.74,13.4,7.7
2011年,25.24,3373.51949252,5.59,6.02,1313.1678862,0.02,185.975009593,32.7,504.66,45.15,1.33,10.39,6.02,15.6,5.7,604.81,0.61,282.77472217,,177.139820404,3.14,9.05,9.22,7.99,8.24,,3.53,7395.95161576,48.09,0.85,22.52,2.98,1458.56468488,25.23,31.74,29.24,6.85,41.44,22.46,21.2,13.59,15.28,48.15,8.81,8.77,68.41,,22.94,,33.72,6.06,11.83,11.13,8.13
2012年,24.88,3753.02625103,4.97,1.84,1460.50532303,0.08,192.856084948,31.08,489.14,42.72,1.1,11.38,6.18,,5.28,581.06,0.64,286.874955641,,200.061713164,7.71,7.71,8.04,7.47,,,3.5,8140.9047867,37.63,0.86,16.33,2.64,1666.52045889,27.76,33.9,27.96,7.94,40.82,14.24,16.89,17.03,13.92,39.23,9.05,8.58,58.02,,22.88,,33.16,5.32,10.48,13.89,6.32
2013年,26.77,4381.8040994,,,1818.67804952,0.08,198.718909931,32.98,437.57,39.47,1.03,11.46,6.29,,5.27,523.38,0.63,326.463699519,,220.86,,7.83,7.15,7.66,,,3.57,9366.35415447,,0.74,14.41,2.92,1896.4493961,27.28,33.77,27.97,,4.34,13.92,15.45,,13.83,34.73,8.29,,52.04,,22.86,,33.15,5.43,12.59,13.96,5.54
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
