,专用设备制造业汽油消费总量,交通运输、仓储和邮政业汽油消费总量,仪器仪表制造业汽油消费总量,其他制造业汽油消费总量,其他行业汽油消费总量,其他采矿业汽油消费总量,农、林、牧、渔、水利业汽油消费总量,农副食品加工业汽油消费总量,制造业汽油消费总量,化学原料及化学制品制造业汽油消费总量,化学纤维制造业汽油消费总量,医药制造业汽油消费总量,印刷业和记录媒介的复制汽油消费总量,塑料制品业汽油消费总量,家具制造业汽油消费总量,工业汽油消费总量,废弃资源综合利用业汽油消费总量,建筑业汽油消费总量,开采辅助活动汽油消费总量,批发、零售业和住宿、餐饮业汽油消费总量,文教体育用品制造业汽油消费总量,有色金属冶炼及压延加工业汽油消费总量,有色金属矿采选业汽油消费总量,木材加工及木、竹、藤、棕、草制品业汽油消费总量,橡胶制品业汽油消费总量,橡胶和塑料制品业汽油消费总量,水的生产和供应业汽油消费总量,汽油消费总量,汽车制造业汽油消费总量,烟草制品业汽油消费总量,煤炭开采和洗选业汽油消费总量,燃气生产和供应业汽油消费总量,生活消费汽油消费总量,电力、热力的生产和供应业汽油消费总量,电力、煤气及水生产和供应业汽油消费总量,电气机械及器材制造业汽油消费总量,皮革、毛皮、羽毛及其制品和制鞋业汽油消费总量,石油加工、炼焦及核燃料加工业汽油消费总量,石油和天然气开采业汽油消费总量,纺织业汽油消费总量,纺织服装、服饰业汽油消费总量,通信设备、计算机及其他电子设备制造业汽油消费总量,通用设备制造业汽油消费总量,造纸及纸制品业汽油消费总量,酒、饮料和精制茶制造业汽油消费总量,采掘业汽油消费总量,金属制品、机械和设备修理业汽油消费总量,金属制品业汽油消费总量,铁路、船舶、航空航天和其他运输设备制造业汽油消费总量,非金属矿物制品业汽油消费总量,非金属矿采选业汽油消费总量,食品制造业汽油消费总量,黑色金属冶炼及硣延加工业汽油消费总量,黑色金属矿采选业汽油消费总量
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
