,中间消费(用于加工转换),交通运输、仓储和邮政业煤消费总量,供热中间消费煤,其他行业煤消费总量,农、林、牧、渔、水利业煤消费总量,出口煤量(-),制气中间消费煤,发电中间消费煤,工业煤消费总量,工业终端煤消费量,年初年末煤库存差额,建筑业煤消费总量,批发、零售业和住宿、餐饮业煤消费总量,洗选损耗煤,炼油及煤制油中间消费煤,炼焦中间消费煤,煤平衡差额,煤炭可供量,煤炭生产量,煤终端消费量,煤能源消费总量,生活消费煤总量,进口煤量
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,81987.41,882.24,8794.07,1495.08,1050.923,5506.47,959.99,55811.2,121806.65,36628.04,-1235.32,536.82,1460.98,3191.2,0.0,16496.4,-3795.113,131894.54,138418.45,50511.043,135689.653,8456.96,217.88
2001年,90288.33,841.28,8951.49,1164.73,899.748,9012.87,1002.07,59797.86,131446.25,41157.92,1148.87,504.98,1260.87,2650.54,0.0,17936.37,-4973.438,139554.67,147152.65,54239.778,144528.108,8410.25,266.02
2002年,99028.12,851.96,8973.73,1267.06,936.023,8389.56,973.2,68600.03,139042.35,40014.23,-1131.43,513.55,1259.08,1917.46,0.0,18624.72,-5637.883,146644.78,155040.03,53254.543,152282.663,8412.64,1125.74
2003年,120187.27,958.3334,10895.45,1450.62,1078.331,9402.89,1054.81,81976.47,166207.477214,46020.21,-504.93,527.15,1360.42,2699.3,0.0,23639.86,-5895.2244,174691.82,183489.87,60399.7744,180587.0444,9004.71,1109.77
2004年,135102.25,827.99,11546.56,1630.97047,1425.8344,8666.36,1316.43,91961.56,191864.98,56762.73,-161.95615,571.5344,1471.786548,3883.89,0.0,26149.58,-2267.128411,205294.16385,212261.08,72459.042261,207561.292261,9768.196443,1861.4
2005年,152207.692676,811.1722,13541.9962762,2727.25426,1801.73,7173.11,1276.96,103662.94,224766.052861,67776.2595,3544.5689,603.5557678,2626.700758,4782.10725,0.0,33445.6764,-7867.754357,235507.6889,236514.6,86385.6433308,243375.443257,10038.970845,2621.63
2006年,177532.840266,769.9331058,14561.4334155,1802.89894747,1502.60251566,6327.2584,1257.075,118763.913249,238510.226723,60977.395341,997.8709423,651.993404557,1791.455934,5279.30489843,0.0,37450.094799,-3729.20804211,251336.252542,252855.12,77532.6203187,255065.460584,10036.3410702,3810.52
2007年,193069.267598,735.9,15394.21104,2043.4316,1519.572405,5318.72,1491.8425,130548.79898,256202.772038,63133.5055553,-3403.6083343,615.33543,1868.27476,5754.622728,0.0,39658.9931,-7202.36856095,265543.531666,269164.27,79676.6326287,272745.900227,9760.6128783,5101.59
2008年,200006.736704,665.41,15029.2247015,1791.56256,1522.573405,4543.42,1227.209875,135351.715103,265574.196032,65567.4651128,-4629.56594194,603.1816,1791.389,6757.84536062,0.0,41461.6573928,-6034.8552176,275061.074058,280200.0,81089.1925718,281095.923491,9147.610894,4034.06
2009年,212132.6,640.9,15359.7,1986.1,1582.1,2239.6,1150.7,143967.3,279888.5,67755.9,-6360.6,635.6,1977.9,7765.5,0.0,43691.7,5450.7,301283.8,297300.0,83700.5,295833.1,9121.9,12584.0
2010年,222947.937,639.23,17553.08,3411.59250851,2147.14812742,1910.64,1040.05,153742.48,329728.493344,95545.9227122,-3663.41,730.57826877,3192.04598003,11234.6227,213.42,49950.3642,6569.33915456,355577.59,342844.73,114825.691145,349008.250845,9159.17354849,18306.91
2011年,256533.957729,645.85,16834.17,2112.2,1756.63150692,1465.78,870.47,175578.53,326229.970811,69696.0196027,-7782.54,781.808796371,2211.71130423,9723.376465,345.72,52959.87904,17611.3,360561.49,351600.0,86416.2826405,342950.240369,9212.0,18209.81
2012年,266015.900105,614.26,23779.7,3883.19175712,2266.11797197,927.48,848.6,183530.99,391191.217981,98421.3495768,-3772.04,766.664377894,3751.99863383,26753.9762554,378.03,56768.4471032,6927.50940066,418654.41,394512.81,118957.024239,411726.900599,9253.44192157,28841.12
2013年,282355.34606,615.41,22709.53,4135.5580249,2450.56845009,750.78,845.58,195177.38,403157.007736,98222.4583048,-4368.4,811.384391812,3966.17685886,22579.2034852,459.27,62535.5502087,588.849473917,425014.79,397432.2,119491.390981,424425.940526,9289.83495013,32701.77
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
