,专用设备制造业柴油消费总量,交通运输、仓储和邮政业柴油消费总量,仪器仪表制造业柴油消费总量,其他制造业柴油消费总量,其他行业柴油消费总量,其他采矿业柴油消费总量,农、林、牧、渔、水利业柴油消费总量,农副食品加工业柴油消费总量,制造业柴油消费总量,化学原料及化学制品制造业柴油消费总量,化学纤维制造业柴油消费总量,医药制造业柴油消费总量,印刷业和记录媒介的复制柴油消费总量,塑料制品业柴油消费总量,家具制造业柴油消费总量,工业柴油消费总量,废弃资源综合利用业柴油消费总量,建筑业柴油消费总量,开采辅助活动柴油消费总量,批发、零售业和住宿、餐饮业柴油消费总量,文教体育用品制造业柴油消费总量,有色金属冶炼及压延加工业柴油消费总量,有色金属矿采选业柴油消费总量,木材加工及木、竹、藤、棕、草制品业柴油消费总量,柴油消费总量,橡胶制品业柴油消费总量,橡胶和塑料制品业柴油消费总量,水的生产和供应业柴油消费总量,汽车制造业柴油消费总量,烟草制品业柴油消费总量,煤炭开采和洗选业柴油消费总量,燃气生产和供应业柴油消费总量,生活消费柴油消费总量,电力、热力的生产和供应业柴油消费总量,电力、煤气及水生产和供应业柴油消费总量,电气机械及器材制造业柴油消费总量,皮革、毛皮、羽毛及其制品和制鞋业柴油消费总量,石油加工、炼焦及核燃料加工业柴油消费总量,石油和天然气开采业柴油消费总量,纺织业柴油消费总量,纺织服装、服饰业柴油消费总量,通信设备、计算机及其他电子设备制造业柴油消费总量,通用设备制造业柴油消费总量,造纸及纸制品业柴油消费总量,酒、饮料和精制茶制造业柴油消费总量,采掘业柴油消费总量,金属制品、机械和设备修理业柴油消费总量,金属制品业柴油消费总量,铁路、船舶、航空航天和其他运输设备制造业柴油消费总量,非金属矿物制品业柴油消费总量,非金属矿采选业柴油消费总量,食品制造业柴油消费总量,黑色金属冶炼及硣延加工业柴油消费总量,黑色金属矿采选业柴油消费总量
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,13.6170894214,3293.81144468,10.3979193454,20.9782583285,638.7,12.7693746347,697.098,39.7064056108,1138.97201052,123.404769141,10.4079193454,7.17874926943,7.70454704851,42.2935943892,2.57533606078,1696.46,0.0,205.86,,95.94,12.200654588,44.0897077732,13.7070894214,6.97486849795,6806.22944468,8.25180596143,,2.8006779661,51.2984570427,4.29222676797,54.4576271186,7.17874926943,178.36,258.02,267.999427236,25.8280654588,15.5501461134,74.18,166.620146113,46.3113676213,14.6901461134,37.8213676213,33.2799707773,24.1750087668,10.7505669199,289.488562244,,39.8574810053,,319.330146113,29.3902922268,17.8754354179,73.95,12.5440327294
2001年,12.2393285688,3421.0,11.2789432979,22.7812320076,673.89,12.507343063,742.948,34.1176481288,1207.05972916,131.642167972,11.1538889446,7.81708941436,8.50992939087,47.8327882729,3.01516305982,1799.81,0.0,223.08,,98.07,15.5293285688,46.6858456625,13.396055628,7.59374400252,7157.968,7.91708941436,,2.68014494207,57.0267382306,3.96438106014,56.7885673365,8.48712564988,199.17,269.919520918,281.08679151,26.8263588319,18.5690882399,78.5298832729,180.304078859,48.7721378955,16.1925423583,46.3723553086,29.0320635625,24.6430973489,12.2793285688,311.663479326,,45.6629694505,,330.410210109,35.1103679409,18.6343237708,82.0300644505,13.5570664986
2002年,12.2568995709,3664.8111569,12.563870222,26.1034685852,740.0,12.6186864097,819.017,36.2265294219,1257.38261881,137.171446716,11.4939727902,7.46596476544,8.58086930527,44.07159645,3.606905151,1876.33,0.0,241.99,,110.79,16.8744145509,46.9143551623,15.0415619063,6.67661166248,7666.8581569,8.02775160429,,2.58732405968,46.25041386,4.98827308116,60.071799062,12.0595612951,213.92,257.466367465,272.11325282,29.8615791781,15.258863114,83.0093257337,204.720430202,47.4876038636,16.8285696255,66.6240647296,34.8959850931,32.4916020301,12.9775835359,346.83412837,,47.8326053915,,330.267419719,37.3667061262,21.7412029176,88.8328709793,17.0149446637
2003年,19.1392219119,4135.19669986,18.115258695,21.1871020639,790.0,11.9306345458,939.08,34.1069223461,1272.63619844,139.59079576,10.3998396481,5.27255767337,7.16706920804,44.9073919382,4.21804613869,1915.50597161,0.33,276.23,,105.53,17.8177278566,55.0098799977,16.7930416595,7.38158074271,8409.43267147,9.08459127462,,2.7252256646,50.8165536643,5.41986534332,52.7863737364,12.6541384161,247.89,301.319757996,316.699122077,32.655000819,19.4266960894,93.2134058235,177.830519817,43.9935074847,19.3378557719,52.8250709115,36.9079037136,37.7195139849,9.51060381206,326.170651095,,46.6492120627,,307.67860681,46.3976246454,22.3323763465,100.42204055,20.4324566911
2004年,37.648887528,4985.23632759,9.34611620068,15.2621792625,918.0,1.24834881727,1092.012324,44.9997355781,1327.8989562,140.555406424,8.44701597602,10.2170782422,8.14849575711,47.1284971238,5.9931494739,2084.82,1.35803412975,333.13,,108.992105,15.8895246942,64.0695321232,17.4778663771,9.66547862207,9895.85885159,10.8947331717,,2.05885234378,74.0480282176,6.68132680436,68.0626541324,17.9248588346,373.668095,373.219755802,393.203466981,53.4634032725,18.9263194685,95.1953738625,184.891170878,60.1165651325,29.6877783175,46.6300551053,64.3895902387,26.905154277,14.0421122039,363.717576822,,55.2278922235,,242.932239391,57.8024652144,21.9245151689,88.1047382071,34.2350714024
2005年,27.0586584625,5890.41277868,8.82739667534,11.5247289646,895.0624,0.989113858496,1286.349757,54.9326655169,1222.51032304,137.372769493,7.43824387273,8.60058050292,6.92959568961,38.9174972519,8.29913627938,1991.2674,1.14925610225,386.6396,,116.0284,12.3606791747,52.9826787238,13.4519484755,11.1063356111,10972.1643357,9.92803321167,,2.39271352436,68.4017555763,5.61439866346,64.4996872779,9.67070749649,406.404,396.170969433,408.234390454,49.0256561325,14.7042570546,51.495675496,187.288450467,42.9281421143,29.3719064122,48.5703727331,56.7023812032,25.128730619,14.2626348603,360.522686507,,52.3637244637,,253.136071262,61.0027399907,21.369636432,92.0067244846,33.2907464374
2006年,26.65730964,6547.32348058,9.398,11.8671236376,932.96,0.9975,1365.5303828,54.77,1240.33373759,141.30578045,7.75,8.6735,6.9675,38.7305,8.3695,1961.58392559,1.2,428.664,,129.7727,12.257,53.9015,13.566,11.6,11835.428489,9.86093566971,,2.54,68.88,5.662,62.8245,10.266,469.594,345.371,358.177,48.90447008,15.1835,50.88776,190.59224,42.690912,30.8199686001,50.82009596,57.332281039,25.7613545485,14.5245837518,363.073188,,53.2459914191,,258.914678288,61.519948,20.6134925108,92.784,33.573
2007年,28.0778220307,7184.36773928,9.57943361215,12.6124094407,1007.4808,1.05553923312,1218.971,57.8116582805,1302.84171341,149.462686539,8.95567872127,9.15152515113,7.32668780806,40.1846675199,8.83974992068,1972.783,1.28439508455,433.81728,,133.9378,12.6531701423,56.4640625188,14.3315897758,13.0774772245,12496.6734823,10.4133732638,,2.7322586344,72.3687495669,5.97765645771,66.3232007226,10.8883542424,545.315863,275.74388478,289.364497656,51.0047900332,15.5675463256,53.353274072,198.439718463,44.8185364747,31.4639759905,52.7642138132,60.2501794264,26.1025654825,15.3258742725,380.57678893,,55.9126336113,,272.306183716,64.9726899785,21.7661348107,97.9646021017,35.4540507571
2008年,41.04,7649.3053028,13.49,18.13,1151.803688,1.8984,1098.8742264,59.27872,1688.641505,194.215174,13.62,15.03,17.19,51.43,13.81,2517.0164596,3.74,370.786835943,,152.72,18.49,75.37,19.638504,16.8,13532.5829884,9.09,,3.68,118.85,6.655311,93.484224,14.5472496,592.07647562,284.234,302.4612496,69.4,20.49,59.2563,272.77,51.24,38.06,76.22,71.25,36.32,20.573,525.913705,,74.89,,329.57,83.46726,30.173,124.97,54.655317
2009年,42.81,7891.95765308,12.56,18.15,1131.803688,1.13904,1134.14808907,51.88,1596.8429327,201.2469327,9.59,17.15,13.74,46.67,12.62,2348.80017949,4.08,415.287656257,,181.7368,15.9,64.93,18.85296384,15.23,13756.6434737,7.72,,4.2,105.66,4.71,108.6910688,10.21,652.909407771,238.931,253.341,68.65,16.05,72.24,230.37,44.11,33.62,69.75,68.25,30.92,15.733,498.61624679,,73.24,,317.08,87.640623,30.223,112.33,51.92255115
2010年,47.63,8518.56,14.22,14.35,1287.19,0.54,1206.73,56.78,1501.33,162.69,7.95,17.15,13.57,56.61,14.53,2163.79,4.2,490.2,,196.6,16.39,63.98,20.82,18.06,14633.8,10.26,,4.61,110.55,4.5,141.23,2.61,770.73,154.89,162.11,71.92,13.7,26.53,185.98,44.63,34.34,71.22,74.65,28.43,15.91,500.35,,66.29,,289.94,89.42,30.47,99.88,62.36
2011年,38.07,9485.20257299,6.65,10.07,1428.07494014,0.22,1271.91,49.52,1120.39,79.89,7.92,13.82,7.41,30.96,9.2,1824.25,4.25,518.63367402,,212.311439572,6.59,60.76,36.06,14.43,15635.11,7.1,,1.99,99.63,4.13,212.42,2.11,894.735080445,84.89,88.99,40.44,8.53,25.44,192.24,34.66,26.02,29.98,63.44,22.37,15.26,614.87,,44.98,,248.73,60.55,26.0,84.14,113.38
2012年,34.53,10727.0295883,5.09,3.77,1444.71951287,0.02,1335.5,50.83,1037.7,97.63,2.41,13.63,6.18,,7.68,1747.7,3.58,518.011313611,,228.999118723,9.38,55.94,35.36,14.32,16966.05,,,1.73,45.01,3.36,215.21,2.33,964.091168486,74.17,78.23,32.41,8.69,20.87,63.41,20.2,20.85,19.71,44.09,20.71,13.9,631.77,,38.83,,260.67,65.78,22.62,89.92,112.98
2013年,56.96,10920.5348495,,,1339.75664711,0.29,1441.53010619,51.17,1001.4,73.11,1.74,11.39,6.45,,7.61,1675.88,5.14,556.965764395,,233.510401361,,50.63,35.09,13.84,17150.6453112,,,1.76,,3.18,211.58,1.97,982.467542678,73.54,77.27,28.88,,20.32,61.01,17.67,,16.7,42.27,19.9,,597.21,,36.92,,282.38,71.67,20.65,80.93,109.96
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
