,中间消费(用于加工转换),交通运输、仓储和邮政业柴油消费总量,供热中间消费柴油,其他行业柴油消费总量,农、林、牧、渔、水利业柴油消费总量,发电中间消费柴油,工业柴油消费总量,工业终端柴油消费量,建筑业柴油消费总量,批发、零售业和住宿、餐饮业柴油消费总量,柴油出口量,柴油可供量,柴油平衡差额,柴油年初年末库存差额,柴油损失量,柴油生产量,柴油终端消费量,柴油能源消费总量,柴油进口量,生活消费柴油总量
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,227.66,3293.81,0.0,638.7,697.098,227.66,1696.46,1468.8,205.86,95.94,77.52,6806.48,0.252,-247.55,0.0,7079.62,6578.568,6806.228,51.93,178.36
2001年,240.39,3421.0,0.0,673.89,742.948,240.39,1799.81,1559.42,223.08,98.07,46.86,7272.03,114.062,-221.4,0.0,7485.6,6917.578,7157.968,54.69,199.17
2002年,225.99,3664.81,0.0,740.0,819.017,225.99,1876.33,1650.34,241.99,110.79,144.69,7722.33,55.473,82.2,0.0,7706.1,7440.867,7666.857,78.72,213.92
2003年,271.28,4135.2,0.0,790.0,939.08,271.28,1915.50597161,1644.23,276.23,105.53,244.4,8467.52,58.08,67.5,0.0,8532.78,8138.16,8409.44,111.64,247.89
2004年,334.92,4985.24,0.0,918.0,1092.012324,334.92,2084.82,1749.9,333.13,108.992105,86.65,9948.43,52.567476,-112.4,0.0,9843.6,9560.942524,9895.862524,303.88,373.668095
2005年,366.7374,5890.408,0.0,895.0624,1286.349757,366.7374,1991.2674,1624.53,386.6396,116.0284,170.94,10972.58,0.420442999999,-7.68,0.0,11090.19,10605.422157,10972.159557,61.01,406.404
2006年,312.719198,6547.3215,0.0,932.96,1365.5303828,312.719198,1961.58392559,1648.86,428.667768,129.7727,102.58,11836.0823,0.656751200002,95.59,0.0,11762.4,11522.7063508,11835.4255488,80.67,469.594
2007年,231.4128,7184.3644,0.0,1007.4808,1218.971,231.4128,1972.783,1741.37,433.81404,133.9378,93.25,12494.219,-2.447703,54.699,0.0,12359.11,12265.253903,12496.666703,173.66,545.315863
2008年,185.13024,7649.3053028,0.0,1151.803688,1098.8742264,185.13024,2517.0164596,2331.89,370.79,152.72,89.1,13543.1458786,10.55124858,-409.9641214,0.0,13409.15,13347.46439,13532.59463,633.06,592.07647562
2009年,151.8067968,7891.95765308,0.0,1131.803688,1134.14808907,151.8067968,2348.80017949,2196.99,415.2848,181.7368,478.71,13768.054264,11.4178773932,-234.265735968,0.0,14288.57,13604.8295898,13756.6363866,192.46,652.909407771
2010年,117.6350976,8518.56047214,3.78,1287.1859523,1206.73356677,113.8550976,2163.80184853,2046.16,490.20217792,196.60287024,490.24,14701.86,68.0577926618,77.53,0.0,14924.38,14516.1671097,14633.8022073,190.19,770.725532444
2011年,41.6,9485.2,2.4,1428.1,1271.9,39.2,1824.3,1782.68,518.6,212.3,228.8,15626.2,-8.87,-78.0,0.0,15689.7,15593.54,15635.11,243.3,894.7
2012年,65.38,10727.0295883,2.38,1444.71951287,1335.49203834,35.63,1747.7,1682.32,518.011543554,228.999118723,205.69,16966.93,0.884975138037,8.94,0.0,17063.81,16900.6650249,16966.0450249,99.87,964.091168486
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
