,专用设备制造业燃料油消费总量,交通运输、仓储和邮政业燃料油消费总量,仪器仪表制造业燃料油消费总量,其他制造业燃料油消费总量,其他行业燃料油消费总量,其他采矿业燃料油消费总量,农、林、牧、渔、水利业燃料油消费总量,农副食品加工业燃料油消费总量,制造业燃料油消费总量,化学原料及化学制品制造业燃料油消费总量,化学纤维制造业燃料油消费总量,医药制造业燃料油消费总量,印刷业和记录媒介的复制燃料油消费总量,塑料制品业燃料油消费总量,家具制造业燃料油消费总量,工业燃料油消费总量,废弃资源综合利用业燃料油消费总量,建筑业燃料油消费总量,开采辅助活动燃料油消费总量,批发、零售业和住宿、餐饮业燃料油消费总量,文教体育用品制造业燃料油消费总量,有色金属冶炼及压延加工业燃料油消费总量,有色金属矿采选业燃料油消费总量,木材加工及木、竹、藤、棕、草制品业燃料油消费总量,橡胶制品业燃料油消费总量,橡胶和塑料制品业燃料油消费总量,水的生产和供应业燃料油消费总量,汽车制造业燃料油消费总量,烟草制品业燃料油消费总量,煤炭开采和洗选业燃料油消费总量,燃料油消费总量,燃气生产和供应业燃料油消费总量,生活消费燃料油消费总量,电力、热力的生产和供应业燃料油消费总量,电力、煤气及水生产和供应业燃料油消费总量,电气机械及器材制造业燃料油消费总量,皮革、毛皮、羽毛及其制品和制鞋业燃料油消费总量,石油加工、炼焦及核燃料加工业燃料油消费总量,石油和天然气开采业燃料油消费总量,纺织业燃料油消费总量,纺织服装、服饰业燃料油消费总量,通信设备、计算机及其他电子设备制造业燃料油消费总量,通用设备制造业燃料油消费总量,造纸及纸制品业燃料油消费总量,酒、饮料和精制茶制造业燃料油消费总量,采掘业燃料油消费总量,金属制品、机械和设备修理业燃料油消费总量,金属制品业燃料油消费总量,铁路、船舶、航空航天和其他运输设备制造业燃料油消费总量,非金属矿物制品业燃料油消费总量,非金属矿采选业燃料油消费总量,食品制造业燃料油消费总量,黑色金属冶炼及硣延加工业燃料油消费总量,黑色金属矿采选业燃料油消费总量
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,11.56,850.0,0.15,11.24,19.0,,0.4,13.32,1928.46,372.5,89.86,5.53,2.3,10.77,0.67,2975.05,,16.71,,11.59,1.04,55.43,0.22,2.82,12.44,,0.01,14.22,3.0,5.77,3872.75,24.31,,812.31,836.63,12.67,3.5,510.63,202.77,66.61,12.44,12.57,7.05,19.72,8.08,209.96,,12.93,,314.36,1.2,9.04,332.01,
2001年,9.12,855.0,0.12,7.05,17.02,,0.42,8.49,1895.59,358.35,88.29,5.38,2.39,11.14,0.6,2949.32,,16.18,,12.28,1.07,61.77,0.2,3.12,13.1,,0.02,13.54,2.7,,3850.22,21.6,,820.09,841.71,13.06,3.65,508.74,210.52,64.64,13.88,14.79,8.0,21.67,9.08,212.02,,11.8,,323.82,1.3,8.45,307.78,
2002年,9.9005766762,852.098738677,0.141597599037,6.6955436116,19.1,,0.41,8.46535743426,1868.55944483,373.99018943,88.3101987299,4.68283488243,1.66882884579,9.27464273692,0.748444452052,2970.86,,19.1,,12.3,1.15300902073,70.0573760577,0.111255256386,3.07240843761,12.541501629,,0.0202282284338,12.0524445548,1.48677478989,,3873.86873868,18.570498508,,884.612433543,903.203160279,12.3291052304,3.38252255182,482.564957635,197.944385866,65.8871357902,14.8374055562,15.653069216,8.50597005643,22.0761743779,8.17151960197,199.097394887,,12.9056097408,,342.993468901,1.04175376434,9.21395805161,265.796819237,
2003年,10.0978204715,940.294800482,0.100000180265,5.55549854921,12.08,10.21,0.6,7.88023462407,1986.79364472,385.216068047,84.1185647279,4.86801657476,1.61188495249,11.1700161791,0.538547202512,3236.76302015,,17.8,,13.0,1.00000180265,74.1647837988,,3.20014071318,13.7175909312,,0.0223318788214,12.8616873933,2.87000180265,,4220.53302015,20.493412144,,1028.04216734,1048.55791136,14.3558400442,3.65253981246,535.810582165,176.321080904,52.9696089566,11.7719297913,19.9000342503,12.0000216318,22.558814559,9.08869332845,201.411464071,,9.63832362437,,383.632194776,14.880383167,9.55775987418,282.886443954,
2004年,7.67480971818,1150.44629153,0.179999607869,4.0079292687,15.63,0.0107999764722,0.66,11.8199742501,2049.85043806,406.136266172,26.1924450799,5.68998769146,1.44867984404,16.5058461094,0.208865544985,3570.397547,1.52842367032,21.36,,24.98,2.41835573159,84.1118831755,0.332422275816,2.29999498944,17.2699623773,,0.00767598327781,10.5213750791,1.07199266466,6.14754460753,4783.47383853,10.9370030698,,1464.95261908,1475.89729814,12.5711799659,10.8306884053,561.529064703,36.1599263012,72.7198739736,5.48773754598,26.8516195752,13.270997089,26.8510600916,10.0299781496,44.649810806,,13.7546170197,,481.037296808,1.0498917128,14.559968281,201.269565476,0.949225932104
2005年,6.72245148797,1261.02466276,0.188456590739,2.6436281598,13.91,,0.66,11.6843086258,1732.72893426,303.275809324,31.6514392414,5.65313341578,1.68668648711,17.2699616551,0.265694676398,2924.7705,0.864126424839,14.18,,27.52,2.41224436145,84.5106588222,0.235570738423,2.46878133868,16.6689854508,,0.0110247105582,10.9775964105,1.37573311239,4.94698550689,4242.0605,14.9176784541,,1140.0439037,1154.97260686,13.1326883975,11.2131671489,377.03444901,30.6803403845,41.9622200661,6.52463858726,26.7864072721,8.75354310447,26.9824053397,12.2864274332,37.0689588814,,16.7378825662,,497.271611779,0.593578331631,17.0647442914,176.659053677,0.612483919901
2006年,6.23702219723,1480.61,0.197266635898,2.38986625768,13.14495,0.0,0.693726,10.5627316858,1821.67585957,352.371064869,33.4628263331,5.5688341938,1.79763705295,18.3875251758,0.283172123993,2836.107889,0.74006423797,16.336,,21.44,2.63978625493,88.893826224,0.246583294873,2.23180298523,17.7654745624,,0.0117499181673,10.9684732892,1.44004644206,5.25874742978,4368.327625,13.9523892456,0.0,961.428634925,975.392774089,13.716958112,12.2708814194,384.84241891,32.2656525476,42.4290087721,6.88839849226,29.4518170446,7.4968014181,28.7698036016,13.4453800695,39.0392553436,,16.5863875955,,543.052362126,0.621327172289,15.4266992605,151.361522226,0.646944899094
2007年,5.86129866661,1759.95048296,0.18499450628,2.24403633225,11.826,,1.0,9.62288080057,1689.88997058,328.715265731,31.3688560252,5.00226099427,1.68176823891,16.9774503718,0.269082918226,2329.1904,0.696885345709,30.740322,,24.78,2.50067231278,83.4812516839,0.235400393196,2.09065603713,16.6545778186,,0.0110189455013,10.2788630499,1.35314550371,4.92659394332,4157.48720496,5.48975699526,,597.96457239,603.46534833,12.6695854481,11.6442870619,348.988808076,29.4878595314,39.6458194288,6.53236849052,27.3347502119,6.98072773459,27.2890483238,12.7500265199,35.835081087,,14.447559757,,510.08778513,0.580093826091,14.0503862283,138.484871834,0.605133392965
2008年,7.26748,1142.77,0.197703,2.531427,9.4608,,1.5,10.85527,1604.90689819,286.708654,32.43,5.99752,1.7973,16.127772,0.287568,2039.47285699,0.65,37.7,,6.25,2.67246,98.41,0.2,1.99,15.85,,0.56,14.226094,1.06,6.4350418,3237.15365699,2.05,,382.8326456,385.4426456,12.0355048,11.12,320.27008,41.4282712,36.01,6.98112,30.44168239,9.32558,23.91,11.354925,49.1233132,,15.440058,,515.13,0.4132962,15.43,98.3987,0.646704
2009年,5.75,1250.64,0.18,2.28,12.3,,1.05,12.68,1268.49,219.98,18.8,5.4,1.44,14.51,0.26,1521.53,0.57,34.18,,8.11,2.14,77.89,0.04,0.5,11.9,,0.5,12.75,0.9,4.83,2827.8,0.83,,216.65,217.98,9.63,8.43,263.66,29.61,23.98,6.63,27.34,11.5,19.58,11.06,35.06,,14.67,,411.12,0.26,13.76,59.2,0.32
2010年,3.75,1326.65,0.4,2.38,13.53,,1.14,9.79,2220.15,514.56,15.24,6.69,2.05,13.67,0.58,2377.32,1.8,30.76,,8.62,1.73,97.12,0.01,0.25,9.16,,0.18,12.5,1.06,2.32,3758.02,0.23,,119.43,119.84,7.81,5.87,1033.02,34.752547808,22.45,5.31,13.67,7.75,19.58,8.26,37.33,,12.47,,353.57,0.18,13.76,23.9,0.07
2011年,2.55,1345.16,0.43,1.75,16.23,,1.31,6.4,2186.41,452.0,9.52,4.91,1.51,10.93,0.64,2260.15,1.16,30.6,,9.34,1.39,79.03,0.02,0.17,6.11,,0.03,17.95,1.02,1.12,3662.8,0.22,,43.4,43.65,4.11,3.85,1191.77,28.71,14.76,7.41,3.29,4.61,13.38,5.75,30.09,,12.42,,312.08,0.16,6.38,9.13,0.08
2012年,1.06,1383.94043193,0.36,0.29,19.94,,1.98,4.67,2202.55,501.52,6.46,3.35,0.7,,0.32,2241.69,1.28,27.0537214311,,8.69292210047,1.46,63.77,0.05,0.17,,,,1.58,0.97,0.92,3683.29,0.19,,22.51,22.7,4.05,3.35,1308.09,13.27,8.8,2.81,3.19,1.51,7.18,3.18,16.44,,7.34,,231.15,0.16,5.59,7.88,0.04
2013年,0.98,1428.98604921,,,23.36,,2.0456982,4.1,2371.0,614.58,5.18,2.08,0.79,,0.25,2421.05,0.39,59.46,,19.07,,53.38,1.78,0.17,,,0.01,,0.74,0.71,3953.97174741,0.21,,26.04,26.26,4.25,,1398.75,19.2,7.41,,1.97,1.33,13.21,,23.79,,8.39,,213.88,0.17,5.09,7.99,0.03
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
