,专用设备制造业电力消费总量,交通运输、仓储和邮政业电力消费总量,仪器仪表制造业电力消费总量,其他制造业电力消费总量,其他行业电力消费总量,其他采矿业电力消费总量,农、林、牧、渔、水利业电力消费总量,农副食品加工业电力消费总量,制造业电力消费总量,化学原料及化学制品制造业电力消费总量,化学纤维制造业电力消费总量,医药制造业电力消费总量,印刷业和记录媒介的复制电力消费总量,塑料制品业电力消费总量,家具制造业电力消费总量,工业电力消费总量,废弃资源综合利用业电力消费总量,建筑业电力消费总量,开采辅助活动电力消费总量,批发、零售业和住宿、餐饮业电力消费总量,文教体育用品制造业电力消费总量,有色金属冶炼及压延加工业电力消费总量,有色金属矿采选业电力消费总量,木材加工及木、竹、藤、棕、草制品业电力消费总量,橡胶制品业电力消费总量,橡胶和塑料制品业电力消费总量,水的生产和供应业电力消费总量,汽车制造业电力消费总量,烟草制品业电力消费总量,煤炭开采和洗选业电力消费总量,燃气生产和供应业电力消费总量,生活消费电力消费总量,电力、热力的生产和供应业电力消费总量,电力、煤气及水生产和供应业电力消费总量,电力消费总量,电气机械及器材制造业电力消费总量,皮革、毛皮、羽毛及其制品和制鞋业电力消费总量,石油加工、炼焦及核燃料加工业电力消费总量,石油和天然气开采业电力消费总量,纺织业电力消费总量,纺织服装、服饰业电力消费总量,通信设备、计算机及其他电子设备制造业电力消费总量,通用设备制造业电力消费总量,造纸及纸制品业电力消费总量,酒、饮料和精制茶制造业电力消费总量,采掘业电力消费总量,金属制品、机械和设备修理业电力消费总量,金属制品业电力消费总量,铁路、船舶、航空航天和其他运输设备制造业电力消费总量,非金属矿物制品业电力消费总量,非金属矿采选业电力消费总量,食品制造业电力消费总量,黑色金属冶炼及硣延加工业电力消费总量,黑色金属矿采选业电力消费总量
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,94.4874118581,281.2,25.3721014557,217.415711531,623.2,25.8402214087,532.96,161.241317164,6731.44009297,1153.73883897,194.7899138,88.3602418059,31.2079968705,120.816558551,12.4831987482,10004.62,0.0,159.77,0.0,418.68,20.805331247,697.58195138,80.787101232,32.2378607672,98.7421020981,0.0,150.942678197,203.424126267,32.851618039,417.157294167,34.4120178825,1451.95,2094.11057727,2279.46527335,13472.38,90.6800362399,27.1197492804,245.596532705,321.640018412,370.418117521,49.069373746,125.88265671,160.773197211,237.409634859,58.9831140852,993.714633683,0.0,196.298300315,0.0,763.742904745,84.8337381595,98.8253234231,1121.08487158,63.4562603032
2001年,98.1710807699,309.32,27.1219647223,228.679888709,663.06,23.6691299827,582.39,177.346354709,7334.46774156,1235.95836392,204.687381454,103.50158999,36.5103371262,132.626407492,14.6041348505,10944.66,0.0,154.91,0.0,459.89,26.078812233,747.867314168,89.4816205338,38.5966421048,111.262644511,0.0,152.821839685,238.068261113,33.9024559029,467.353178265,38.6592312542,0.0,2321.75289279,2513.23396372,14723.46,102.343690727,31.2945746796,277.833234005,355.537662935,402.521251054,56.4449811971,135.724570385,175.479111753,262.196378191,62.703896133,1096.95829472,0.0,233.196738987,0.0,827.272081655,93.1639488211,98.1710807699,1214.30251824,67.7527541813
2002年,107.401385881,302.998668639,33.4546024074,238.588534647,728.5,21.3320077148,606.23,203.807860297,8365.28991913,1415.40951434,215.575443603,102.253720779,35.2923084073,149.867012595,11.704934238,12402.16,0.0,154.14,0.0,500.0,33.4650439188,860.182147604,91.8852999954,39.2496412139,113.67673421,0.0,146.055860947,269.94439327,32.608839987,520.843469815,38.5813844867,0.0,2674.57653483,2859.21378027,16465.4486686,135.718764698,37.2761955663,345.217248687,364.941263652,474.15947251,61.5735925082,156.779293117,210.417336989,297.551749314,70.8456545987,1177.6563006,0.0,294.555035553,0.0,918.477105544,99.7686410745,118.709542687,1381.52680996,78.8856183483
2003年,122.5634943,406.939731446,36.611956938,236.956088979,911.04,29.8237836129,693.15,174.199215103,9720.34530076,1665.1680608,211.973563391,126.64894411,79.6662712947,174.652979377,15.3617118164,14169.68,10.213624525,179.78,0.0,612.97,29.6195111224,1094.55328584,129.713031467,54.4434805698,130.424953991,0.0,147.513523191,288.541720825,32.0360117394,533.990382402,29.8089024336,0.0,2995.44369832,3172.76612394,19031.5997314,172.610254472,43.3718231302,342.776984215,356.799380968,556.43826412,67.2711695854,221.635652192,253.297888219,318.276967447,66.3885594123,1276.5685753,0.0,363.451828721,0.0,1052.95319315,114.91348953,95.0325196534,1683.20532171,111.328507322
2004年,154.055482927,449.649828,35.7551133967,218.131478222,1036.581312,20.3404619635,768.87,204.345277498,11432.5512325,1870.39195738,227.912297077,132.420352076,79.2681255135,232.797649205,20.825962796,16424.29,5.16580168339,202.14,0.0,705.353788,38.7591497981,1272.34596309,146.176208998,62.2654817737,151.12123727,0.0,177.137001674,361.76892245,31.6081271187,582.750331017,34.7208347898,0.0,3392.80051096,3604.65834742,21971.373311,225.474678314,45.9607454808,417.581288991,363.060405237,727.56345597,73.4016571202,280.386845395,282.986297769,363.447946162,67.4766101248,1387.08042003,0.0,437.749802743,0.0,1223.10808699,133.108144922,101.196098508,2087.27933971,141.644867895
2005年,182.902466896,430.339621112,42.5211489623,275.615632218,1340.91,28.0366934577,776.329758,253.352673273,13126.0097924,2129.76627063,233.204745547,153.21446532,60.7144269837,322.415559503,24.2818965775,18521.69,6.65528513801,233.929973232,0.0,752.31,42.5411966516,1473.10420828,157.655028496,105.571131747,209.296951381,0.0,187.203317725,300.715339196,35.8603041991,589.526629189,29.8610331822,2884.81,3698.27809686,3915.34244776,24940.3193523,245.796699183,54.8538779575,313.485717267,385.348740792,823.566397028,87.6044437362,327.887776769,344.766992911,407.729904572,76.5541013016,1480.33775979,0.0,507.246634156,0.0,1419.50671099,114.141518914,114.809803904,2550.46703017,205.629148942
2006年,207.233522701,467.373739497,51.8057779935,281.770321562,1555.94,37.1382653473,827.040394,296.022506276,15387.3964405,2439.3333629,244.802231555,159.604448166,66.5385578877,355.145923987,28.4927160455,21267.74,11.2987127291,271.04525,0.0,847.25,43.4447632364,1829.50502733,173.769042632,127.34120579,237.252285351,0.0,204.26045941,345.415898672,34.4104547524,580.448063655,31.4023553624,3351.58147,4165.40657717,4401.06939195,28587.9708535,282.333744484,64.3882172447,357.3609162,316.315915555,1032.21353943,108.801341273,401.97170613,389.301115729,447.76135013,89.445059562,1479.27416757,0.0,605.774158353,0.0,1675.47632412,122.756481928,134.150021242,3039.00122964,248.846398455
2007年,229.164983095,531.91,61.1645053088,289.364251444,1708.6,35.4914704794,878.955248,334.954953887,17832.7794525,2779.32847696,276.92148607,170.709050888,74.1755055524,381.046326191,29.6290516085,24290.81,11.0709960865,309.0,0.0,929.82,46.0063452975,2398.43743127,203.615751731,148.800813761,263.086433614,0.0,220.428603673,417.690279293,36.571055522,600.278895419,44.8736692732,4062.71,4602.94253055,4868.2448035,32711.805248,341.54435083,73.6772856915,409.628196682,310.704643151,1124.38286587,124.502241633,479.754562736,447.775494009,435.686295062,101.204602766,1589.78574403,0.0,677.09442255,0.0,1855.92192236,135.13317437,151.789914008,3661.69535244,304.561808882
2008年,251.2836,571.82,66.35,313.06,1912.97,54.37,887.05,362.28424,18588.8770619,2761.34328584,264.28,182.9,77.26,435.88,34.8953752,25388.6300619,11.46513048,367.3392,0.0,1017.44,47.72,2511.22814128,222.46,175.4,271.063501996,0.0,238.52,471.9313384,38.615616,639.933,55.08,4396.1,4804.88,5098.48,34541.3492619,402.2510888,76.988441472,423.79532365,318.43,1126.38,130.07225763,530.9305852,490.994028,471.79,110.9727,1701.273,0.0,728.521928,0.0,1959.68006,146.0,166.44042,3693.1,320.08
2009年,256.94,617.01,68.54,335.49,2189.92,76.59,939.9,389.32,19685.98,2907.12,269.93,188.99,83.01,460.29,35.59,26854.49,12.15,421.9,0.0,1136.77,48.09,2576.15,215.72,191.53,280.28,0.0,256.53,565.4,41.7,691.13,70.23,4872.2,5079.98,5406.74,37032.14,423.49,78.45,475.07,333.34,1147.5,132.54,558.96,502.04,482.73,117.03,1761.77,0.0,744.4,0.0,2126.16,155.26,166.54,4020.52,289.73
2010年,317.83,734.53,85.83,376.4,2451.83,65.52,976.49,424.36,22870.0,3144.92,298.86,222.58,95.45,533.1,44.49,30871.77,14.1,483.24,0.0,1292.0,48.09,3129.09,258.71,212.21,329.89,0.0,291.0,790.29,45.88,751.67,82.87,5124.63,5687.51,6061.38,41934.49,508.19,89.72,565.34,347.9,1276.74,151.58,670.76,621.03,535.44,132.34,1940.39,0.0,960.72,0.0,2448.48,155.26,184.69,4611.6,361.33
2011年,361.84,848.42,83.7,424.25,2753.05,89.03,1012.9,471.04,25526.84,3528.32,322.36,240.88,102.5,532.4,45.83,34691.55,17.62,571.82,0.0,1503.08,61.79,3501.8,311.97,236.15,358.92,0.0,317.15,861.41,51.84,818.57,90.21,5620.06,6512.12,6919.48,47000.88,584.42,88.37,607.06,374.81,1378.82,163.7,737.83,714.18,580.38,145.57,2245.23,0.0,959.48,0.0,2917.93,214.27,198.18,5248.27,436.58
2012年,388.42,915.369159902,81.14,437.98,3083.64,96.92,1012.57,526.151494684,26822.4640438,3936.15392198,329.53,257.25,107.12,0.0,45.8263514814,36232.2072451,20.2651913799,608.404358033,0.0,1691.49,64.11,3819.08,327.82,264.08,0.0,0.0,342.33,586.63,51.2170777725,879.143201324,108.9,6218.96,6566.61,7017.84,49762.6407631,613.636932172,151.03,594.91950718,396.81,1448.7,198.42,765.86973073,699.895404818,579.0,155.763673998,2391.90320132,0.0,1037.57876623,0.0,2951.26,224.23,220.965991386,5220.52,438.42
2013年,409.24,1000.91948393,0.0,0.0,3397.62,116.39,1026.87,574.0312807,28987.0106233,4341.37631132,349.66,283.06,110.38,0.0,49.5474512217,39236.8806233,23.5076220007,675.065938781,0.0,1876.89,0.0,4113.91,351.56,268.93,0.0,0.0,361.97,0.0,53.7267145834,955.77,131.24,6989.16,7183.5,7676.71,54203.406046,650.455148103,0.0,677.494334776,414.36,1532.86,0.0,808.758435651,746.088501536,599.23,0.0,2573.16,0.0,1213.21558116,0.0,3148.49,240.79,230.467529015,5704.23,469.69
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
