,专用设备制造业焦炭消费总量,交通运输、仓储和邮政业焦炭消费总量,仪器仪表制造业焦炭消费总量,其他制造业焦炭消费总量,其他行业焦炭消费总量,其他采矿业焦炭消费总量,农、林、牧、渔、水利业焦炭消费总量,农副食品加工业焦炭消费总量,制造业焦炭消费总量,化学原料及化学制品制造业焦炭消费总量,化学纤维制造业焦炭消费总量,医药制造业焦炭消费总量,印刷业和记录媒介的复制焦炭消费总量,塑料制品业焦炭消费总量,家具制造业焦炭消费总量,工业焦炭消费总量,废弃资源综合利用业焦炭消费总量,建筑业焦炭消费总量,开采辅助活动焦炭消费总量,批发、零售业和住宿、餐饮业焦炭消费总量,文教体育用品制造业焦炭消费总量,有色金属冶炼及压延加工业焦炭消费总量,有色金属矿采选业焦炭消费总量,木材加工及木、竹、藤、棕、草制品业焦炭消费总量,橡胶制品业焦炭消费总量,橡胶和塑料制品业焦炭消费总量,水的生产和供应业焦炭消费总量,汽车制造业焦炭消费总量,烟草制品业焦炭消费总量,焦炭消费总量,煤炭开采和洗选业焦炭消费总量,燃气生产和供应业焦炭消费总量,生活消费焦炭消费总量,电力、热力的生产和供应业焦炭消费总量,电力、煤气及水生产和供应业焦炭消费总量,电气机械及器材制造业焦炭消费总量,皮革、毛皮、羽毛及其制品和制鞋业焦炭消费总量,石油加工、炼焦及核燃料加工业焦炭消费总量,石油和天然气开采业焦炭消费总量,纺织业焦炭消费总量,纺织服装、服饰业焦炭消费总量,通信设备、计算机及其他电子设备制造业焦炭消费总量,通用设备制造业焦炭消费总量,造纸及纸制品业焦炭消费总量,酒、饮料和精制茶制造业焦炭消费总量,采掘业焦炭消费总量,金属制品、机械和设备修理业焦炭消费总量,金属制品业焦炭消费总量,铁路、船舶、航空航天和其他运输设备制造业焦炭消费总量,非金属矿物制品业焦炭消费总量,非金属矿采选业焦炭消费总量,食品制造业焦炭消费总量,黑色金属冶炼及硣延加工业焦炭消费总量,黑色金属矿采选业焦炭消费总量
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,73.9255179076,11.24,4.19078899703,30.0689110537,12.15,0.314309174777,70.926,16.1450146111,10357.1894426,1104.85811529,27.4915758205,0.681003212017,0.293355229792,6.28618349554,1.04769724926,10554.55,0.0,18.98,,35.71,1.67631559881,218.08982829,22.1168889318,1.46677614896,2.61924312314,,0.0,32.2795522496,1.25723669911,10840.756,53.0553887024,36.78,137.2,0.0,36.78,10.9170053373,1.76013137875,64.9632844688,5.76233487092,4.19078899703,1.67631559881,0.314309174777,208.22982829,1.57154587389,3.14309174777,160.580557394,,126.048456058,,312.349980921,26.9467732509,14.6677614896,8084.97982829,52.3848624629
2001年,77.0756265052,11.68,5.58836643697,34.330102053,12.08,0.328727437469,67.461,17.5321299983,11438.4358571,1159.51274685,26.8789468037,0.712242781182,0.31776985622,7.24296120556,1.19437635614,11642.4,0.0,23.91,,39.73,1.81895848733,242.831146665,21.4439865042,1.51214621236,2.87088628723,,0.0,42.6140334772,1.32586733112,11931.461,52.2676625575,39.71,134.2,0.0,39.71,13.203885405,1.80800090608,67.2848105582,5.84039080569,4.60218412456,1.78608574358,0.383515343713,225.430319035,1.70938267484,3.1776985622,164.254142922,,143.642932593,,345.328173061,28.4897112473,16.9842509359,8989.73631083,55.8836643697
2002年,69.8494783248,11.44,5.7217340191,28.2863188832,12.34,0.372718589273,73.686,14.3345554739,11865.7803821,1177.56783982,25.747803086,0.725290227774,0.261910360029,5.16769287289,1.14837619398,12065.05,,23.38,,42.6,1.71249081558,234.859456282,28.3266127847,1.56138868479,2.38741366642,,,43.688662748,1.2692578986,12343.616,48.0806980162,32.06,115.12,,32.06,10.5368552535,1.54124173402,68.0272520206,5.03673769287,4.57335782513,2.18594415871,0.493600293902,229.16149155,1.74271124173,3.3242468773,167.209617928,,153.69101396,,374.441153564,32.8596767083,14.10286554,9387.66897869,52.5331741367
2003年,56.6621839156,10.79,7.94683141884,31.8723185248,11.39,0.176970913073,73.686,15.4603341606,14813.5428197,1195.2206257,31.8723185248,1.06241061749,0.0,1.52061842726,0.913673131043,15021.85,0.0,20.79,,47.46,1.48614033248,252.329683521,30.1410445184,2.49973346662,2.12482123498,,0.0,55.7539559136,0.849928493993,15298.466,45.7002158471,41.5134401165,112.5,0.0,41.5134401165,16.8022043736,2.71784617071,87.9248997629,7.47096236364,3.24035238335,1.45483615798,0.0,261.414617109,2.12482123498,3.90330388339,166.793740181,,134.926148421,,302.723281348,23.0102325895,12.7489274099,12325.9860041,60.2943139493
2004年,60.4193783126,1.79,2.1962402339,3.97015910943,10.09,0.0,68.686,6.0762794093,17619.4259548,1187.22701945,36.685894794,0.859399995004,0.114652780958,1.9834487191,1.21735476939,17811.13,2.25242220595,16.79,,53.36,3.3582200535,273.331725002,12.6931503906,1.48894347011,2.90695923381,,0.0651620623631,61.9486655494,0.00440346604515,18067.008466,47.8740165873,50.3959616955,105.162466,6.03953208637,56.5006558442,15.6009313389,0.300707616916,68.6858472038,0.222010878293,2.2661027549,1.01145390236,0.81347003911,268.584143216,7.14671205136,1.45127893333,135.203389383,,76.6395801216,,213.810810149,9.74748662123,4.07299935134,15313.0007515,64.6667249052
2005年,68.8890417348,1.07,2.74729313485,3.78670861961,7.59,0.0,63.467539,8.51873840264,24621.3794816,1724.26493764,51.2189146459,1.13361301061,0.151235611999,2.61631753191,1.03481374746,24860.922644,2.33118153592,18.38,,64.080024,3.56722170611,372.509319959,16.3181966746,1.81294896218,1.76976790315,,0.0661181881121,93.9084424662,0.00580850177984,25105.840982,61.3374322556,58.8354971536,90.330775,6.12815040093,65.0297657427,16.7479754563,0.305119912737,76.762163743,0.29284898952,2.98915939175,1.33418351178,0.685087079639,455.515790098,4.35094563915,1.03080152816,174.513396635,,78.3317940299,,208.270142764,12.8576654862,5.36101970483,21429.4289937,83.707253229
2006年,76.5949760066,0.85,3.067855106,3.77870652839,8.3,0.0,55.727,8.0959395837,27421.25446,2024.2781926,57.1952831777,1.27127294835,0.168882213039,2.98375853357,1.08179968702,27653.553879,2.32625527167,18.5,,65.39,3.72919217074,423.117032097,17.8345427892,1.98141476569,1.76602802094,,0.0738330462176,107.097136783,0.00607223804566,27892.766199,65.6296610403,29.4389785288,90.44532,6.69760039806,36.2104119731,17.5084208645,0.339272289766,92.3379208471,0.313717658868,3.26692294122,1.48985983586,0.725345587077,519.492155267,4.34175119949,1.07760529204,196.089006996,,87.4717703866,,237.520028888,14.4190320317,5.60443795131,23731.5391709,97.8920534762
2007年,84.4374879493,0.55,3.3801768858,4.16107583632,8.23,0.0,57.23,8.92455943447,28673.29,2250.46685802,62.4788122917,1.43117480385,0.189646887982,3.29093129146,1.19365982436,28932.22,2.56581083741,17.48,,71.0,5.77623854972,477.958028411,19.6563421544,2.18651706144,1.95224737629,,0.0780898950516,118.060765619,0.00669373193543,29168.12,75.8356778614,31.7591392586,81.402324,7.45220995867,39.2894391123,18.9484623265,0.379293775965,98.9659175881,0.345826678086,3.57053368192,1.63988779608,0.803210349102,572.666667511,4.78579499673,1.18250412507,219.643797449,,96.4298646894,,261.835418108,15.8968714926,6.18025740837,24577.44,107.909079262
2008年,91.5849,0.29,3.77,2.18,6.93,0.0,53.144,13.2,29538.4769114,2248.818368,18.48204,1.55232,0.32,4.38075,1.0593,29756.6989722,3.036,10.7,,7.54,5.3,498.07,12.17,2.5872,2.5025,,0.0693,139.6956,0.83,29900.2347484,55.7977008,29.15256,64.9317762108,7.13,36.35186,25.78,0.2244,103.48432,0.01,5.28105,3.234,0.8712,473.5,5.6628,1.0494,181.8702008,,90.83,,305.49,10.9725,7.9222,25477.7785634,102.92
2009年,100.74339,0.14,8.32,1.81,3.465,0.0,44.59,10.56,31572.0336676,2105.3466944,5.544612,1.241856,0.56,3.066525,1.006335,31743.3199562,4.2504,5.68,,3.94,5.06,676.48,14.89,2.45784,3.25325,,0.09009,163.66516,0.0,31849.9746195,28.26240064,24.024048,48.8396633476,8.13,32.244138,23.21,0.31416,97.159888,0.0,4.1,1.4,1.7424,663.64,4.35,0.94446,139.04215064,,98.22,,384.65,12.06975,7.12998,27191.8067172,83.82
2010年,125.61,0.12,5.73,2.13,2.77,0.0,46.82,9.5,33381.02,1743.01,3.88,0.87,0.27,4.04,1.51,33583.69,10.63,5.81,,5.1,3.82,591.98,15.75,1.78,2.93,,0.14,168.87,0.0,33687.8,25.05,18.55,43.49,4.01,22.7,26.63,0.22,93.45,0.16,5.1,3.76,2.61,657.06,2.19,0.68,179.97,,75.56,,385.72,13.28,3.01,29448.47,125.73
2011年,78.19,0.09,4.39,2.54,1.9404,0.0,54.06,13.72,37791.3646111,2271.61602662,2.32873704,0.73890432,0.3,3.88,1.735927875,38052.079029,12.7512,4.81,,9.24,3.59,583.44,13.92,0.61,2.34234,,0.3,175.99,0.0,38163.27,30.1485010854,15.7559168,41.0751804074,7.63,23.6859168,24.83,0.91,83.93,0.0,3.92,5.2,2.09088,982.11,1.92,0.8,237.028501085,,65.12,,553.5,7.61,2.54,32906.3305953,185.35
2012年,45.41,0.09,4.17,0.5,1.9404,,57.48,11.52,39003.7437535,2604.77762929,0.698621112,1.62,0.33,,3.79,39262.6237535,20.04,6.31,,6.66,4.67,564.04,13.81,0.37,,,0.04,185.01,,39373.0356213,65.41,7.49,37.931467745,0.49,8.02,17.9,0.8,73.65,,3.08,2.69,2.404512,858.92,0.51,0.97,250.86,,104.25,,756.74,46.1,1.9,33704.0629911,125.54
2013年,53.5,2.21,,,4.97,,69.17,9.94,45401.1302608,3200.01651075,0.25,0.99,0.27,,2.39,45693.9602608,25.65,7.69,,35.83,,585.9,10.22,0.39,,,0.05,,,45851.8749019,80.45,4.4,38.0446410461,6.6,11.05,17.43,,67.53,,2.81,,10.74,694.73,0.61,,281.78,,141.36,,1047.55,11.05,2.27,39313.4837501,180.04
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
