,专用设备制造业煤油消费总量,交通运输、仓储和邮政业煤油消费总量,仪器仪表制造业煤油消费总量,其他制造业煤油消费总量,其他行业煤油消费总量,其他采矿业煤油消费总量,农、林、牧、渔、水利业煤油消费总量,农副食品加工业煤油消费总量,制造业煤油消费总量,化学原料及化学制品制造业煤油消费总量,化学纤维制造业煤油消费总量,医药制造业煤油消费总量,印刷业和记录媒介的复制煤油消费总量,塑料制品业煤油消费总量,家具制造业煤油消费总量,工业煤油消费总量,废弃资源综合利用业煤油消费总量,建筑业煤油消费总量,开采辅助活动煤油消费总量,批发、零售业和住宿、餐饮业煤油消费总量,文教体育用品制造业煤油消费总量,有色金属冶炼及压延加工业煤油消费总量,有色金属矿采选业煤油消费总量,木材加工及木、竹、藤、棕、草制品业煤油消费总量,橡胶制品业煤油消费总量,橡胶和塑料制品业煤油消费总量,水的生产和供应业煤油消费总量,汽车制造业煤油消费总量,烟草制品业煤油消费总量,煤油消费总量,煤炭开采和洗选业煤油消费总量,燃气生产和供应业煤油消费总量,生活消费煤油消费总量,电力、热力的生产和供应业煤油消费总量,电力、煤气及水生产和供应业煤油消费总量,电气机械及器材制造业煤油消费总量,皮革、毛皮、羽毛及其制品和制鞋业煤油消费总量,石油加工、炼焦及核燃料加工业煤油消费总量,石油和天然气开采业煤油消费总量,纺织业煤油消费总量,纺织服装、服饰业煤油消费总量,通信设备、计算机及其他电子设备制造业煤油消费总量,通用设备制造业煤油消费总量,造纸及纸制品业煤油消费总量,酒、饮料和精制茶制造业煤油消费总量,采掘业煤油消费总量,金属制品、机械和设备修理业煤油消费总量,金属制品业煤油消费总量,铁路、船舶、航空航天和其他运输设备制造业煤油消费总量,非金属矿物制品业煤油消费总量,非金属矿采选业煤油消费总量,食品制造业煤油消费总量,黑色金属冶炼及硣延加工业煤油消费总量,黑色金属矿采选业煤油消费总量
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,1.34,535.9,0.15,11.08,160.09,0.01,1.5,0.25,76.05,8.73,0.42,0.15,5.71,0.42,0.04,83.95,0.0,4.0,0.0,14.0,1.26,0.59,1.26,0.08,0.07,0.0,0.03,6.3,0.08,871.61,5.37,0.01,72.17,0.42,0.46,0.25,0.17,18.06,0.42,3.78,0.42,0.18,3.27,3.61,0.08,7.44,0.0,1.68,0.0,2.43,0.34,0.08,5.37,0.04
2001年,1.38,560.69,0.17,11.36,151.09,0.0,1.52,0.26,77.92,8.94,0.43,0.14,5.85,0.43,0.05,86.0,0.0,3.5,0.0,12.47,1.29,0.6,1.29,0.09,0.08,0.0,0.04,6.45,0.09,890.27,5.5,0.01,0.0,0.44,0.49,0.26,0.17,18.47,0.43,3.87,0.43,0.17,3.35,3.7,0.09,7.59,0.0,1.72,0.0,2.49,0.34,0.09,5.5,0.03
2002年,1.45017744705,716.754337252,0.405558099599,13.9978992559,40.0,0.0,1.4,0.356399542072,96.6703033772,12.5968803663,0.454716657127,0.122896393818,7.32462507155,0.602192329708,0.061448196909,107.35,0.0,0.0,0.0,13.0,1.47475672582,0.774247281053,1.60994275902,0.122896393818,0.061448196909,0.0,0.0491585575272,8.16032054951,0.122896393818,919.204337252,7.3614939897,0.0,0.0,0.61448196909,0.663640526617,0.393268460218,0.184344590727,20.8923869491,0.491585575272,5.3337034917,0.626771608472,0.307240984545,4.33824270177,3.60086433887,0.0983171150544,10.0160560962,0.0,2.66685174585,0.0,2.11381797367,0.516164854035,0.0860274756726,7.93910704064,0.0368689181454
2003年,1.63554410921,741.680477024,0.415298391,12.8502230816,43.19,0.0,1.35,0.400006944174,79.1448994693,9.67708517928,0.417773646049,0.0835179333989,6.00010416261,0.668584288783,-0.00137178926317,87.77,0.0,0.0,0.0,11.24,1.63002829751,1.14431483531,1.32170315101,0.20590317775,0.0823835641847,0.0,0.0,7.17560359826,0.0,921.610477024,6.36813413238,0.0,0.0,0.53000920103,0.53000920103,0.491953530556,0.183127823403,16.7937673576,0.276368434156,3.70781441542,0.500008680217,0.301591442564,5.71721572011,1.90003298483,0.144808005877,8.09509132971,0.0,2.39924169013,0.0,1.51879886515,0.128885612161,0.101487476122,3.0000520813,0.0
2004年,1.69490469092,919.71,1.1274217766,0.704772861301,48.19,0.00650004483526,1.08,0.330002276252,53.8328093217,8.70006001027,0.500003448866,0.520003586821,0.740005104322,0.740005104322,0.240001655456,60.89,0.0443763060938,0.0,0.0,3.63,0.350002414206,2.32001600274,0.840005794095,1.36000938092,0.270001862388,0.0,0.039797274509,10.1560700534,0.0349872413309,1060.858962,4.37116515092,0.0100000689773,0.0,0.210001448524,0.25979879201,1.60001103637,0.370002552161,2.06001420933,0.169711170614,2.05001414035,0.700004828412,0.82000565614,7.03004849106,0.910006276936,0.540003724775,6.79739188626,0.0,2.61001800308,0.0,3.06002110706,0.700004828412,0.330002276252,1.92001324365,0.71000489739
2005年,1.694893,952.423653873,1.127414,0.704768,36.19,0.0065,1.6,0.4,50.743746,6.09,0.5,0.52,0.74,0.74,0.24,57.499956,0.044376,0.0,0.0,3.67,0.35,2.32,0.74,1.088,0.27,0.0,0.03,11.0759,0.034987,1076.84360987,3.26,0.015,25.46,0.315,0.36,1.6,0.37,2.06,0.16971,2.05,0.7,0.82,5.8,0.91,0.54,6.39621,0.0,2.643408,0.0,3.06,0.8,0.33,1.92,1.42
2006年,1.485,1010.54,0.99,0.585,37.969,0.0065,1.54,0.351,42.1849883,4.581,0.441,0.459,0.657,0.657,0.207,48.1894883,0.03,0.0,0.0,3.772026,0.306,2.07,0.657,0.972,0.225,0.0,0.03,7.7625,0.0314883,1124.7385143,2.925,0.015,22.728,0.24,0.285,1.404,0.324,1.845,0.16,1.836,0.612,0.8,5.175,0.81,0.477,5.7195,0.0,2.349,0.0,2.745,0.702,0.288,1.71,1.269
2007年,1.378812,1129.98,0.929412,0.553892,43.173,0.0,0.94,0.32858,39.6352914107,4.199704,0.413072,0.431848,0.619608,0.519608,0.197148,45.2422508463,0.0254834106672,0.0,0.0,4.901,0.291028,1.943316,0.619608,0.910636,0.215924,0.0,0.0272314356339,7.565088,0.03,1243.71685085,2.710684,0.03,19.4806,0.25,0.307231435634,1.31432,0.300416,1.72678,0.15,1.717392,0.572668,0.75104,4.822984,0.760428,0.450624,5.299728,0.0,2.20618,0.0,2.5817,0.65716,0.272252,1.605348,1.162276
2008年,0.9791684,1174.59,1.394118,0.4431136,25.9038,0.0,1.26,0.42,43.45889732,3.8697336,0.2891504,0.43,0.5266668,1.04,0.1774332,49.08389732,0.05,9.67,0.0,20.82,0.17,2.18,0.77,0.455318,0.1511468,0.0,0.01,9.0498512,0.0,1294.00864732,2.87,0.01,12.68095,0.225,0.245,1.577184,0.24,2.084136,0.13,1.3819136,0.4867678,0.863696,6.3218792,0.9125136,0.48667392,5.38,0.0,2.647416,0.0,2.32353,0.58,0.26,2.2474872,1.03
2009年,0.53,1314.25,0.69,0.23,33.67494,0.0,0.76,0.22,27.28,3.69,0.11,0.07,0.23,0.23,0.13,32.04,0.03,10.387514,0.0,29.148,0.12,1.65,0.87,0.2,0.08,0.0,0.0,7.16,0.0,1439.412566,2.9,0.0,19.2,0.12,0.12,0.5,0.29,1.24,0.05,0.43,0.28,0.22,3.88,0.41,0.29,4.64,0.0,1.64,0.0,1.23,0.37,0.11,1.39,0.45
2010年,0.64,1601.08,0.61,0.1,38.73,0.62,0.9,0.51,35.75,5.02,0.01,0.34,0.1,0.28,0.08,40.2,0.03,8.77,0.0,34.98,0.11,1.78,0.67,0.17,0.09,0.0,0.0,10.18,0.0,1744.07,2.53,0.01,20.52,0.03,0.04,0.66,0.24,5.64,0.0,0.5,0.25,0.36,4.47,0.22,0.13,4.41,0.0,1.4,0.0,1.16,0.24,0.2,0.47,0.35
2011年,0.56,1646.35,0.16,0.18,68.235530922,0.0,1.47,0.29,30.96,2.94,0.02,0.25,0.1,0.17,0.02,34.21,0.0,10.7942136842,0.0,32.179392,0.04,1.8,0.64,0.05,0.05,0.0,0.0,11.44,0.0,1816.71913661,2.3,0.01,23.48,0.02,0.03,0.34,0.23,2.46,0.0,0.31,0.52,0.16,3.75,0.13,0.04,3.22,0.0,1.07,0.0,3.48,0.12,0.09,0.31,0.16
2012年,0.35,1787.09,0.2,0.02,74.1720221122,0.0,1.19,0.12,29.37,3.56,0.0,0.27,0.08,0.0,0.05,32.04,0.01,7.89316026318,0.0,28.63965888,0.23,2.35,0.41,0.08,0.0,0.0,0.0,0.96,0.0,1956.60484126,2.16,0.0,25.58,0.03,0.03,0.46,0.21,0.21,0.0,0.12,0.41,0.31,2.71,0.09,0.01,2.64,0.0,1.33,0.0,4.69,0.04,0.03,0.22,0.03
2013年,0.63,1998.18,0.0,0.0,84.5561052079,0.0,1.19,0.18,24.41,3.22,0.0,0.3,0.13,0.0,0.05,27.41,0.01,11.42,0.0,13.39,0.0,1.35,0.4,0.12,0.0,0.0,0.0,0.0,0.0,2164.06610521,2.43,0.0,27.92,0.06,0.06,0.41,0.0,0.17,0.0,0.16,0.0,0.35,2.52,0.13,0.0,2.94,0.0,1.12,0.0,1.27,0.07,0.04,0.22,0.04
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
