,已通邮的行政村比重,平均每一营业网点服务人口,平均每一营业网点服务面积,平均每人每年发函件数,平均每百人每年订报刊数
1978年,,1.94,193.5,2.95,11.7
1979年,,1.97,193.4,,13.1
1980年,96.5,1.98,194.1,3.36,16.7
1981年,,2.01,193.7,,18.1
1982年,,2.04,193.1,,19.3
1983年,,2.04,191.4,,22.4
1984年,,2.01,186.5,,27.2
1985年,96.3,1.97,180.8,4.48,28.8
1986年,,2.01,181.9,,27.1
1987年,,1.99,181.53,,25.0
1988年,,2.06,181.54,,25.04
1989年,,2.09,180.82,,14.59
1990年,96.4,2.13,179.0,4.82,17.6
1991年,96.4,2.14,177.76,4.52,20.1
1992年,95.9,2.11,174.89,4.92,22.2
1993年,96.0,2.08,168.41,5.82,21.8
1994年,96.2,1.98,159.0,6.4,20.1
1995年,,1.95,155.12,6.61,18.0
1996年,,1.65,132.6,6.62,17.6
1997年,,1.56,122.3,5.56,17.7
1998年,,1.22,93.9,5.27,18.4
1999年,,1.87,144.0,4.9,20.1
2000年,,1.77,135.3,6.4,16.4
2001年,94.45,2.2,168.0,6.9,17.2
2002年,97.8,1.7,123.8,8.3,13.9
2003年,97.98,2.03,148.8,8.08,12.9
2004年,97.73,1.95,142.4,6.41,11.4
2005年,98.96,1.97,145.6,5.66,11.2
2006年,99.4,2.09,152.9,5.5,11.2
2007年,98.4,1.9,135.9,5.3,9.9
2008年,98.5,1.9,138.8,5.6,11.9
2009年,98.8,2.03,146.2,5.66,10.4
2010年,98.9574705372,1.76887053169,126.8,5.52457431237,12.8073396372
2011年,98.0,1.71272579353,122.0,5.50253521862,11.1386429658
2012年,99.1,1.41677478759,100.4,5.22440237733,11.3745886717
2013年,99.1695091206,1.0875754306,76.7294089438,4.66039136634,10.9526965578
2014年,99.4,0.994329829459,69.7867143543,4.10109276074,10.9201210686
