,新注册民用中型载客汽车拥有量,新注册民用中型载货汽车拥有量,新注册民用其他汽车拥有量,新注册民用大型载客汽车拥有量,新注册民用小型载客汽车拥有量,新注册民用微型载客汽车拥有量,新注册民用微型载货汽车拥有量,新注册民用汽车拥有量,新注册民用轻型载货汽车拥有量,新注册民用载客汽车拥有量,新注册民用载货汽车拥有量,新注册民用重型载货汽车拥有量
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,14.5062,22.0969,8.3541,9.72,149.1479,56.0908,8.4309,337.1951,50.1985,229.4649,99.3761,18.6498
2003年,15.7523,25.9173,10.0934,10.0284,242.1951,48.1101,7.2083,433.7485,57.6073,316.0859,107.5692,16.8363
2004年,13.8357,19.4438,15.0029,9.6462,284.1668,25.581,4.2475,451.1823,56.4061,333.2297,102.9497,22.8523
2005年,10.5314,17.5576,10.4749,9.9489,371.2056,24.0645,4.6042,528.6287,63.9557,415.7504,102.4034,16.2859
2006年,8.2758,14.7689,12.6471,9.5428,438.2206,11.8275,2.1575,573.0432,61.691,467.8667,92.5294,13.912
2007年,7.2059,15.7867,16.1564,9.1087,477.2468,6.4428,1.3567,607.9209,59.1014,500.0042,91.7603,15.5155
2008年,6.4024,18.5338,23.6799,11.2811,592.8095,12.1884,1.2796,763.1839,73.3343,622.6814,116.8226,23.6749
2009年,6.9548,24.2679,6.2543,11.4984,979.4452,26.957,1.3834,1245.9452,139.1249,1024.8554,214.8355,50.0593
2010年,7.6519,23.8595,10.369,14.8234,1208.6273,23.5865,1.4563,1528.8186,161.4803,1254.6891,263.7605,76.9644
2011年,7.6472,17.314,10.5333,16.3258,1324.4774,21.0036,0.7017,1624.2474,153.559,1369.454,244.2601,72.6854
2012年,7.1013,13.9793,9.0037,16.3517,1487.5884,13.8387,0.4409,1772.5011,168.1908,1524.8801,238.6173,56.0063
2013年,8.116,13.3402,9.6531,16.8946,1717.3792,9.9067,0.3084,2030.9394,181.4385,1752.2965,268.9898,73.9027
2014年,7.9646,10.4425,14.2831,15.1405,1905.0695,8.5041,0.1803,2205.1905,180.5471,1936.6787,254.2287,63.0588
