,一般火灾平均每起事故损失,火灾平均每起事故损失,特大火灾平均每起事故损失,较大火灾平均每起事故损失,重大火灾平均每起事故损失
1978年,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0
1990年,3392.6,8931.9,1692405.7,0.0,128284.3
1991年,4207.5,11509.0,1343040.3,0.0,131115.4
1992年,5332.6,17523.2,1600361.6,0.0,143228.6
1993年,6683.9,29340.3,2837541.5,0.0,151459.8
1994年,7350.1,31631.2,2237164.0,0.0,160762.3
1995年,8099.8,29022.1,1930885.0,0.0,163695.5
1996年,8128.3,27921.8,1637183.1,0.0,64103.0
1997年,6822.9,10988.1,4154410.9,0.0,428547.0
1998年,6485.0,10190.4,3698059.0,0.0,435709.0
1999年,5271.8,7968.3,3214272.1,0.0,429389.6
2000年,6122.0,8046.0,3280967.0,0.0,433982.0
2001年,5515.36812339,6473.0,2368086.0,0.0,387557.0
2002年,4974.0,5979.0,4875200.0,0.0,405814.0
2003年,5279.11589574,6265.00795489,3223945.94595,0.0,435636.065574
2004年,0.0,0.0,0.0,0.0,0.0
2005年,4991.64042808,5776.35934407,2360606.06061,0.0,434640.0
2006年,2730.9,3522.5,4770764.3,0.0,449908.9
2007年,6498.7759627,6880.0,301338.0,720067.454545,1891690.0
2008年,9655.0,13315.4910659,150135600.0,1399478.0,23398519.0
2009年,11305.0,12551.0,150722000.0,139814.0,763750.0
2010年,13049.0,14789.0,0.0,1529000.0,28461500.0
2011年,14235.0,16405.0,0.0,1971913.0,16514571.0
2012年,12834.8,14308.7,0.0,3301046.0,13494227.5
2013年,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0
