,中成药制造高技术产业新产品开发经费支出,仪器仪表制造业高技术产业新产品开发经费支出,其他电子设备制造高技术产业新产品开发经费支出,化学药品制造高技术产业新产品开发经费支出,医疗仪器设备及器械制造业高技术产业新产品开发经费支出,医疗器械及仪器仪表制造业高技术产业新产品开发经费支出,医药制造业高技术产业新产品开发经费支出,家用视听设备制造业高技术产业新产品开发经费支出,广播电视设备制造业高技术产业新产品开发经费支出,生物、生化制品的制造高技术产业新产品开发经费支出,电子元件制造业高技术产业新产品开发经费支出,电子及通信设备制造业高技术产业新产品开发经费支出,电子器件制造业高技术产业新产品开发经费支出,电子计算机及办公设备制造业高技术产业新产品开发经费支出,电子计算机外部设备制造业高技术产业新产品开发经费支出,电子计算机整机制造业高技术产业新产品开发经费支出,航空航天器制造业高技术产业新产品开发经费支出,通信设备制造业高技术产业新产品开发经费支出,雷达及配套设备制造业高技术产业新产品开发经费支出,高技术产业新产品开发经费支出
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,419198.0,1259943.9,389104.6,1339148.8,379858.7,1639802.6,2330717.9,1198263.7,161216.2,337601.2,1638112.8,10253239.6,2035658.4,2203755.2,1016575.6,1088180.3,1481882.9,4687065.7,143818.2,17909398.0
2012年,575209.0,1566070.0,522040.0,1662511.0,491805.0,2057875.0,3082346.0,1203268.0,279475.0,495514.0,1916123.0,12061842.0,2540301.0,2405466.0,352561.0,1041062.0,1674417.0,4708856.0,177048.0,21281948.0
2013年,747376.3,1711210.0,706562.4,1888502.6,610726.7,2321936.7,3645005.6,1508341.1,404329.7,596300.7,1987548.4,14414560.0,2807634.9,2041756.8,324028.7,955832.1,1856286.6,6034498.3,201543.6,24279545.7
2014年,801554.6,1974229.3,983654.6,2094743.0,678543.5,2652772.8,4079308.4,1478558.4,430808.4,722568.9,2185303.2,16853109.0,3240750.9,2054647.6,282523.8,1010262.1,2026147.5,7351356.0,247761.7,27665985.3
