,中成药制造高技术产业新产品出口销售收入,仪器仪表制造业高技术产业新产品出口销售收入,其他电子设备制造高技术产业新产品出口销售收入,化学药品制造高技术产业新产品出口销售收入,医疗仪器设备及器械制造业高技术产业新产品出口销售收入,医疗器械及仪器仪表制造业高技术产业新产品出口销售收入,医药制造业高技术产业新产品出口销售收入,家用视听设备制造业高技术产业新产品出口销售收入,广播电视设备制造业高技术产业新产品出口销售收入,生物、生化制品的制造高技术产业新产品出口销售收入,电子元件制造业高技术产业新产品出口销售收入,电子及通信设备制造业高技术产业新产品出口销售收入,电子器件制造业高技术产业新产品出口销售收入,电子计算机及办公设备制造业高技术产业新产品出口销售收入,电子计算机外部设备制造业高技术产业新产品出口销售收入,电子计算机整机制造业高技术产业新产品出口销售收入,航空航天器制造业高技术产业新产品出口销售收入,通信设备制造业高技术产业新产品出口销售收入,雷达及配套设备制造业高技术产业新产品出口销售收入,高技术产业新产品出口销售收入
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,62617.9,1621539.4,458328.3,1875044.5,365119.8,1986659.2,2424277.2,6849883.6,538462.6,211293.8,8731247.6,47002810.5,9506939.9,49663776.1,24474820.1,24908085.0,589471.3,20902698.6,15249.9,101666994.3
2012年,107732.0,1546881.0,480388.0,2162831.0,682596.0,2229477.0,2933596.0,7509019.0,1008689.0,348232.0,10267356.0,57286163.0,14646226.0,50957488.0,4033217.0,24781631.0,471388.0,21077338.0,64254.0,113878114.0
2013年,85243.9,1814825.3,672674.2,2376197.7,645837.9,2460663.2,3168254.7,11570292.2,1357137.0,472717.1,9375768.4,78984743.7,12985822.4,37281236.3,3084719.3,12794493.6,438492.1,40650874.3,64754.1,122333390.0
2014年,91054.5,2000468.3,3058458.8,2105069.9,633959.4,2634427.7,3194422.0,8656292.2,554547.5,612658.7,10865587.1,98398646.8,16675566.4,43337393.5,4176560.6,20732162.4,920086.6,56455375.2,40469.6,148484976.6
