,中成药制造高技术产业新产品开发项目数,仪器仪表制造业高技术产业新产品开发项目数,其他电子设备制造高技术产业新产品开发项目数,化学药品制造高技术产业新产品开发项目数,医疗仪器设备及器械制造业高技术产业新产品开发项目数,医疗器械及仪器仪表制造业高技术产业新产品开发项目数,医药制造业高技术产业新产品开发项目数,家用视听设备制造业高技术产业新产品开发项目数,广播电视设备制造业高技术产业新产品开发项目数,生物、生化制品的制造高技术产业新产品开发项目数,电子元件制造业高技术产业新产品开发项目数,电子及通信设备制造业高技术产业新产品开发项目数,电子器件制造业高技术产业新产品开发项目数,电子计算机及办公设备制造业高技术产业新产品开发项目数,电子计算机外部设备制造业高技术产业新产品开发项目数,电子计算机整机制造业高技术产业新产品开发项目数,航空航天器制造业高技术产业新产品开发项目数,通信设备制造业高技术产业新产品开发项目数,雷达及配套设备制造业高技术产业新产品开发项目数,高技术产业新产品开发项目数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,3747,8817,1830,9060,2262,11079,16440,4981,707,2051,8267,31048,7072,4020,2451,1173,4019,7332,859,66606
2012年,4281,11235,2176,10834,2978,14213,19925,5545,1421,2806,12571,40467,7528,4285,1050,1201,4338,7389,911,83228
2013年,4629,11731,2627,18579,3338,15069,29247,6668,1935,3348,11002,44751,10049,4338,1309,914,3825,8212,1112,97230
2014年,5164,12885,3316,12657,3654,16539,24414,5811,2021,3858,11668,44930,9057,4717,1177,863,4272,8249,1091,94872
