,中成药制造高技术产业新产品销售收入,仪器仪表制造业高技术产业新产品销售收入,其他电子设备制造高技术产业新产品销售收入,化学药品制造高技术产业新产品销售收入,医疗仪器设备及器械制造业高技术产业新产品销售收入,医疗器械及仪器仪表制造业高技术产业新产品销售收入,医药制造业高技术产业新产品销售收入,家用视听设备制造业高技术产业新产品销售收入,广播电视设备制造业高技术产业新产品销售收入,生物、生化制品的制造高技术产业新产品销售收入,电子元件制造业高技术产业新产品销售收入,电子及通信设备制造业高技术产业新产品销售收入,电子器件制造业高技术产业新产品销售收入,电子计算机及办公设备制造业高技术产业新产品销售收入,电子计算机外部设备制造业高技术产业新产品销售收入,电子计算机整机制造业高技术产业新产品销售收入,航空航天器制造业高技术产业新产品销售收入,通信设备制造业高技术产业新产品销售收入,雷达及配套设备制造业高技术产业新产品销售收入,高技术产业新产品销售收入
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,4783835.4,11526631.6,2568865.8,13010276.3,1499572.2,13026203.8,23170434.7,24018469.5,1671948.9,2737218.7,18942031.1,115181308.6,19621438.7,68085415.1,33318733.2,33767758.7,5270130.8,47494562.2,863992.4,224733493.0
2012年,6591441.0,13401222.0,2481642.0,16618378.0,2504121.0,15905343.0,29286008.0,23530973.0,2908053.0,2552810.0,21428663.0,136954427.0,26458667.0,67173270.0,5887898.0,35062943.0,6391332.0,50443019.0,1456019.0,255710383.0
2013年,8296028.7,14372266.0,5385038.0,20282116.1,3014632.9,17386898.9,36061673.8,33199982.2,3709957.7,3266623.4,22923690.8,193907207.1,28557740.6,57374228.3,5964034.1,26037165.6,7566091.8,90731953.2,1204193.2,312296099.9
2014年,10198987.1,16959885.5,10072957.7,23348872.9,3398093.7,20357979.2,43018345.3,28452368.6,3009567.3,4232808.1,26244323.2,223221171.5,40868629.1,57159199.2,5823783.6,29222187.5,11185051.2,101942152.0,1570031.2,354941746.4
