,中国对不丹劳务合作年末在外人员,中国对东帝汶劳务合作年末在外人员,中国对中国台湾劳务合作年末在外人员,中国对中国澳门劳务合作年末在外人员,中国对中国香港劳务合作年末在外人员,中国对乌兹别克斯坦劳务合作年末在外人员,中国对也门共和国劳务合作年末在外人员,中国对亚洲其他国家劳务合作年末在外人员,中国对亚洲劳务合作年末在外人员,中国对以色列劳务合作年末在外人员,中国对伊拉克劳务合作年末在外人员,中国对伊朗劳务合作年末在外人员,中国对卡塔尔劳务合作年末在外人员,中国对印度劳务合作年末在外人员,中国对印度尼西亚劳务合作年末在外人员,中国对叙利亚劳务合作年末在外人员,中国对吉尔吉斯斯坦劳务合作年末在外人员,中国对哈萨克斯坦劳务合作年末在外人员,中国对土库曼斯坦劳务合作年末在外人员,中国对土耳其劳务合作年末在外人员,中国对塔吉克斯坦劳务合作年末在外人员,中国对塞浦路斯劳务合作年末在外人员,中国对孟加拉国劳务合作年末在外人员,中国对尼泊尔劳务合作年末在外人员,中国对巴基斯坦劳务合作年末在外人员,中国对巴林劳务合作年末在外人员,中国对文莱劳务合作年末在外人员,中国对斯里兰卡劳务合作年末在外人员,中国对新加坡劳务合作年末在外人员,中国对日本劳务合作年末在外人员,中国对朝鲜劳务合作年末在外人员,中国对柬埔寨劳务合作年末在外人员,中国对沙特阿拉伯劳务合作年末在外人员,中国对泰国劳务合作年末在外人员,中国对科威特劳务合作年末在外人员,中国对约旦劳务合作年末在外人员,中国对缅甸劳务合作年末在外人员,中国对老挝劳务合作年末在外人员,中国对菲律宾劳务合作年末在外人员,中国对蒙古劳务合作年末在外人员,中国对越南劳务合作年末在外人员,中国对阿富汗劳务合作年末在外人员,中国对阿曼劳务合作年末在外人员,中国对阿联酋劳务合作年末在外人员,中国对韩国劳务合作年末在外人员,中国对马尔代夫劳务合作年末在外人员,中国对马来西亚劳务合作年末在外人员,中国对黎巴嫩劳务合作年末在外人员
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,1.0,15.0,10851.0,58103.0,21992.0,81.0,,,420443.0,499.0,31.0,,1587.0,373.0,597.0,,94.0,922.0,,269.0,96.0,166.0,247.0,61.0,365.0,6.0,,62.0,71463.0,177560.0,37.0,1165.0,6243.0,1086.0,1245.0,4325.0,502.0,928.0,115.0,2798.0,5266.0,,56.0,7196.0,40941.0,28.0,3065.0,6.0
2012年,,6.0,8512.0,67475.0,32973.0,21.0,,,417465.0,413.0,53.0,,1535.0,219.0,737.0,,174.0,909.0,517.0,204.0,85.0,170.0,44.0,61.0,413.0,74.0,,27.0,68749.0,173349.0,36.0,1613.0,7197.0,1006.0,2107.0,3229.0,639.0,1458.0,49.0,2257.0,4624.0,,20.0,6933.0,26793.0,18.0,2759.0,6.0
2013年,,,6166.0,88172.0,33174.0,29.0,,1.0,396417.0,261.0,339.0,,1487.0,209.0,729.0,,24.0,306.0,,21.0,39.0,181.0,49.0,9.0,434.0,73.0,,193.0,66805.0,153380.0,38.0,1715.0,7569.0,910.0,2723.0,1153.0,839.0,1664.0,70.0,2853.0,3498.0,,2.0,6045.0,12762.0,21.0,2468.0,6.0
2014年,,,6273.0,113489.0,50850.0,114.0,,43.0,469013.0,243.0,183.0,,1482.0,149.0,867.0,,271.0,345.0,,33.0,103.0,260.0,137.0,158.0,478.0,73.0,,297.0,86020.0,159384.0,38.0,2345.0,9548.0,721.0,2252.0,1050.0,632.0,1151.0,65.0,2169.0,3308.0,,23.0,6187.0,14465.0,21.0,3779.0,6.0
