,中国对大洋洲及太平洋岛屿劳务合作年末在外人员,中国对密克罗尼西亚劳务合作年末在外人员,中国对巴布亚新几内亚劳务合作年末在外人员,中国对库克群岛劳务合作年末在外人员,中国对斐济劳务合作年末在外人员,中国对新喀里多尼亚劳务合作年末在外人员,中国对新西兰劳务合作年末在外人员,中国对汤加劳务合作年末在外人员,中国对澳大利亚劳务合作年末在外人员,中国对瓦努阿图劳务合作年末在外人员,中国对萨摩亚劳务合作年末在外人员,中国对马绍尔群岛劳务合作年末在外人员
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,,,,,,,,,,,,
2003年,,,,,,,,,,,,
2004年,,,,,,,,,,,,
2005年,,,,,,,,,,,,
2006年,,,,,,,,,,,,
2007年,,,,,,,,,,,,
2008年,,,,,,,,,,,,
2009年,,,,,,,,,,,,
2010年,,,,,,,,,,,,
2011年,3742.0,23.0,,,871.0,54.0,206.0,,906.0,581.0,1037.0,64.0
2012年,5237.0,81.0,12.0,,1251.0,221.0,162.0,,845.0,478.0,1037.0,645.0
2013年,5348.0,150.0,13.0,1.0,1398.0,285.0,83.0,,823.0,324.0,1037.0,617.0
2014年,7830.0,59.0,49.0,,1467.0,285.0,59.0,,767.0,350.0,1037.0,2664.0
