,中国对加拿大劳务合作年末在外人员,中国对北美洲其他国家(地区)劳务合作年末在外人员,中国对北美洲劳务合作年末在外人员,中国对格陵兰劳务合作年末在外人员,中国对百慕大劳务合作年末在外人员,中国对美国劳务合作年末在外人员
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,,,,,,
2003年,,,,,,
2004年,,,,,,
2005年,,,,,,
2006年,,,,,,
2007年,,,,,,
2008年,,,,,,
2009年,,,,,,
2010年,,,,,,
2011年,492.0,8.0,3172.0,,,2672.0
2012年,139.0,,2271.0,,,2123.0
2013年,639.0,2.0,1540.0,,,899.0
2014年,877.0,,2117.0,,,1137.0
