,乡村人口,城镇人口,女性人口,年末总人口,男性人口
1978年,79014,17245,46692,96259,49567
1979年,79047,18495,47350,97542,50192
1980年,79565,19140,47920,98705,50785
1981年,79901,20171,48553,100072,51519
1982年,80174,21480,49302,101654,52352
1983年,80734,22274,49856,103008,53152
1984年,80340,24017,50509,104357,53848
1985年,80757,25094,51126,105851,54725
1986年,81141,26366,51926,107507,55581
1987年,81626,27674,53010,109300,56290
1988年,82365,28661,53825,111026,57201
1989年,83164,29540,54605,112704,58099
1990年,84138,30195,55429,114333,58904
1991年,84620,31203,56357,115823,59466
1992年,84996,32175,57360,117171,59811
1993年,85344,33173,58045,118517,60472
1994年,85681,34169,58604,119850,61246
1995年,85947,35174,59313,121121,61808
1996年,85085,37304,60189,122389,62200
1997年,84177,39449,60495,123626,63131
1998年,83153,41608,60821,124761,63940
1999年,82038,43748,61094,125786,64692
2000年,80837,45906,61306,126743,65437
2001年,79563,48064,61955,127627,65672
2002年,78241,50212,62338,128453,66115
2003年,76851,52376,62671,129227,66556
2004年,75705,54283,63012,129988,66976
2005年,74544,56212,63381,130756,67375
2006年,73160,58288,63720,131448,67728
2007年,71496,60633,64081,132129,68048
2008年,70399,62403,64445,132802,68357
2009年,68938,64512,64803,133450,68647
2010年,67113,66978,65343,134091,68748
2011年,65656,69079,65667,134735,69068
2012年,64222,71182,66009,135404,69395
2013年,62961,73111,66344,136072,69728
2014年,61866,74916,66703,136782,70079
