,每十万人口初中阶段平均在校生数,每十万人口小学平均在校生数,每十万人口幼儿园平均在校生数,每十万人口高中阶段平均在校生数,每十万人口高等学校平均在校生数
1978年,,15190.0,,,89.0
1979年,,15100.0,,,105.0
1980年,,14820.0,,,116.0
1981年,,14390.0,,,128.0
1982年,,13820.0,,,114.0
1983年,,13180.0,,,117.0
1984年,,12990.0,,,134.0
1985年,,12630.0,,,161.0
1986年,,12260.0,,,175.0
1987年,,11740.0,,,179.0
1988年,,11290.0,,,186.0
1989年,,10980.0,,,185.0
1990年,3426.0,10707.0,1725.0,1337.0,326.0
1991年,3465.0,10502.0,1907.0,1355.0,304.0
1992年,3518.0,10413.0,2072.0,1365.0,313.0
1993年,3599.0,10656.0,2190.0,1448.0,376.0
1994年,3681.0,10819.0,2219.0,1293.0,433.0
1995年,3945.0,11010.0,2262.0,1610.0,457.0
1996年,4180.0,11273.0,2208.0,1780.0,470.0
1997年,4289.0,11435.0,2058.0,1905.0,482.0
1998年,4408.0,11287.0,1944.0,1978.0,519.0
1999年,4656.0,10855.0,1864.0,2032.0,594.0
2000年,4969.0,10335.0,1782.0,2005.0,723.0
2001年,5161.0,9937.0,1602.0,2021.0,931.0
2002年,5240.0,9525.0,1595.0,2283.0,1146.0
2003年,5209.0,9100.0,1560.0,2523.0,1298.0
2004年,5058.0,8725.0,1617.0,2824.0,1420.0
2005年,4781.0,8358.0,1676.0,3070.0,1613.0
2006年,4556.53973814,8192.00235553,1731.35527242,3320.58,1815.73763345
2007年,4363.85,8036.64,1786.89,3409.07,1923.62
2008年,4226.90779466,7819.26163068,1873.13912918,3463.34,2041.65959025
2009年,4097.03280071,7583.82110209,2001.33589856,3495.0,2128.35838316
2010年,3955.32463251,7447.67093217,2230.14931747,3504.0,2188.94563735
2011年,3779.0,7403.0,2554.0,3495.0,2253.0
2012年,3535.0,7196.0,2736.0,3411.0,2335.0
2013年,3279.17,6913.05,2876.35,3227.32,2417.86
2014年,3222.28651008,6945.6354724,2976.89054324,3065.0324828,2488.08718914
