,中外合作经营零售业企业主营业务成本,中外合资经营零售业企业主营业务成本,其他外商投资零售业企业主营业务成本,其他有限责任公司零售业企业主营业务成本,其他港澳台商投资零售业企业主营业务成本,其他联营零售业企业主营业务成本,其他零售业企业主营业务成本,内资零售业企业主营业务成本,国有与集体联营零售业企业主营业务成本,国有独资公司零售业企业主营业务成本,国有联营零售业企业主营业务成本,国有零售业企业主营业务成本,外商投资股份有限公司零售业企业主营业务成本,外商投资零售业企业主营业务成本,外资零售业企业主营业务成本,有限责任公司零售业企业主营业务成本,港澳台商合作经营零售业企业主营业务成本,港澳台商合资经营零售业企业主营业务成本,港澳台商投资股份有限公司零售业企业主营业务成本,港澳台商投资零售业企业主营业务成本,港澳台商独资经营零售业企业主营业务成本,私营合伙零售业企业主营业务成本,私营有限责任公司零售业企业主营业务成本,私营独资零售业企业主营业务成本,私营股份有限公司零售业企业主营业务成本,私营零售业企业主营业务成本,联营零售业企业主营业务成本,股份合作零售业企业主营业务成本,股份有限公司零售业企业主营业务成本,集体联营零售业企业主营业务成本,集体零售业企业主营业务成本,零售业企业主营业务成本
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,68.6799,94.3604,,322.3189,,12.3755,0.8045,3115.1094,47.4562,36.7371,30.6294,1271.826,,170.324,7.2837,359.056,36.4283,57.0717,11.374,105.7237,0.8498,3.2857,73.9595,15.8002,9.7062,102.7517,95.8313,96.5985,775.5151,5.3703,412.7264,3391.1571
2000年,97.9905,95.0309,,545.5712,,17.1247,1.9265,3428.6922,34.8653,55.1828,25.3489,1290.9457,1.2482,194.3178,0.0482,600.754,55.82,67.8888,24.0761,153.1355,5.3507,4.6418,134.7203,24.1424,18.3354,181.84,89.8305,103.4864,792.1388,12.4916,367.7703,3776.1455
2001年,137.5814,131.5377,,891.5831,,13.3045,4.4795,4060.8286,66.2486,63.1276,31.2578,1114.9552,,281.6393,12.5203,954.7107,37.1293,89.5937,9.7977,139.8225,3.3018,5.3214,341.185,20.7685,56.8012,424.076,117.1069,115.348,1042.826,6.2959,287.3264,4482.2904
2002年,184.6906,158.132,,1477.0045,,12.6566,7.4683,5177.2776,77.9797,47.6218,47.0291,1030.1774,2.7914,373.0788,27.4648,1524.6263,24.5097,111.5318,14.8491,156.98,6.0893,9.9698,675.8371,35.9249,60.3657,782.0975,153.6136,156.3809,1213.231,15.9483,309.6827,5707.3364
