,中外合作经营零售业企业主营业务成本,中外合资经营零售业企业主营业务成本,其他外商投资零售业企业主营业务成本,其他有限责任公司零售业企业主营业务成本,其他港澳台商投资零售业企业主营业务成本,其他联营零售业企业主营业务成本,其他零售业企业主营业务成本,内资零售业企业主营业务成本,国有与集体联营零售业企业主营业务成本,国有独资公司零售业企业主营业务成本,国有联营零售业企业主营业务成本,国有零售业企业主营业务成本,外商投资股份有限公司零售业企业主营业务成本,外商投资零售业企业主营业务成本,外资零售业企业主营业务成本,有限责任公司零售业企业主营业务成本,港澳台商合作经营零售业企业主营业务成本,港澳台商合资经营零售业企业主营业务成本,港澳台商投资股份有限公司零售业企业主营业务成本,港澳台商投资零售业企业主营业务成本,港澳台商独资经营零售业企业主营业务成本,私营合伙零售业企业主营业务成本,私营有限责任公司零售业企业主营业务成本,私营独资零售业企业主营业务成本,私营股份有限公司零售业企业主营业务成本,私营零售业企业主营业务成本,联营零售业企业主营业务成本,股份合作零售业企业主营业务成本,股份有限公司零售业企业主营业务成本,集体联营零售业企业主营业务成本,集体零售业企业主营业务成本,零售业企业主营业务成本
2003年,81.43207,261.01795,,2123.94919,,16.06906,10.39706,6633.92688,77.32253,97.96397,33.93265,944.39151,3.65253,492.04565,145.9431,2221.91316,30.84342,126.23716,0.19084,177.54393,20.27251,29.71151,1214.56444,81.5935,88.27177,1414.14122,132.38464,176.97683,1425.62469,5.0604,308.09777,7303.5165
2004年,239.31748,364.16737,0.0,3582.81299,0.0,13.46899,28.03817,10582.55115,116.11445,87.14555,57.13202,1012.94847,0.80035,707.45665,103.17145,3669.95854,42.24226,279.28095,2.09709,333.63289,10.01259,43.57026,2827.27235,115.19054,180.49068,3166.52383,194.33925,165.01846,1986.11634,7.62379,359.60809,11623.64069
2005年,291.05707,475.52283,,3995.8578,,24.74067,36.9354,12215.44731,117.62639,100.48998,42.77598,1023.27642,0.70217,896.89747,129.6154,4096.34788,52.1309,282.1281,1.23791,385.07216,49.57525,49.96363,3139.11125,122.72638,206.62662,3518.42788,196.74434,197.48517,2808.62073,11.6013,337.60959,13497.41694
2006年,303.1413,619.0658,,4863.7613,,19.2955,76.3249,15071.1223,123.4867,260.0196,52.7702,1057.0435,13.9663,1185.3366,249.1632,5123.7809,69.9085,322.3835,0.181,483.5827,91.1098,81.8749,4188.6862,254.1945,256.0831,4780.8387,211.8624,189.8007,3246.9568,16.31,384.5145,16740.0416
2007年,241.48818,834.66129,,6155.56898,,32.05572,155.131,18129.84566,117.55761,168.14002,49.26958,1229.78004,4.60713,1449.85516,369.09856,6323.709,79.62948,409.62598,1.88165,744.45236,253.31525,83.46993,5221.33492,274.95217,301.243,5881.00002,219.9153,205.63097,3656.03461,21.03239,458.64472,20324.15318
2008年,419.2739,1130.2656,,8228.5138,,29.3145,271.8411,25413.83,91.0924,145.918,70.4343,1842.9176,84.6398,2309.238,675.0587,8374.4318,53.6039,448.333,33.7985,1197.6846,661.9492,144.2996,6947.0551,762.4275,443.4286,8297.2108,202.6372,190.6315,5647.3749,11.796,586.7851,28920.7526
2009年,202.24826,1270.15804,,10290.99876,,13.70105,290.70789,29783.01271,25.15227,177.41705,76.5332,2480.34757,73.33233,2536.14018,990.40155,10468.41581,236.1547,515.60883,38.14547,1670.19082,880.28182,164.80545,8385.91832,907.1613,619.03231,10076.91738,133.39612,223.22487,5358.14979,18.0096,751.85328,33989.34371
2010年,200.7,1531.8,,13875.5,,22.6,369.8,39732.2,44.4,221.8,98.5,3522.6,99.3,3162.4,1330.5,14097.3,318.2,646.0,56.1,2286.2,1266.0,233.2,11398.8,1265.0,845.8,13742.9,186.8,241.9,6664.5,21.2,906.4,45180.79558
2011年,216.7824,1715.2507,9.7825,17635.4659,173.2304,27.3257,1265.6512,49167.4396,40.0657,221.9685,101.7546,4384.9795,62.9478,3718.346,1713.5826,17857.4344,317.1928,824.7454,41.7756,3038.3733,1681.429,267.2807,13114.7048,1526.8561,880.6042,15789.4459,196.802,299.4149,8384.8668,27.656,988.845,55924.1589
2012年,210.17908,1789.78905,23.33008,20815.39438,202.5123,35.59314,1489.31619,57087.20548,51.02825,292.22288,82.80863,4803.30964,55.29485,3839.67877,1761.08571,21107.61726,369.26894,945.18143,61.36216,3666.84926,2088.52443,299.29874,15854.89158,1963.2143,995.28253,19112.68715,198.21612,409.21831,8830.77388,28.7861,1136.06693,64593.7335
2013年,208.14927,1942.42296,31.59382,27027.17753,74.3307,20.21103,487.16516,67790.37494,31.63824,1203.2667,24.31066,2001.69206,104.83743,4374.45759,2087.45411,28230.44423,63.69832,980.13979,60.29247,3661.96586,2483.50458,128.95006,21269.45934,997.6044,1258.45831,23654.47211,96.78339,142.4729,12024.14971,20.62346,1153.19538,75826.7984
2014年,190.61369,2038.78486,35.78869,32274.15989,76.69708,17.20044,379.88095,76957.39265,26.66749,1448.4971,19.98216,1796.61298,113.89525,4698.01415,2318.93166,33722.65699,59.22357,1047.81032,66.71789,3990.32823,2739.87937,120.37968,24469.50407,1055.61659,1320.58817,26966.08851,95.01748,149.57515,12597.61427,31.16739,1249.94632,85645.735
