,中外合作经营零售业企业主营业务收入,中外合资经营零售业企业主营业务收入,其他外商投资零售业企业主营业务收入,其他有限责任公司零售业企业主营业务收入,其他港澳台商投资零售业企业主营业务收入,其他联营零售业企业主营业务收入,其他零售业企业主营业务收入,内资零售业企业主营业务收入,国有与集体联营零售业企业主营业务收入,国有独资公司零售业企业主营业务收入,国有联营零售业企业主营业务收入,国有零售业企业主营业务收入,外商投资股份有限公司零售业企业主营业务收入,外商投资零售业企业主营业务收入,外资零售业企业主营业务收入,有限责任公司零售业企业主营业务收入,港澳台商合作经营零售业企业主营业务收入,港澳台商合资经营零售业企业主营业务收入,港澳台商投资股份有限公司零售业企业主营业务收入,港澳台商投资零售业企业主营业务收入,港澳台商独资经营零售业企业主营业务收入,私营合伙零售业企业主营业务收入,私营有限责任公司零售业企业主营业务收入,私营独资零售业企业主营业务收入,私营股份有限公司零售业企业主营业务收入,私营零售业企业主营业务收入,联营零售业企业主营业务收入,股份合作零售业企业主营业务收入,股份有限公司零售业企业主营业务收入,集体联营零售业企业主营业务收入,集体零售业企业主营业务收入,零售业企业主营业务收入
2003年,97.98687,307.20469,,2353.83829,,18.12833,11.31314,7412.1943,80.15771,111.16425,37.1181,1091.20495,4.51465,567.78815,158.08194,2465.00254,39.15699,153.82031,0.21872,219.38661,26.19059,32.93295,1312.3698,92.71164,95.4238,1533.43819,141.17269,195.0801,1633.5697,5.76855,341.41299,8199.3691
2004年,269.03444,426.10028,0.0,3976.90823,0.0,14.84236,30.82892,11863.93278,119.94729,102.44513,64.76387,1196.62507,1.06739,822.54012,126.33801,4079.35336,49.23729,331.79739,2.37781,399.54396,16.13147,48.8219,3106.40539,128.93526,196.96241,3481.12496,208.33995,185.30999,2276.4157,8.78643,405.93483,13086.01686
2005年,338.18365,554.85768,,4458.67656,,27.50586,41.00117,13682.55483,121.17193,120.82824,46.65186,1199.13032,0.83098,1045.80826,151.93595,4579.5047,60.22493,347.51102,1.43632,462.49632,53.32405,55.9123,3491.55384,136.70482,223.34155,3907.51261,207.97882,215.89836,3156.09985,12.64917,375.429,15190.85941
2006年,337.0026,715.6008,,5392.1896,,20.8949,85.8393,16717.8637,126.8966,298.8583,57.0374,1220.1553,18.5017,1366.3982,295.2931,5691.0479,80.9008,383.8752,0.2003,586.5536,121.5773,91.7364,4558.5998,280.6852,280.976,5211.9974,222.7132,208.9049,3653.7589,17.8843,423.4468,18670.8154
2007年,284.15973,973.60829,,6879.30041,,35.79876,175.56923,20342.9141,121.19828,198.38807,53.44806,1430.95808,5.88825,1709.78032,446.12405,7077.68848,95.08345,482.83498,2.2807,898.60809,318.40896,94.06043,5756.28099,314.5442,334.58103,6499.46665,234.52546,229.03809,4182.22409,24.08036,513.44402,22951.30251
2008年,482.3881,1302.341,,9378.4837,,33.7689,323.9832,29036.0937,111.5779,174.9048,79.9881,2135.7252,97.8266,2709.5092,826.9536,9553.3886,63.6032,531.8797,39.8946,1440.58,805.2025,172.6121,7846.6749,921.3884,505.2551,9445.9305,238.7966,225.3931,6427.8584,13.4617,685.0183,33186.183
2009年,243.74669,1473.8937,,11617.44877,,15.31029,327.37387,33614.06369,27.66174,204.51687,83.30933,2815.97069,86.42591,3022.6138,1218.5475,11821.96564,250.49439,612.77061,45.14942,1963.32265,1054.90823,192.37639,9332.10367,1067.0618,692.88418,11284.42604,147.51988,255.34444,6094.66281,21.23852,866.80032,38600.00014
2010年,237.0,1764.6,,15637.9,,25.7,420.8,44715.8,48.0,261.2,108.2,3965.2,116.2,3724.9,1607.0,15899.1,341.6,757.8,73.6,2674.9,1501.9,277.3,12675.1,1514.1,949.0,15415.5,206.6,277.0,7487.6,24.7,1043.9,51115.523
2011年,258.9234,1970.3999,10.7559,19758.7475,198.8366,30.8066,1406.3563,55049.1566,42.4375,255.4716,111.9691,4848.5068,69.8435,4384.0828,2074.1601,20014.219,344.7108,977.5485,53.7066,3605.6729,2030.8705,312.1059,14630.3657,1792.7571,987.4227,17722.6514,216.9599,339.0002,9378.0637,31.7468,1123.3993,63038.9123
2012年,245.67939,2058.90109,28.12252,23379.10267,245.11756,39.64747,1701.04791,63766.90739,54.8282,335.04455,90.93028,5311.90324,62.10135,4570.51522,2175.71087,23714.14722,395.72507,1123.17642,85.07928,4380.92568,2531.82735,343.88198,17702.21179,2113.38267,1129.12096,21288.5974,218.55587,457.74347,9764.98558,33.14992,1309.9267,72718.3483
2013年,241.22303,2251.00763,35.78163,30440.69935,96.90369,23.55407,576.13093,76524.4587,34.80019,1346.34445,26.76266,2266.14588,122.22307,5219.91077,2569.67541,31787.0438,74.04382,1184.69849,92.72051,4480.42209,3032.05558,154.14366,24110.33067,1222.78032,1456.13942,26943.39407,109.61599,163.82568,13340.5062,24.49907,1337.79615,86224.7916
2014年,216.1909,2365.70927,42.29061,36114.08529,87.31304,20.02099,456.53499,86359.66222,29.84624,1613.22343,22.17155,2015.3857,135.07151,5638.26674,2879.00445,37727.30872,69.92072,1276.18586,94.11897,4890.62915,3363.09056,145.62324,27607.22485,1279.2939,1513.66783,30545.80982,106.48459,169.89619,13910.06262,34.44581,1428.17959,96888.5581
