,中外合作经营零售业企业主营业务收入,中外合资经营零售业企业主营业务收入,其他外商投资零售业企业主营业务收入,其他有限责任公司零售业企业主营业务收入,其他港澳台商投资零售业企业主营业务收入,其他联营零售业企业主营业务收入,其他零售业企业主营业务收入,内资零售业企业主营业务收入,国有与集体联营零售业企业主营业务收入,国有独资公司零售业企业主营业务收入,国有联营零售业企业主营业务收入,国有零售业企业主营业务收入,外商投资股份有限公司零售业企业主营业务收入,外商投资零售业企业主营业务收入,外资零售业企业主营业务收入,有限责任公司零售业企业主营业务收入,港澳台商合作经营零售业企业主营业务收入,港澳台商合资经营零售业企业主营业务收入,港澳台商投资股份有限公司零售业企业主营业务收入,港澳台商投资零售业企业主营业务收入,港澳台商独资经营零售业企业主营业务收入,私营合伙零售业企业主营业务收入,私营有限责任公司零售业企业主营业务收入,私营独资零售业企业主营业务收入,私营股份有限公司零售业企业主营业务收入,私营零售业企业主营业务收入,联营零售业企业主营业务收入,股份合作零售业企业主营业务收入,股份有限公司零售业企业主营业务收入,集体联营零售业企业主营业务收入,集体零售业企业主营业务收入,零售业企业主营业务收入
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,79.6751,115.3762,,373.5836,,14.2494,1.1148,3609.5965,50.2186,43.3636,35.9657,1487.5351,,203.1969,8.1456,416.9472,46.0053,69.4797,13.0437,129.604,1.0753,3.4581,82.0425,17.3361,10.9884,113.825,106.6996,111.8018,907.7758,6.2659,463.8973,3942.3973
2000年,113.8522,117.3222,,622.1716,,19.7712,2.1445,3952.8271,36.44,64.7132,29.5786,1508.8248,1.292,232.5206,0.0542,686.8848,103.3131,82.137,30.0265,222.3779,6.9013,5.0692,152.4972,26.7783,19.8694,204.2141,99.6327,117.2861,923.7963,13.8429,410.0437,4407.7256
2001年,156.4758,165.8357,,1013.5655,,16.6052,5.4598,4662.8122,68.6042,72.5869,34.7002,1306.6683,,336.8509,14.5394,1086.1524,43.7606,110.3486,11.1531,170.0334,4.771,13.1126,377.2781,22.9644,61.1592,474.5144,127.4191,132.0494,1207.713,7.5096,322.8359,5169.6964
2002年,208.7333,188.0703,,1650.6269,,14.8627,8.9402,5832.8386,80.7245,55.2836,55.572,1188.2188,3.5031,432.5273,32.2206,1705.9104,30.4393,138.2905,17.8879,195.2752,8.6576,10.6214,737.1719,39.6922,65.9892,853.4747,167.9867,174.1828,1392.503,16.8275,341.622,6460.6411
