,专用设备制造业国有控股工业企业固定资产合计,仪器仪表制造业国有控股工业企业固定资产合计,其他制造业国有控股工业企业固定资产合计,其他采矿业国有控股工业企业固定资产合计,农副食品加工业国有控股工业企业固定资产合计,化学原料和化学制品制造业国有控股工业企业固定资产合计,化学纤维制造业国有控股工业企业固定资产合计,医药制造业国有控股工业企业固定资产合计,印刷和记录媒介复制业国有控股工业企业固定资产合计,国有控股工业企业固定资产合计,家具制造业国有控股工业企业固定资产合计,废弃资源综合利用业国有控股工业企业固定资产合计,开采辅助活动国有控股工业企业固定资产合计,文教、工美、体育和娱乐用品制造业国有控股工业企业固定资产合计,有色金属冶炼和压延加工业国有控股工业企业固定资产合计,有色金属矿采选业国有控股工业企业固定资产合计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业固定资产合计,橡胶和塑料制品业国有控股工业企业固定资产合计,水的生产和供应业国有控股工业企业固定资产合计,汽车制造业国有控股工业企业固定资产合计,烟草制品业国有控股工业企业固定资产合计,煤炭开采和洗选业国有控股工业企业固定资产合计,燃气生产和供应业国有控股工业企业固定资产合计,电力、热力生产和供应业国有控股工业企业固定资产合计,电气机械和器材制造业国有控股工业企业固定资产合计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业固定资产合计,石油加工、炼焦和核燃料加工业国有控股工业企业固定资产合计,石油和天然气开采业国有控股工业企业固定资产合计,纺织业国有控股工业企业固定资产合计,纺织服装、服饰业国有控股工业企业固定资产合计,计算机、通信和其他电子设备制造业国有控股工业企业固定资产合计,通用设备制造业国有控股工业企业固定资产合计,造纸和纸制品业国有控股工业企业固定资产合计,酒、饮料和精制茶制造业国有控股工业企业固定资产合计,金属制品、机械和设备修理业国有控股工业企业固定资产合计,金属制品业国有控股工业企业固定资产合计,铁路、船舶、航空航天和其他运输设备国有控股工业企业固定资产合计,非金属矿物制品业国有控股工业企业固定资产合计,非金属矿采选业国有控股工业企业固定资产合计,食品制造业国有控股工业企业固定资产合计,黑色金属冶炼和压延加工业国有控股工业企业固定资产合计,黑色金属矿采选业国有控股工业企业固定资产合计
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1626.44758,211.48046,209.40191,0.77646,462.27493,7533.32696,271.37448,790.45899,243.14038,136168.03494,17.94154,24.78976,831.03042,25.12961,4197.78014,708.75198,80.27417,415.90372,2859.15938,4227.93425,1175.29893,12259.25207,1203.10562,53256.05425,1120.06785,14.68486,5906.18395,11027.4809,343.81756,49.86448,1966.32861,1414.20134,700.29182,725.74765,200.48726,751.01223,2525.10487,3135.54361,260.79086,277.47298,12141.84378,976.02234
2013年,1803.39,223.0,283.97,0.79,573.72,8595.61,277.5,847.13,252.32,146122.27,10.32,40.7,885.14,33.44,4552.87,770.17,81.92,472.45,3155.9,4528.67,1219.11,13777.25,1183.63,57700.88,1079.91,10.91,5677.66,11214.03,380.97,59.18,2007.41,1531.75,663.6,755.28,208.19,800.26,2556.44,3474.84,306.61,293.86,12691.09,1140.41
2014年,1742.39,216.33,280.7,0.94,617.66,9609.39,288.77,912.57,247.01,164827.72,10.09,28.54,812.94,34.71,5045.6,954.13,89.35,475.65,3378.57,5461.18,1267.72,15210.1,1591.84,66135.74,1145.91,9.49,6381.98,14503.18,383.09,60.72,2396.86,1679.21,644.93,821.88,185.31,935.85,2578.94,3682.8,349.3,303.15,13144.94,1208.28
