,专用设备制造业国有控股工业企业存货,仪器仪表制造业国有控股工业企业存货,其他制造业国有控股工业企业存货,其他采矿业国有控股工业企业存货,农副食品加工业国有控股工业企业存货,化学原料和化学制品制造业国有控股工业企业存货,化学纤维制造业国有控股工业企业存货,医药制造业国有控股工业企业存货,印刷和记录媒介复制业国有控股工业企业存货,国有控股工业企业存货,家具制造业国有控股工业企业存货,废弃资源综合利用业国有控股工业企业存货,开采辅助活动国有控股工业企业存货,文教、工美、体育和娱乐用品制造业国有控股工业企业存货,有色金属冶炼和压延加工业国有控股工业企业存货,有色金属矿采选业国有控股工业企业存货,木材加工和木、竹、藤、棕、草制品业国有控股工业企业存货,橡胶和塑料制品业国有控股工业企业存货,水的生产和供应业国有控股工业企业存货,汽车制造业国有控股工业企业存货,烟草制品业国有控股工业企业存货,煤炭开采和洗选业国有控股工业企业存货,燃气生产和供应业国有控股工业企业存货,电力、热力生产和供应业国有控股工业企业存货,电气机械和器材制造业国有控股工业企业存货,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业存货,石油加工、炼焦和核燃料加工业国有控股工业企业存货,石油和天然气开采业国有控股工业企业存货,纺织业国有控股工业企业存货,纺织服装、服饰业国有控股工业企业存货,计算机、通信和其他电子设备制造业国有控股工业企业存货,通用设备制造业国有控股工业企业存货,造纸和纸制品业国有控股工业企业存货,酒、饮料和精制茶制造业国有控股工业企业存货,金属制品、机械和设备修理业国有控股工业企业存货,金属制品业国有控股工业企业存货,铁路、船舶、航空航天和其他运输设备国有控股工业企业存货,非金属矿物制品业国有控股工业企业存货,非金属矿采选业国有控股工业企业存货,食品制造业国有控股工业企业存货,黑色金属冶炼和压延加工业国有控股工业企业存货,黑色金属矿采选业国有控股工业企业存货
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1443.89737,183.16398,98.73499,0.31268,433.28956,1459.24349,80.24646,390.48862,75.37392,29261.62836,7.55248,6.65338,308.26554,94.98594,2515.27716,185.6248,34.18537,227.6694,41.45244,1854.08319,2712.5649,1274.43292,79.15439,1041.02308,1076.52844,15.60841,2508.01824,252.66307,152.72634,35.89185,1148.48741,1494.07034,188.74247,539.28065,89.95311,492.65096,1925.25586,575.36683,49.77743,91.1068,3941.81762,136.00647
2013年,1564.5,189.09,214.61,0.2,481.13,1422.34,100.58,405.45,76.44,31551.63,7.53,10.9,206.61,87.58,2589.61,184.99,32.22,219.86,57.21,1965.48,3362.58,1430.71,93.71,1031.45,1096.89,14.14,2714.54,253.21,164.57,40.38,1239.79,1524.31,166.68,619.79,96.3,515.7,2062.57,588.41,61.27,91.42,4408.43,158.45
2014年,1537.15,198.71,229.53,0.18,548.89,1478.5,86.49,448.57,76.56,32852.09,8.6,9.07,191.41,95.39,2416.4,221.22,38.05,245.62,66.62,2484.27,3846.14,1545.25,104.84,1166.11,1100.86,14.59,2214.64,254.65,169.05,40.71,1460.93,1695.62,178.76,691.87,76.64,550.48,2298.61,627.66,78.8,128.21,4049.63,176.82
