,专用设备制造业国有控股工业企业流动负债合计,仪器仪表制造业国有控股工业企业流动负债合计,其他制造业国有控股工业企业流动负债合计,其他采矿业国有控股工业企业流动负债合计,农副食品加工业国有控股工业企业流动负债合计,化学原料和化学制品制造业国有控股工业企业流动负债合计,化学纤维制造业国有控股工业企业流动负债合计,医药制造业国有控股工业企业流动负债合计,印刷和记录媒介复制业国有控股工业企业流动负债合计,国有控股工业企业流动负债合计,家具制造业国有控股工业企业流动负债合计,废弃资源综合利用业国有控股工业企业流动负债合计,开采辅助活动国有控股工业企业流动负债合计,文教、工美、体育和娱乐用品制造业国有控股工业企业流动负债合计,有色金属冶炼和压延加工业国有控股工业企业流动负债合计,有色金属矿采选业国有控股工业企业流动负债合计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业流动负债合计,橡胶和塑料制品业国有控股工业企业流动负债合计,水的生产和供应业国有控股工业企业流动负债合计,汽车制造业国有控股工业企业流动负债合计,烟草制品业国有控股工业企业流动负债合计,煤炭开采和洗选业国有控股工业企业流动负债合计,燃气生产和供应业国有控股工业企业流动负债合计,电力、热力生产和供应业国有控股工业企业流动负债合计,电气机械和器材制造业国有控股工业企业流动负债合计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业流动负债合计,石油加工、炼焦和核燃料加工业国有控股工业企业流动负债合计,石油和天然气开采业国有控股工业企业流动负债合计,纺织业国有控股工业企业流动负债合计,纺织服装、服饰业国有控股工业企业流动负债合计,计算机、通信和其他电子设备制造业国有控股工业企业流动负债合计,通用设备制造业国有控股工业企业流动负债合计,造纸和纸制品业国有控股工业企业流动负债合计,酒、饮料和精制茶制造业国有控股工业企业流动负债合计,金属制品、机械和设备修理业国有控股工业企业流动负债合计,金属制品业国有控股工业企业流动负债合计,铁路、船舶、航空航天和其他运输设备国有控股工业企业流动负债合计,非金属矿物制品业国有控股工业企业流动负债合计,非金属矿采选业国有控股工业企业流动负债合计,食品制造业国有控股工业企业流动负债合计,黑色金属冶炼和压延加工业国有控股工业企业流动负债合计,黑色金属矿采选业国有控股工业企业流动负债合计
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,4196.87406,523.65934,320.11331,1.31226,1281.97373,6873.53993,320.53082,1038.94123,208.5678,126177.99788,43.37787,56.01474,1107.5874,109.04923,5597.1094,739.59973,100.24222,636.98702,1431.05058,8849.73111,1701.89396,12007.925,971.34558,25189.85367,3652.46929,18.79873,5869.31091,3910.84319,508.45904,111.33794,3635.48261,4021.75699,767.94647,1186.47973,355.31376,1342.94045,5997.70706,3224.15456,267.9665,494.6155,16341.43119,1163.70397
2013年,4582.53,563.51,438.6,1.16,1453.51,7811.88,324.12,1167.09,220.84,140376.51,48.09,72.59,1320.65,118.96,6426.08,852.64,103.82,680.49,1735.72,10946.42,1953.16,13652.79,1058.34,26635.91,4190.44,18.64,6328.88,4104.32,523.88,119.93,3904.29,4424.6,753.85,1143.77,377.15,1500.94,6450.35,3572.14,375.09,553.71,18403.39,1462.22
2014年,4511.89,613.5,426.53,1.14,1553.77,8907.83,312.07,1274.8,214.26,151557.21,55.89,80.62,1201.34,139.16,6943.7,991.77,109.99,710.58,2007.05,12303.48,1765.2,15176.03,1275.4,29727.12,4525.93,18.1,6568.99,4006.47,513.0,117.81,4404.54,4613.98,779.57,1079.81,322.5,1624.88,6595.69,4290.19,378.12,605.83,19126.12,1682.57
