,专用设备制造业国有控股工业企业主营业务成本,仪器仪表制造业国有控股工业企业主营业务成本,其他制造业国有控股工业企业主营业务成本,其他采矿业国有控股工业企业主营业务成本,农副食品加工业国有控股工业企业主营业务成本,化学原料和化学制品制造业国有控股工业企业主营业务成本,化学纤维制造业国有控股工业企业主营业务成本,医药制造业国有控股工业企业主营业务成本,印刷和记录媒介复制业国有控股工业企业主营业务成本,国有控股工业企业主营业务成本,家具制造业国有控股工业企业主营业务成本,废弃资源综合利用业国有控股工业企业主营业务成本,开采辅助活动国有控股工业企业主营业务成本,文教、工美、体育和娱乐用品制造业国有控股工业企业主营业务成本,有色金属冶炼和压延加工业国有控股工业企业主营业务成本,有色金属矿采选业国有控股工业企业主营业务成本,木材加工和木、竹、藤、棕、草制品业国有控股工业企业主营业务成本,橡胶和塑料制品业国有控股工业企业主营业务成本,水的生产和供应业国有控股工业企业主营业务成本,汽车制造业国有控股工业企业主营业务成本,烟草制品业国有控股工业企业主营业务成本,煤炭开采和洗选业国有控股工业企业主营业务成本,燃气生产和供应业国有控股工业企业主营业务成本,电力、热力生产和供应业国有控股工业企业主营业务成本,电气机械和器材制造业国有控股工业企业主营业务成本,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业主营业务成本,石油加工、炼焦和核燃料加工业国有控股工业企业主营业务成本,石油和天然气开采业国有控股工业企业主营业务成本,纺织业国有控股工业企业主营业务成本,纺织服装、服饰业国有控股工业企业主营业务成本,计算机、通信和其他电子设备制造业国有控股工业企业主营业务成本,通用设备制造业国有控股工业企业主营业务成本,造纸和纸制品业国有控股工业企业主营业务成本,酒、饮料和精制茶制造业国有控股工业企业主营业务成本,金属制品、机械和设备修理业国有控股工业企业主营业务成本,金属制品业国有控股工业企业主营业务成本,铁路、船舶、航空航天和其他运输设备国有控股工业企业主营业务成本,非金属矿物制品业国有控股工业企业主营业务成本,非金属矿采选业国有控股工业企业主营业务成本,食品制造业国有控股工业企业主营业务成本,黑色金属冶炼和压延加工业国有控股工业企业主营业务成本,黑色金属矿采选业国有控股工业企业主营业务成本
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,4673.25317,611.756,343.24445,0.43779,2724.14286,11011.15034,394.76993,1536.80467,365.78219,202600.35,73.39126,178.97626,1499.14765,401.50773,13113.43472,1242.35126,162.25303,1136.03097,711.027,18462.93596,1934.2343,15398.49379,1478.30805,44614.38605,3875.14615,101.51968,23997.48146,4301.43529,787.73008,167.9662,5010.55426,3922.49993,813.95141,1591.53362,250.71952,1875.71403,5262.81553,3403.68786,326.57543,731.39045,22852.9428,1258.86965
2013年,4745.36,636.38,367.56,0.59,3175.68,11615.84,409.33,1593.93,390.55,213204.73,66.65,221.44,1634.54,472.42,14964.9,1492.13,169.39,1092.48,815.06,20942.18,2088.38,15231.44,1673.67,46346.92,4288.67,92.82,23831.49,4545.22,827.39,162.95,5354.54,4143.22,634.54,1604.52,262.2,1977.85,5568.48,3942.85,380.69,845.54,23227.24,1367.71
2014年,4262.49,645.85,349.42,0.58,3353.2,11824.84,394.29,1568.44,383.17,217409.68,61.3,174.64,1670.91,454.98,15823.96,1555.51,184.45,1086.35,903.86,23589.7,2351.58,14812.29,2265.3,47027.74,4470.5,76.39,23470.36,4659.66,814.05,141.74,5916.37,4125.44,643.98,1643.46,243.18,1961.54,6209.53,4090.41,387.74,947.99,21630.43,1232.06
