,交通运输大类网络专科毕业生数,公共事业大类网络专科毕业生数,公安大类网络专科毕业生数,农林牧渔大类网络专科毕业生数,制造大类网络专科毕业生数,医药卫生大类网络专科毕业生数,土建大类网络专科毕业生数,师范网络专科毕业生数,文化教育大类网络专科毕业生数,旅游大类网络专科毕业生数,材料与能源大类网络专科毕业生数,水利大类网络专科毕业生数,法律大类网络专科毕业生数,环保、气象与安全大类网络专科毕业生数,生化与药品大类网络专科毕业生数,电子信息大类网络专科毕业生数,网络专科毕业生数,艺术设计传媒大类网络专科毕业生数,财经大类网络专科毕业生数,资源开发与测绘大类网络专科毕业生数,轻纺食品大类网络专科毕业生数
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,18.1987,,,,
2005年,,,,,,,,,,,,,,,,,36.7317,,,,
2006年,,,,,,,,,,,,,,,,,44.841,,,,
2007年,,,,,,,,,,,,,,,,,45.1064,,,,
2008年,,,,,,,,,,,,,,,,,49.7698,,,,
2009年,,,,,,,,,,,,,,,,,57.7972,,,,
2010年,,,,,,,,,,,,,,,,,68.2986,,,,
2011年,1.6932,14.5321,0.0909,5.9936,3.1531,2.837,4.8585,1.3973,7.7786,0.4878,0.5947,0.3717,7.0734,0.1144,0.2324,4.1571,83.9104,0.7754,28.4262,0.6499,0.0904
2012年,1.8058,16.3253,0.0844,5.8618,3.4869,4.4939,5.6733,1.4641,7.1758,0.4141,0.4486,0.4925,7.1479,0.1548,0.2773,4.4941,88.2921,0.4474,28.6377,0.8325,0.038
2013年,2.2114,19.3084,0.0848,5.7671,4.5993,4.9849,8.3221,1.645,10.1149,0.4049,0.5254,0.491,7.5206,0.1908,0.3381,4.3146,102.406,0.5203,31.5424,1.0773,0.0877
2014年,2.5638,21.6717,0.088,5.7479,5.1429,4.3871,10.1674,1.1471,10.7899,0.3935,0.4443,0.5217,7.0223,0.2845,0.3444,3.9947,107.5034,0.5333,31.9835,1.346,0.0765
