,中成药制造高技术产业工业总产值(大中型工业企业口径),仪器仪表制造业高技术产业工业总产值(大中型工业企业口径),其他电子设备制造高技术产业工业总产值(大中型工业企业口径),化学药品制造高技术产业工业总产值(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业工业总产值(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业工业总产值(大中型工业企业口径),医药制造业高技术产业工业总产值(大中型工业企业口径),家用视听设备制造业高技术产业工业总产值(大中型工业企业口径),广播电视设备制造业高技术产业工业总产值(大中型工业企业口径),生物、生化制品的制造高技术产业工业总产值(大中型工业企业口径),电子元件制造业高技术产业工业总产值(大中型工业企业口径),电子及通信设备制造业高技术产业工业总产值(大中型工业企业口径),电子器件制造业高技术产业工业总产值(大中型工业企业口径),电子计算机及办公设备制造业高技术产业工业总产值(大中型工业企业口径),电子计算机外部设备制造业高技术产业工业总产值(大中型工业企业口径),电子计算机整机制造业高技术产业工业总产值(大中型工业企业口径),航空航天器制造业高技术产业工业总产值(大中型工业企业口径),通信设备制造业高技术产业工业总产值(大中型工业企业口径),雷达及配套设备制造业高技术产业工业总产值(大中型工业企业口径),高技术产业工业总产值(大中型工业企业口径)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,4240476.6,2088284.2,1127952.1,4153402.2,860484.2,2948768.4,12792399.6,13240451.5,76601.3,1002479.2,6754223.2,53261580.8,6776090.7,14414738.1,7204665.9,6027939.7,4553422.5,24828256.6,458005.4,0.0
2002年,5189080.0,2074563.0,851761.0,8561215.0,1084767.0,3159329.0,19330770.0,14075806.0,109158.0,1228681.0,9421758.0,57865372.0,9156711.0,23433142.0,10561480.0,11362664.0,4985571.0,23777088.0,473091.0,0.0
2003年,6331487.2,3793641.1,1975553.8,5447138.2,912357.7,4705998.8,18784437.6,21813835.9,239267.2,1098248.7,16210247.5,86573092.8,15824556.4,53295657.0,19333734.5,28048668.5,5283027.0,29918648.4,590983.6,168642214.0
2004年,7524726.0,4611259.0,866412.0,5305365.0,1448225.0,6059484.0,20352809.0,25716810.0,907671.0,731105.0,25275850.0,119187084.0,22792584.0,80408455.0,31111926.0,44018170.0,4726231.0,43064858.0,562900.0,230734063.0
2005年,13118124.9,14328464.8,3546096.2,10940961.1,3525029.7,17853494.5,42504491.2,30621071.2,2003488.1,3536508.0,43032478.4,168671291.2,30392843.5,106669548.2,45570911.0,55701589.8,7972260.9,58048421.7,1026892.1,343671086.0
2006年,8069171.4,10294643.9,3538553.8,18817699.8,2536921.5,12831565.4,30896260.5,30368807.3,1512487.0,1917561.2,46388062.4,181185468.5,34289893.8,117123863.7,48289695.1,62928953.2,7877353.3,63895326.6,1192337.6,349914511.4
2007年,9213832.0,13913789.0,4783909.0,24032473.0,3262823.0,17176612.0,38739038.0,32633702.0,1972906.0,2739891.0,59250301.0,215790378.0,44345519.0,142793870.0,57596777.0,78479449.0,9760301.0,71569136.0,1234905.0,424260199.0
2008年,11009008.1,17108928.8,6350119.8,29688031.4,4156970.9,21265899.7,47990220.2,32130683.8,2604407.6,3720858.4,63061630.4,236779994.9,55053704.9,155877179.3,57308538.9,88070620.9,11041710.2,76371105.6,1208342.8,472955004.3
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
