,中成药制造高技术产业主营业务收入(大中型工业企业口径),仪器仪表制造业高技术产业主营业务收入(大中型工业企业口径),其他电子设备制造高技术产业主营业务收入(大中型工业企业口径),化学药品制造高技术产业主营业务收入(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业主营业务收入(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业主营业务收入(大中型工业企业口径),医药制造业高技术产业主营业务收入(大中型工业企业口径),家用视听设备制造业高技术产业主营业务收入(大中型工业企业口径),广播电视设备制造业高技术产业主营业务收入(大中型工业企业口径),生物、生化制品的制造高技术产业主营业务收入(大中型工业企业口径),电子元件制造业高技术产业主营业务收入(大中型工业企业口径),电子及通信设备制造业高技术产业主营业务收入(大中型工业企业口径),电子器件制造业高技术产业主营业务收入(大中型工业企业口径),电子计算机及办公设备制造业高技术产业主营业务收入(大中型工业企业口径),电子计算机外部设备制造业高技术产业主营业务收入(大中型工业企业口径),电子计算机整机制造业高技术产业主营业务收入(大中型工业企业口径),航空航天器制造业高技术产业主营业务收入(大中型工业企业口径),通信设备制造业高技术产业主营业务收入(大中型工业企业口径),雷达及配套设备制造业高技术产业主营业务收入(大中型工业企业口径),高技术产业主营业务收入(大中型工业企业口径)
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,4128304.1,2095035.6,1090926.7,4363061.8,849328.5,2944364.1,12844415.1,12607990.6,80350.4,872271.6,6614111.5,52220694.0,6466474.6,15540968.2,7961704.3,6336264.9,4314561.5,24965247.0,395593.2,
2002年,4844865.0,2071311.0,821078.0,8504553.0,1002811.0,3074122.0,18985949.0,13002821.0,105160.0,1052132.0,9106883.0,55649258.0,9077755.0,23524965.0,10437374.0,11586391.0,4658002.0,23100525.0,435035.0,
2003年,6119040.4,3747445.4,1982900.0,6138363.9,869452.0,4616897.4,18946083.8,20641606.3,228104.3,1042836.3,15749753.8,84736382.7,15398966.6,55414176.1,18620663.3,30940207.5,5227227.5,30145417.2,589634.5,168940768.0
2004年,7118866.0,4626579.0,886285.0,5460816.0,1404801.0,6031380.0,19796839.0,25176510.0,882729.0,700913.0,24621911.0,118019245.0,22378227.0,85421337.0,30832085.0,49172772.0,4717957.0,43550978.0,522606.0,233986758.0
2005年,12218451.6,14106011.0,3490712.5,11037070.1,3415789.3,17521800.3,40198315.7,30490068.1,1960207.8,3182347.2,41670324.7,166462525.8,29586158.5,107221519.7,45087949.5,56889724.8,7813692.7,58340415.8,924638.4,339217854.2
2006年,8075165.1,10118943.7,3405704.0,18279562.3,2417010.5,12535954.2,30133012.8,30267797.6,1473837.7,1821683.4,45865789.7,180588077.4,34221179.0,118687975.5,47672345.3,65105832.3,7650388.2,64234060.5,1119708.9,349595408.1
2007年,8825672.0,13496428.0,4716924.0,23212462.0,3142220.0,16638648.0,37218418.0,33224256.0,1907825.0,2599468.0,58225118.0,214613639.0,43329247.0,143042415.0,56197614.0,80371391.0,9646537.0,72007936.0,1202332.0,421159657.0
2008年,10343373.0,16385713.1,5991707.8,28481448.1,4067179.3,20452892.4,45494232.9,31958587.7,2453990.3,3289740.2,61680880.1,230401663.3,52453905.5,155913228.6,55436861.0,90069834.4,10836579.3,74588788.8,1273803.1,463098596.5
2009年,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,
