,中成药制造高技术产业利润总额(大中型工业企业口径),仪器仪表制造业高技术产业利润总额(大中型工业企业口径),其他电子设备制造高技术产业利润总额(大中型工业企业口径),化学药品制造高技术产业利润总额(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业利润总额(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业利润总额(大中型工业企业口径),医药制造业高技术产业利润总额(大中型工业企业口径),家用视听设备制造业高技术产业利润总额(大中型工业企业口径),广播电视设备制造业高技术产业利润总额(大中型工业企业口径),生物、生化制品的制造高技术产业利润总额(大中型工业企业口径),电子元件制造业高技术产业利润总额(大中型工业企业口径),电子及通信设备制造业高技术产业利润总额(大中型工业企业口径),电子器件制造业高技术产业利润总额(大中型工业企业口径),电子计算机及办公设备制造业高技术产业利润总额(大中型工业企业口径),电子计算机外部设备制造业高技术产业利润总额(大中型工业企业口径),电子计算机整机制造业高技术产业利润总额(大中型工业企业口径),航空航天器制造业高技术产业利润总额(大中型工业企业口径),通信设备制造业高技术产业利润总额(大中型工业企业口径),雷达及配套设备制造业高技术产业利润总额(大中型工业企业口径),高技术产业利润总额(大中型工业企业口径)
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,852995.8,438041.6,176100.0,722351.4,152583.4,590625.0,2549526.9,575004.8,13557.4,188832.0,677279.8,5396994.3,623138.2,872774.9,474881.7,299527.8,723904.6,3248713.7,83200.4,
2002年,1043470.0,431397.0,156639.0,2330312.0,215550.0,646947.0,4705975.0,811061.0,16784.0,248052.0,950848.0,6047077.0,945249.0,1509993.0,536346.0,825670.0,815311.0,3071879.0,94618.0,
2003年,1185649.6,668945.7,259652.1,1135597.5,129584.8,798530.5,4024748.5,1120035.2,20588.9,265225.8,1505721.2,7409875.8,1432773.6,2372401.7,739823.7,1193606.8,840493.7,2930976.7,140128.1,15446052.0
2004年,3095049.0,870204.0,142583.0,1199147.0,349098.0,1219301.0,7405937.0,2398697.0,134918.0,316993.0,2817740.0,15255878.0,2622388.0,4599941.0,1659730.0,2308130.0,973122.0,6990891.0,148661.0,29454179.0
2005年,1108648.1,1086599.1,179201.8,636757.0,304844.3,1391443.4,3381952.7,641856.1,91583.8,379937.1,2097922.0,6508337.2,654020.7,2626515.7,1372931.3,1035621.1,324037.6,2778506.0,65246.8,14232286.6
2006年,824768.7,710285.5,172641.6,1476263.9,230735.6,941021.1,2714422.4,646139.1,60264.2,251191.8,2433773.7,7588027.9,1014353.4,2500648.3,1337845.7,936082.1,416918.4,3176856.8,83999.1,14161038.1
2007年,1229725.0,1036307.0,244658.0,2280566.0,380537.0,1416844.0,4184227.0,980133.0,120101.0,406518.0,2922122.0,8724535.0,1728361.0,4149206.0,2419611.0,1403619.0,588929.0,2626739.0,102422.0,19063742.0
2008年,1222623.4,1325743.9,356847.9,3219418.5,498990.4,1824734.3,5357428.4,1024949.9,122559.6,560943.6,2871729.1,8732583.7,1558776.4,4968032.2,2364265.7,1897654.2,594161.6,2691911.7,105809.1,21476940.2
2009年,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,
