,专用设备制造业国有控股工业企业本年应交增值税,交通运输设备制造业国有控股工业企业本年应交增值税,仪器仪表及文化、办公用机械制造业国有控股工业企业本年应交增值税,其他采矿业国有控股工业企业本年应交增值税,农副食品加工业国有控股工业企业本年应交增值税,化学原料及化学制品制造业国有控股工业企业本年应交增值税,化学纤维制造业国有控股工业企业本年应交增值税,医药制造业国有控股工业企业本年应交增值税,印刷业和记录媒介的复制国有控股工业企业本年应交增值税,国有控股工业企业本年应交增值税,塑料制品业国有控股工业企业本年应交增值税,家具制造业国有控股工业企业本年应交增值税,工艺品及其他制造业国有控股工业企业本年应交增值税,废弃资源和废旧材料回收加工业国有控股工业企业本年应交增值税,文教体育用品制造业国有控股工业企业本年应交增值税,有色金属冶炼及压延加工业国有控股工业企业本年应交增值税,有色金属矿采选业国有控股工业企业本年应交增值税,木材加工及木、竹、藤、棕、草制品业国有控股工业企业本年应交增值税,橡胶制品业国有控股工业企业本年应交增值税,水的生产和供应业国有控股工业企业本年应交增值税,烟草制品业国有控股工业企业本年应交增值税,煤炭开采和洗选业国有控股工业企业本年应交增值税,燃气生产和供应业国有控股工业企业本年应交增值税,电力、热力的生产和供应业国有控股工业企业本年应交增值税,电气机械及器材制造业国有控股工业企业本年应交增值税,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业本年应交增值税,石油加工、炼焦及核燃料加工业国有控股工业企业本年应交增值税,石油和天然气开采业国有控股工业企业本年应交增值税,纺织业国有控股工业企业本年应交增值税,纺织服装、鞋、帽制造业国有控股工业企业本年应交增值税,通信设备、计算机及其他电子设备制造国有控股工业企业本年应交增值税,通用设备制造业国有控股工业企业本年应交增值税,造纸及纸制品业国有控股工业企业本年应交增值税,金属制品业国有控股工业企业本年应交增值税,非金属矿物制品业国有控股工业企业本年应交增值税,非金属矿采选业国有控股工业企业本年应交增值税,食品制造业国有控股工业企业本年应交增值税,饮料制造业国有控股工业企业本年应交增值税,黑色金属冶炼及压延加工业国有控股工业企业本年应交增值税,黑色金属矿采选业国有控股工业企业本年应交增值税
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,41.56433,258.50789,8.7051,0.50502,21.89162,140.46405,17.00106,67.91078,17.10148,3025.57,7.76314,0.71876,1.16397,0.02124,1.3214,62.77707,7.73862,5.00791,11.89807,19.13672,243.65587,152.21455,10.1146,687.6984,34.84163,0.99637,162.47547,293.33727,39.36711,2.76157,59.51598,69.74963,26.50254,13.06227,66.39076,9.21601,17.19629,57.14841,381.3162,6.81265
2004年,40.96526,218.832,9.75068,0.0009,18.63118,178.09682,17.22196,57.88945,18.4149,3514.68,8.12495,1.28841,2.30559,0.34307,1.53932,91.5713,10.77653,4.91222,8.88309,20.61857,298.42822,252.43413,13.41825,838.84242,39.74412,0.80467,188.19784,400.44551,32.64544,2.38457,54.24541,67.811,24.8437,13.48171,67.97367,11.86922,12.92518,45.61336,421.51509,16.88796
2005年,44.50245,244.58542,10.93204,0.12056,22.263,175.43732,17.37981,65.33925,17.26976,4098.37,7.71443,1.73589,2.85046,0.26534,1.01406,117.8654,20.32428,6.51155,8.97701,21.80119,327.92019,322.46202,12.01583,993.8095,43.68468,0.80717,184.50462,575.26576,30.38447,2.71954,71.66053,75.65567,25.42956,13.4689,64.1998,12.69384,21.10997,55.45032,460.70306,17.53236
2006年,56.05,307.0,12.44,0.0,22.86,191.22,20.34,61.68,17.05,4930.24,7.89,1.81,2.41,0.51,0.95,185.49,35.46,7.18,6.78,23.66,371.27,388.36,15.67,1259.12,48.96,0.67,193.24,759.65,32.11,2.61,51.03,100.55,23.35,16.86,68.37,14.24,23.41,60.82,520.7,18.48
2007年,72.00905,394.15286,13.51075,0.00053,24.1935,256.97625,23.12822,69.01218,18.65788,5951.44,9.35511,1.96112,3.15238,2.39572,1.00596,241.08863,38.87648,6.48766,11.64688,26.58745,455.02296,476.94882,17.98689,1484.98948,64.5395,0.77869,320.10319,745.14138,27.0649,4.15534,45.91405,112.21418,21.97963,21.7958,87.08906,14.16864,23.93845,73.11112,713.84514,26.45398
2008年,73.60861,384.08895,18.27688,0.00056,27.66763,245.55157,14.22033,75.60323,21.50637,6769.35,12.25494,1.65765,4.93057,4.011,1.35408,206.89535,34.0336,6.13783,15.53819,29.08204,525.17576,740.12761,30.13878,1556.83129,75.82734,2.78869,331.81523,1020.75267,22.62919,4.6411,99.34252,112.15577,27.14401,30.64652,117.90459,15.288,25.78401,79.99102,726.25115,47.6982
2009年,106.82921,667.75314,19.48452,0.00069,25.47761,209.71504,11.87953,76.62079,19.64805,6508.74,11.71216,3.78918,3.08427,3.87453,1.08251,150.11539,29.22132,4.62414,14.85448,32.6388,565.52516,876.50719,20.66328,1291.47348,108.13824,0.73554,538.58386,552.74173,17.83467,3.30909,58.18979,135.96699,28.70683,32.09141,108.20117,16.96,31.14761,90.73196,603.06732,35.75846
2010年,145.30606,925.51213,29.85608,0.00128,43.77123,271.43206,12.3559,92.93196,21.75649,8362.0,10.57736,3.37636,7.03257,11.62904,0.70003,194.98828,49.58151,4.60748,14.95734,38.17459,672.54553,1151.07037,24.13449,1498.50466,136.97357,0.73759,866.63744,808.33807,20.40064,4.92539,112.75328,179.50351,33.80332,37.21709,133.62936,19.1023,32.37899,101.87386,594.5678,54.35272
2011年,148.3783,861.30518,30.88631,0.0,46.39917,284.89164,12.50268,100.4726,21.62894,9406.51,10.75781,3.29902,6.73059,11.8482,1.2638,239.3333,67.9736,4.26618,16.03512,40.30475,840.22964,1406.33437,44.86855,1717.54222,124.84632,0.6977,857.28269,1011.22994,20.83914,4.40691,261.69816,160.08683,26.45193,30.06193,182.22055,26.51393,27.33489,144.19775,525.05145,86.33633
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
