,专用设备制造业国有控股工业企业主营业务税金及附加,交通运输设备制造业国有控股工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业国有控股工业企业主营业务税金及附加,其他采矿业国有控股工业企业主营业务税金及附加,农副食品加工业国有控股工业企业主营业务税金及附加,化学原料及化学制品制造业国有控股工业企业主营业务税金及附加,化学纤维制造业国有控股工业企业主营业务税金及附加,医药制造业国有控股工业企业主营业务税金及附加,印刷业和记录媒介的复制国有控股工业企业主营业务税金及附加,国有控股工业企业主营业务税金及附加,塑料制品业国有控股工业企业主营业务税金及附加,家具制造业国有控股工业企业主营业务税金及附加,工艺品及其他制造业国有控股工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业国有控股工业企业主营业务税金及附加,文教体育用品制造业国有控股工业企业主营业务税金及附加,有色金属冶炼及压延加工业国有控股工业企业主营业务税金及附加,有色金属矿采选业国有控股工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业国有控股工业企业主营业务税金及附加,橡胶制品业国有控股工业企业主营业务税金及附加,水的生产和供应业国有控股工业企业主营业务税金及附加,烟草制品业国有控股工业企业主营业务税金及附加,煤炭开采和洗选业国有控股工业企业主营业务税金及附加,燃气生产和供应业国有控股工业企业主营业务税金及附加,电力、热力的生产和供应业国有控股工业企业主营业务税金及附加,电气机械及器材制造业国有控股工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业国有控股工业企业主营业务税金及附加,石油和天然气开采业国有控股工业企业主营业务税金及附加,纺织业国有控股工业企业主营业务税金及附加,纺织服装、鞋、帽制造业国有控股工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造国有控股工业企业主营业务税金及附加,通用设备制造业国有控股工业企业主营业务税金及附加,造纸及纸制品业国有控股工业企业主营业务税金及附加,金属制品业国有控股工业企业主营业务税金及附加,非金属矿物制品业国有控股工业企业主营业务税金及附加,非金属矿采选业国有控股工业企业主营业务税金及附加,食品制造业国有控股工业企业主营业务税金及附加,饮料制造业国有控股工业企业主营业务税金及附加,黑色金属冶炼及压延加工业国有控股工业企业主营业务税金及附加,黑色金属矿采选业国有控股工业企业主营业务税金及附加
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,5.58838,140.67611,0.82869,0.04447,3.7911,29.04486,1.59175,7.99459,1.75975,1589.87,0.78254,0.16769,0.39599,0.00733,0.11376,6.66625,1.55196,0.9646,6.55347,4.93246,852.00722,25.3474,1.63136,55.0373,3.86819,0.11071,217.45745,76.54059,4.29986,0.60942,5.96734,6.65354,2.22108,1.53778,7.4446,4.30593,2.27255,65.67186,40.4345,2.99678
2004年,6.10926,153.64607,0.99782,0.00776,5.62774,34.76963,1.73247,5.36321,2.02937,1921.9,0.904,0.09352,0.50245,0.04746,0.16423,9.06259,1.76747,0.64492,6.06693,6.59278,1017.10014,43.99248,1.86,75.5741,4.00615,0.09057,285.4571,106.07506,3.07761,0.49654,6.60385,8.53476,2.16616,1.79659,7.50534,4.58094,1.77213,58.9463,51.19794,4.93585
2005年,7.45042,170.09485,1.31203,0.0013,3.70268,41.08906,2.46305,6.89391,1.90215,2121.74,0.86882,0.12089,0.56101,0.05247,0.13769,18.21082,2.90838,0.71433,5.89915,4.39175,1129.13411,62.38883,1.83739,89.74502,4.88678,0.08324,273.99979,120.98331,4.32817,0.38779,7.59904,8.60613,2.02642,1.63976,7.80431,4.49043,2.59344,68.53782,57.34844,4.54433
2006年,7.91,250.36,1.64,0.0,3.68,41.4,2.13,5.91,1.78,2612.74,1.26,0.19,0.74,0.14,0.11,22.05,5.03,0.79,2.89,5.47,1304.21,82.62,2.36,117.69,5.75,0.14,306.45,258.64,3.85,0.62,6.31,8.82,2.18,2.21,9.27,5.64,2.81,70.19,63.16,6.34
2007年,10.88457,354.14045,1.61045,6e-05,3.92611,58.66123,2.80504,7.3757,1.93036,3242.18,1.03049,0.28246,0.95513,0.22033,0.19595,58.61143,6.37771,1.01331,3.09531,5.35032,1563.86334,103.58724,4.34405,142.62321,8.25882,0.34668,368.4112,274.22481,4.03243,0.96453,7.22984,28.72092,2.11918,3.06412,11.19198,5.2602,3.51029,68.15325,116.21655,7.59297
2008年,14.30998,353.26693,2.57986,6e-05,6.24668,61.85286,1.66348,8.50499,2.37425,3882.05,1.40188,0.06956,0.74054,1.47418,0.17149,48.81797,7.42169,1.31585,3.64995,6.15941,1840.12849,139.97166,4.04081,156.7545,13.65571,0.2397,363.46852,553.54351,2.91337,0.63581,12.08939,13.07166,3.21027,4.68774,17.98566,6.26892,4.16211,74.70636,135.25631,13.23731
2009年,20.14893,529.08995,2.46679,8e-05,10.00488,162.68375,1.86899,8.73252,2.42121,6199.11,2.31298,0.0631,0.73017,1.56589,0.14359,32.17437,7.52702,1.48724,3.69355,7.37457,2268.4372,168.98178,5.8157,144.37363,21.94359,0.12699,2260.62656,251.36914,3.13096,0.58988,22.25899,18.32179,2.95169,4.86657,19.30332,8.45624,3.18051,90.7282,89.26229,19.90035
2010年,24.94029,781.28971,4.53537,0.01138,9.27611,197.4178,1.38297,10.1518,2.73119,8016.31,1.32186,0.13762,3.42159,0.25858,0.16942,37.51482,11.06574,1.31064,3.95542,8.6271,2814.78514,212.20494,4.98797,163.89462,28.05473,0.14253,2536.29123,793.80296,3.85478,0.83093,27.52657,40.71453,3.53809,6.60441,21.47821,12.35747,3.80166,112.23167,108.52202,21.16847
2011年,22.39411,608.25204,3.98452,0.0,9.27822,225.90927,2.00192,12.56838,2.90434,9053.12,2.1656,0.337,1.63416,0.30946,0.19355,34.44963,13.75072,0.97385,4.60414,8.6472,3453.18998,261.45669,6.13027,170.52162,17.92865,0.14131,2647.33791,1194.76164,3.32165,0.74797,33.1687,22.2822,3.44979,6.05156,25.011,11.75679,4.14867,144.44463,73.98001,18.93114
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
