,专用设备制造业国有控股工业企业固定资产原价合计,交通运输设备制造业国有控股工业企业固定资产原价合计,仪器仪表及文化、办公用机械制造业国有控股工业企业固定资产原价合计,其他采矿业国有控股工业企业固定资产原价合计,农副食品加工业国有控股工业企业固定资产原价合计,化学原料及化学制品制造业国有控股工业企业固定资产原价合计,化学纤维制造业国有控股工业企业固定资产原价合计,医药制造业国有控股工业企业固定资产原价合计,印刷业和记录媒介的复制国有控股工业企业固定资产原价合计,国有控股工业企业固定资产原价合计,塑料制品业国有控股工业企业固定资产原价合计,家具制造业国有控股工业企业固定资产原价合计,工艺品及其他制造业国有控股工业企业固定资产原价合计,废弃资源和废旧材料回收加工业国有控股工业企业固定资产原价合计,文教体育用品制造业国有控股工业企业固定资产原价合计,有色金属冶炼及压延加工业国有控股工业企业固定资产原价合计,有色金属矿采选业国有控股工业企业固定资产原价合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业固定资产原价合计,橡胶制品业国有控股工业企业固定资产原价合计,水的生产和供应业国有控股工业企业固定资产原价合计,烟草制品业国有控股工业企业固定资产原价合计,煤炭开采和洗选业国有控股工业企业固定资产原价合计,燃气生产和供应业国有控股工业企业固定资产原价合计,电力、热力的生产和供应业国有控股工业企业固定资产原价合计,电气机械及器材制造业国有控股工业企业固定资产原价合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业固定资产原价合计,石油加工、炼焦及核燃料加工业国有控股工业企业固定资产原价合计,石油和天然气开采业国有控股工业企业固定资产原价合计,纺织业国有控股工业企业固定资产原价合计,纺织服装、鞋、帽制造业国有控股工业企业固定资产原价合计,通信设备、计算机及其他电子设备制造国有控股工业企业固定资产原价合计,通用设备制造业国有控股工业企业固定资产原价合计,造纸及纸制品业国有控股工业企业固定资产原价合计,金属制品业国有控股工业企业固定资产原价合计,非金属矿物制品业国有控股工业企业固定资产原价合计,非金属矿采选业国有控股工业企业固定资产原价合计,食品制造业国有控股工业企业固定资产原价合计,饮料制造业国有控股工业企业固定资产原价合计,黑色金属冶炼及压延加工业国有控股工业企业固定资产原价合计,黑色金属矿采选业国有控股工业企业固定资产原价合计
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,1261.39574,3446.82656,178.88282,17.3449,580.52198,4804.10171,598.36859,766.27101,356.58016,69701.1135,265.66622,22.22509,35.91205,0.36915,28.73059,1666.89037,270.41467,186.36779,259.76104,1651.83699,1066.59718,3815.92905,529.06208,21854.95447,682.69762,25.26843,3365.16519,7060.71115,1200.01499,67.89381,1231.07641,1273.50917,717.5007,273.30272,1676.04431,335.29371,316.99583,758.15164,6887.56042,164.91719
2004年,1091.91774,3597.42643,196.27987,0.1232,486.85303,4664.06999,674.43851,744.0008,396.47687,76599.4239,292.38748,22.88098,173.22017,2.67201,29.59007,1829.62807,246.40277,187.03745,272.27457,2000.40841,1148.67733,4287.43626,644.61939,26103.5259,624.17709,26.06335,3525.84812,8488.86607,953.65093,57.74767,1213.1032,1206.9453,714.06457,304.36511,1695.64073,264.78334,274.1115,587.03016,7351.55491,219.12455
2005年,1117.49245,4086.86726,189.95911,2.50134,442.17953,4968.9783,676.27991,827.86634,395.52324,83515.49287,245.39513,20.11589,98.69941,5.39366,28.14562,2061.27614,252.41691,199.31524,262.59942,2035.58117,1235.2527,4802.02872,636.03968,29204.68848,601.31565,16.57012,4088.15203,8987.32575,845.82426,62.98761,1418.57054,1198.3127,741.70497,275.5753,1705.46757,170.21682,299.61673,677.24884,8419.83199,212.17634
2006年,1164.91,4402.41,198.14,0.1,433.55,5978.37,738.97,807.66,401.18,96085.32,237.46,20.83,89.15,24.17,23.37,2318.63,308.84,193.88,217.79,2339.48,1292.06,5884.59,755.75,35646.96,627.95,12.79,4374.52,10597.96,805.48,61.89,1106.96,1229.38,690.78,289.33,1725.77,226.07,350.48,661.31,9624.09,222.33
2007年,1226.73329,5278.29216,221.87241,0.02948,434.97971,6291.56593,649.27136,926.73824,412.16376,110084.71574,204.09219,16.86226,118.57029,13.37572,23.26931,2543.80606,336.58861,148.22988,208.54904,2455.50534,1375.36816,6715.681,683.86432,42538.8757,585.64426,13.10141,4851.17321,12864.59298,714.25637,60.34821,1204.15511,1289.53274,593.95243,316.52701,1795.77552,191.45579,346.83984,668.84046,11465.57571,298.66047
2008年,1642.52658,6147.00998,240.36261,0.02948,462.09616,6749.66706,471.15776,882.73005,432.59071,129146.63577,259.68174,15.29666,128.27729,64.93855,24.05404,3192.6235,406.80667,128.07281,305.21177,2830.27754,1485.49721,7974.50201,756.55662,51798.46133,686.64031,11.78877,5770.07389,14039.16954,574.01351,60.27815,1597.58874,1744.42444,810.19772,370.54878,2183.46247,223.73625,369.13765,693.41381,13190.65113,423.08248
2009年,1746.07683,7235.21321,263.79705,0.02948,523.79927,7612.41411,395.49338,806.33503,453.80162,145330.27508,235.44632,16.71944,128.23125,81.18689,17.63844,3776.39842,455.53878,103.53933,334.72967,3117.58152,1633.54629,9869.86932,900.93191,57369.68979,847.74823,9.46951,7078.92081,15176.00042,504.6827,50.60934,1899.44801,1717.69155,844.76446,437.64063,2248.5826,228.23198,364.3989,770.30171,15670.01812,403.75876
2010年,1981.22277,8654.87683,364.91714,,601.44909,8541.66528,416.91033,974.40783,476.8719,165601.03896,240.25442,23.5471,167.18735,15.33898,18.27528,4477.33457,600.54939,124.06093,360.94741,3582.61319,1780.17891,11368.47534,1097.60496,65735.56191,1042.92489,8.37425,8012.29069,16407.14164,498.9704,54.16184,1876.26223,1779.25164,967.55299,436.12753,2853.81442,257.04479,481.19618,826.60408,17648.43358,846.6369
2011年,2209.05447,9527.295,367.59683,,599.58873,9035.04463,444.66402,997.28182,450.37991,185896.57267,272.66504,24.2789,282.22644,20.35102,18.13556,5041.09847,664.25235,143.44589,355.98416,3661.06904,1914.68021,13606.35365,1123.98098,73973.25704,1295.14486,7.96463,8364.79789,20697.53585,520.00674,64.8856,2351.04371,1967.27939,907.722,510.99156,3491.77896,306.6207,455.39069,923.44565,18173.01121,1126.26907
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
