,专用设备制造业国有控股工业企业港澳台资本金,交通运输设备制造业国有控股工业企业港澳台资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业港澳台资本金,其他采矿业国有控股工业企业港澳台资本金,农副食品加工业国有控股工业企业港澳台资本金,化学原料及化学制品制造业国有控股工业企业港澳台资本金,化学纤维制造业国有控股工业企业港澳台资本金,医药制造业国有控股工业企业港澳台资本金,印刷业和记录媒介的复制国有控股工业企业港澳台资本金,国有控股工业企业港澳台资本金,塑料制品业国有控股工业企业港澳台资本金,家具制造业国有控股工业企业港澳台资本金,工艺品及其他制造业国有控股工业企业港澳台资本金,废弃资源和废旧材料回收加工业国有控股工业企业港澳台资本金,文教体育用品制造业国有控股工业企业港澳台资本金,有色金属冶炼及压延加工业国有控股工业企业港澳台资本金,有色金属矿采选业国有控股工业企业港澳台资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业港澳台资本金,橡胶制品业国有控股工业企业港澳台资本金,水的生产和供应业国有控股工业企业港澳台资本金,烟草制品业国有控股工业企业港澳台资本金,煤炭开采和洗选业国有控股工业企业港澳台资本金,燃气生产和供应业国有控股工业企业港澳台资本金,电力、热力的生产和供应业国有控股工业企业港澳台资本金,电气机械及器材制造业国有控股工业企业港澳台资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业港澳台资本金,石油加工、炼焦及核燃料加工业国有控股工业企业港澳台资本金,石油和天然气开采业国有控股工业企业港澳台资本金,纺织业国有控股工业企业港澳台资本金,纺织服装、鞋、帽制造业国有控股工业企业港澳台资本金,通信设备、计算机及其他电子设备制造国有控股工业企业港澳台资本金,通用设备制造业国有控股工业企业港澳台资本金,造纸及纸制品业国有控股工业企业港澳台资本金,金属制品业国有控股工业企业港澳台资本金,非金属矿物制品业国有控股工业企业港澳台资本金,非金属矿采选业国有控股工业企业港澳台资本金,食品制造业国有控股工业企业港澳台资本金,饮料制造业国有控股工业企业港澳台资本金,黑色金属冶炼及压延加工业国有控股工业企业港澳台资本金,黑色金属矿采选业国有控股工业企业港澳台资本金
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,5.12818,36.34358,2.91089,0.0463,6.04645,20.85266,15.65336,17.12652,5.85083,428.01077,4.33687,0.21697,0.43778,,2.07951,5.19955,0.4025,4.60945,2.88066,2.53967,1.42632,0.10348,0.91429,68.45193,12.65682,0.84192,36.02444,29.81746,17.02092,1.41889,37.08291,7.82639,4.90288,5.14768,11.78594,0.33881,9.09807,15.80346,34.68643,
2004年,8.05251,33.14879,3.27566,,6.0043,19.77288,16.62652,11.88266,8.69913,400.55982,4.60429,0.41885,0.3783,,1.87889,16.13122,0.11,6.77254,6.7393,5.6629,0.85599,0.35578,5.32581,65.50291,8.23658,0.22683,34.9506,9.76443,11.84001,1.01228,20.87712,6.71533,8.30999,6.09305,14.01278,0.10831,7.37375,9.43524,39.25992,0.14437
2005年,9.81272,23.90341,1.8926,0.53,9.25809,14.71202,16.02993,11.60203,6.99243,377.71732,2.52415,0.25654,0.30933,,2.47013,4.57633,0.11,6.69244,2.06813,8.17108,1.40163,0.05925,2.6554,64.60868,5.27444,0.05758,31.97042,18.71902,9.52538,0.87034,20.53116,5.12295,10.8686,4.14221,17.89481,0.12843,4.39098,10.24824,47.21644,0.12
2006年,6.16,27.28,1.37,0.0,5.27,15.29,15.77,13.28,4.25,394.75,2.22,0.2,0.01,0.2,1.67,2.87,0.0,1.2,0.47,3.67,1.19,0.0,9.57,80.69,4.78,0.04,30.87,63.2,8.39,0.55,14.2,3.08,7.77,3.91,10.34,0.15,5.32,5.09,44.42,
2007年,6.85243,22.10547,1.82188,,12.1466,16.9799,15.03873,14.04955,4.99645,355.22303,2.74325,0.2153,0.16485,0.2,0.40599,9.03246,,1.56649,2.87339,16.45455,1.40163,0.06394,11.45809,74.26484,3.70499,0.03725,25.48725,25.15531,8.2614,0.56632,9.90742,7.45101,0.81338,6.62497,6.81757,0.15231,5.1695,4.92644,35.31212,
2008年,3.95383,47.35144,6.06874,,5.18897,18.2807,0.7464,4.53534,4.30781,358.97541,4.59152,1.20291,0.1098,0.91101,0.22443,5.95714,1.6125,1.33092,0.32537,13.15062,0.85599,,17.81253,96.32751,3.94699,0.13024,25.42291,,5.07172,0.51535,13.87906,4.53649,6.45805,5.18429,10.9643,0.13954,6.71466,4.315,36.85133,
2009年,6.53183,65.11086,1.64308,,2.95788,17.94794,0.88968,3.60228,3.65974,435.36229,3.02846,1.55798,1.40388,1.3591,0.22939,6.9636,0.01717,1.00107,1.61943,22.84157,0.90155,3.02925,13.42295,104.35905,6.9574,0.03608,27.12826,1.77,6.57974,0.21922,17.89318,38.99725,9.272,8.514,7.58842,0.72174,5.17292,2.91309,37.52125,
2010年,7.25433,63.94303,1.33528,,7.69243,18.51361,2.47479,4.52848,3.74668,422.08495,2.91502,1.50712,0.1254,0.4,0.2322,9.50035,,1.18107,1.75074,22.32866,0.90155,3.0,21.91382,115.06824,6.01284,0.02546,24.90492,,4.43628,0.53179,13.72793,5.06379,8.42114,14.13964,11.38093,0.59194,4.83148,1.72898,35.97503,
2011年,6.13873,63.92728,1.16222,,5.67288,17.74673,0.43831,5.23225,2.65312,389.69249,1.71597,1.45385,0.0496,,0.31369,11.78462,1.98159,1.10569,4.76824,28.76785,0.97607,3.02018,20.92847,86.91333,5.72817,0.0095,26.08609,,2.36441,0.71659,17.03473,12.80131,8.13465,5.8232,7.11188,0.57123,2.10279,2.59972,31.85755,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
