,专用设备制造业国有控股工业企业利润总额,交通运输设备制造业国有控股工业企业利润总额,仪器仪表及文化、办公用机械制造业国有控股工业企业利润总额,其他采矿业国有控股工业企业利润总额,农副食品加工业国有控股工业企业利润总额,化学原料及化学制品制造业国有控股工业企业利润总额,化学纤维制造业国有控股工业企业利润总额,医药制造业国有控股工业企业利润总额,印刷业和记录媒介的复制国有控股工业企业利润总额,国有控股工业企业利润总额,塑料制品业国有控股工业企业利润总额,家具制造业国有控股工业企业利润总额,工艺品及其他制造业国有控股工业企业利润总额,废弃资源和废旧材料回收加工业国有控股工业企业利润总额,文教体育用品制造业国有控股工业企业利润总额,有色金属冶炼及压延加工业国有控股工业企业利润总额,有色金属矿采选业国有控股工业企业利润总额,木材加工及木、竹、藤、棕、草制品业国有控股工业企业利润总额,橡胶制品业国有控股工业企业利润总额,水的生产和供应业国有控股工业企业利润总额,烟草制品业国有控股工业企业利润总额,煤炭开采和洗选业国有控股工业企业利润总额,燃气生产和供应业国有控股工业企业利润总额,电力、热力的生产和供应业国有控股工业企业利润总额,电气机械及器材制造业国有控股工业企业利润总额,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业利润总额,石油加工、炼焦及核燃料加工业国有控股工业企业利润总额,石油和天然气开采业国有控股工业企业利润总额,纺织业国有控股工业企业利润总额,纺织服装、鞋、帽制造业国有控股工业企业利润总额,通信设备、计算机及其他电子设备制造国有控股工业企业利润总额,通用设备制造业国有控股工业企业利润总额,造纸及纸制品业国有控股工业企业利润总额,金属制品业国有控股工业企业利润总额,非金属矿物制品业国有控股工业企业利润总额,非金属矿采选业国有控股工业企业利润总额,食品制造业国有控股工业企业利润总额,饮料制造业国有控股工业企业利润总额,黑色金属冶炼及压延加工业国有控股工业企业利润总额,黑色金属矿采选业国有控股工业企业利润总额
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,23.26099,513.10955,5.26892,0.99084,17.8911,113.65579,16.52303,102.39473,21.20353,3836.2,6.87703,0.10403,0.89472,0.01501,1.26785,85.09031,18.53355,1.5282,8.58775,-7.70608,273.99705,88.30582,3.80208,531.64234,14.92488,-0.83183,76.78251,1150.07288,0.70187,0.90165,119.06637,61.00874,21.01321,10.06348,35.17191,3.88994,13.41541,79.87283,420.22246,2.69047
2004年,36.08248,472.72486,5.94605,0.015,20.13224,305.66559,6.81717,81.401,26.72971,5453.1,11.23791,4.41932,3.03054,0.35513,1.28403,165.52678,47.62185,1.96373,5.01899,-4.02592,362.54551,222.73564,8.93453,727.15603,43.07756,0.06331,196.91548,1612.67294,-23.67293,1.32587,93.02005,85.48168,15.09708,16.1696,39.76494,7.13148,10.80738,52.50455,749.32516,40.10073
2005年,52.26457,302.36298,19.95815,0.13495,29.48351,264.6101,-1.96212,94.57017,16.17921,6519.75,6.47427,3.64334,4.64079,0.77111,1.50104,226.26651,102.69222,3.59128,9.7861,-14.68502,404.77158,335.36306,6.06458,985.6766,70.80257,0.588,-197.16586,2743.75151,-2.22119,1.37648,38.02461,127.07762,18.00022,16.83149,13.83383,13.97582,25.79843,78.90194,677.69472,38.31835
2006年,77.66,474.42,28.23,-0.03,41.46,282.7,8.73,79.17,21.58,8485.46,-11.72,4.29,4.8,1.35,1.48,452.83,152.48,3.08,6.24,-4.13,463.84,396.44,6.37,1467.86,87.93,1.48,-417.89,3642.23,6.16,2.87,26.68,163.87,16.24,24.61,42.16,16.24,25.32,99.25,749.33,39.85
2007年,154.12282,836.0624,34.86225,0.00025,58.33094,530.73203,16.12122,115.13375,34.86291,10795.19,8.42672,4.92397,9.4679,2.36068,1.90391,571.11491,159.48973,5.49206,11.43367,-2.72603,605.96815,616.95126,25.33689,1739.84717,118.69802,1.30729,-52.71174,3481.16446,14.73551,5.38636,97.30433,207.98868,21.94593,37.8794,95.64269,16.83679,32.89867,146.07547,960.14039,69.67349
2008年,189.94379,968.35611,41.44469,0.00021,34.00874,156.02487,-23.93627,144.26345,40.57555,9063.59,24.50355,5.67545,10.06725,9.71249,1.16602,211.21427,118.06183,4.73646,3.42459,-0.79695,710.00928,1351.95735,34.31784,424.63046,154.343,5.01652,-1341.86359,4491.72648,1.36767,6.67837,110.44475,240.43807,32.30627,44.21262,137.21864,26.19831,20.77466,180.79424,329.57813,164.99454
2009年,225.12617,1359.20433,51.90244,0.0003,52.17859,205.85212,25.2748,158.11333,41.93347,9287.03,13.78703,6.31257,13.04475,17.18058,1.57778,178.09719,87.19729,3.7388,32.23818,-13.24965,646.058,1231.76992,53.87722,1016.65688,182.60372,1.63012,606.15428,1801.71255,6.05896,8.17194,149.57377,261.54652,18.25547,51.93734,194.6746,24.78764,39.72103,213.32448,264.5404,54.4665
2010年,333.72305,2261.09385,71.89721,0.24921,96.45587,449.67862,34.51564,219.02992,52.86153,14737.65,25.29246,10.64429,19.95887,4.39382,2.93565,407.31748,193.14262,8.93288,26.77386,11.18152,729.3187,1969.3908,81.44639,1717.32036,231.80962,2.45133,733.97525,2896.11268,26.42473,8.75695,326.33187,329.84444,46.37506,82.32759,325.56974,33.47583,51.63655,280.17249,501.49026,133.34398
2011年,358.33346,2585.99679,86.18343,0.0,113.87472,561.63296,23.72795,246.59755,55.90479,16457.57,24.29837,12.45427,27.12116,4.965,2.81264,530.69445,296.95595,8.54792,16.91379,16.89372,835.86007,2462.74842,114.85709,1742.05486,205.59839,2.27316,-128.06984,3886.60126,33.90957,9.91981,316.04472,333.0444,21.44606,99.11521,504.7691,60.31918,44.92334,424.59021,322.2106,191.44976
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
