,专用设备制造业国有控股工业企业工业销售产值(现价),交通运输设备制造业国有控股工业企业工业销售产值(现价),仪器仪表及文化、办公用机械制造业国有控股工业企业工业销售产值(现价),其他采矿业国有控股工业企业工业销售产值(现价),农副食品加工业国有控股工业企业工业销售产值(现价),化学原料及化学制品制造业国有控股工业企业工业销售产值(现价),化学纤维制造业国有控股工业企业工业销售产值(现价),医药制造业国有控股工业企业工业销售产值(现价),印刷业和记录媒介的复制国有控股工业企业工业销售产值(现价),国有控股工业企业工业销售产值(现价),塑料制品业国有控股工业企业工业销售产值(现价),家具制造业国有控股工业企业工业销售产值(现价),工艺品及其他制造业国有控股工业企业工业销售产值(现价),废弃资源和废旧材料回收加工业国有控股工业企业工业销售产值(现价),文教体育用品制造业国有控股工业企业工业销售产值(现价),有色金属冶炼及压延加工业国有控股工业企业工业销售产值(现价),有色金属矿采选业国有控股工业企业工业销售产值(现价),木材加工及木、竹、藤、棕、草制品业国有控股工业企业工业销售产值(现价),橡胶制品业国有控股工业企业工业销售产值(现价),水的生产和供应业国有控股工业企业工业销售产值(现价),烟草制品业国有控股工业企业工业销售产值(现价),煤炭开采和洗选业国有控股工业企业工业销售产值(现价),燃气生产和供应业国有控股工业企业工业销售产值(现价),电力、热力的生产和供应业国有控股工业企业工业销售产值(现价),电气机械及器材制造业国有控股工业企业工业销售产值(现价),皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业工业销售产值(现价),石油加工、炼焦及核燃料加工业国有控股工业企业工业销售产值(现价),石油和天然气开采业国有控股工业企业工业销售产值(现价),纺织业国有控股工业企业工业销售产值(现价),纺织服装、鞋、帽制造业国有控股工业企业工业销售产值(现价),通信设备、计算机及其他电子设备制造国有控股工业企业工业销售产值(现价),通用设备制造业国有控股工业企业工业销售产值(现价),造纸及纸制品业国有控股工业企业工业销售产值(现价),金属制品业国有控股工业企业工业销售产值(现价),非金属矿物制品业国有控股工业企业工业销售产值(现价),非金属矿采选业国有控股工业企业工业销售产值(现价),食品制造业国有控股工业企业工业销售产值(现价),饮料制造业国有控股工业企业工业销售产值(现价),黑色金属冶炼及压延加工业国有控股工业企业工业销售产值(现价),黑色金属矿采选业国有控股工业企业工业销售产值(现价)
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,1437.77971,6864.9361,181.69706,6.81287,1057.12367,3561.36251,387.21083,1014.42663,270.40727,52804.11532,208.24916,24.08833,70.12518,0.8993,33.56281,1429.92577,233.83426,116.45433,329.83768,349.74882,2207.54228,1850.56163,184.71228,5754.96035,967.72555,41.68001,5304.62961,3215.37159,1188.2184,106.91088,3338.51721,1719.60979,510.34724,355.8185,1051.0695,141.18404,400.11832,843.32984,5936.70542,106.62059
2004年,1484.56377,7557.74018,251.7656,0.02026,961.76424,4247.99862,495.59372,858.05494,285.16967,69426.98633,302.68571,57.14812,133.84039,6.58592,39.00755,2115.81799,319.58456,122.68584,310.7183,402.27272,2560.19801,2963.50479,258.97986,13125.58532,1223.45933,29.39599,6909.91362,4165.85623,919.63224,102.45384,3287.83444,2042.13823,474.65961,433.7079,1137.76964,157.35583,313.93494,605.07203,8556.98422,205.53216
2005年,1730.10257,8236.73837,276.70901,2.55939,1081.81276,4960.3096,574.52311,974.31051,283.40851,83121.84541,268.96181,53.08824,135.45536,7.83344,29.7051,2702.62365,461.29803,166.96958,395.3158,424.14118,2853.97004,3794.1031,290.82857,15862.8222,1513.86509,23.70501,9515.76714,5687.75669,912.74685,108.27474,3496.51368,2414.52234,517.53914,489.0581,1174.60991,145.27311,471.51879,824.60723,10057.52738,200.97028
2006年,2019.79,10032.65,318.06,0.18,1053.01,5895.23,644.69,959.9,294.83,97946.69,291.45,68.82,145.17,11.99,34.5,4257.13,637.26,180.64,384.16,481.39,3193.0,4677.41,400.4,19384.0,1893.43,26.96,11396.03,7605.48,898.14,102.42,2467.74,2918.26,504.97,601.59,1328.12,201.3,576.59,890.56,10915.37,254.06
2007年,2612.42739,13243.28717,377.59396,0.155,1263.00911,6866.16879,727.40507,1081.35917,337.89998,118499.49558,290.74239,67.52506,205.94123,50.58324,31.60249,5756.54759,741.86905,130.49429,470.49459,516.50686,3772.33099,5699.42486,524.69557,23956.88171,2149.27486,25.60914,13444.17312,8014.02976,824.06637,126.60611,2497.66404,3469.63068,487.84633,808.43146,1611.36737,204.61057,576.30578,1045.58312,14115.10013,374.25118
2008年,3395.61305,14897.99406,485.19523,0.13109,1267.64513,7655.97495,476.06454,1167.76085,367.2762,140959.59292,389.26014,62.77464,223.76081,104.75042,38.82276,6081.61218,754.86328,131.03565,548.66522,601.6184,4411.61309,8490.06965,722.53629,27288.14008,2521.18516,47.51178,16240.57702,9096.49436,659.45173,129.5532,3752.79194,4023.91399,652.6815,971.90328,2144.31931,245.31566,668.2796,1163.78998,18422.69245,655.95425
2009年,3941.113,18960.87403,505.82899,0.14856,1477.99971,7230.35969,388.76048,1158.20138,378.66498,144544.31281,347.1637,79.02178,253.48758,217.43955,32.65754,5467.28968,678.09533,133.08466,584.36795,628.20397,4876.42081,9500.20895,788.79196,30545.05686,2753.22363,25.79527,15011.19596,7076.91143,582.16259,137.45282,3743.41281,4161.21113,629.2485,917.59503,2327.75807,257.91659,637.46697,1286.3137,16325.78664,497.62053
2010年,4561.75325,25428.19553,631.13135,0.52339,1932.199,9113.37159,424.74478,1431.99477,435.27319,183591.16787,369.07496,112.21254,385.9089,73.24513,35.98663,7870.11504,1025.70445,166.45317,745.40573,757.80391,5810.62576,12126.44359,1052.47133,37351.08189,3578.33571,25.17487,20610.72848,9300.73228,691.40727,163.96278,4267.16816,4513.35789,815.60729,1097.64449,3126.69741,332.08687,797.80031,1474.56934,20118.19959,835.97525
2011年,5123.27641,27419.72719,758.2354,0.0,2328.97734,11200.37027,530.4851,1688.45152,440.70972,217864.52017,430.22636,88.08656,612.31576,98.04223,36.7032,10070.6475,1401.05444,193.65389,879.48465,793.02672,6796.36473,15118.91277,1372.04837,43915.31425,4313.83853,26.27024,25183.18982,11762.82305,749.35903,183.37938,5057.08873,4999.45353,819.2523,1326.04822,4174.5553,461.85735,797.06621,1947.456,23490.37946,1276.38864
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
