,专用设备制造业国有控股工业企业出口交货值,交通运输设备制造业国有控股工业企业出口交货值,仪器仪表及文化、办公用机械制造业国有控股工业企业出口交货值,其他采矿业国有控股工业企业出口交货值,农副食品加工业国有控股工业企业出口交货值,化学原料及化学制品制造业国有控股工业企业出口交货值,化学纤维制造业国有控股工业企业出口交货值,医药制造业国有控股工业企业出口交货值,印刷业和记录媒介的复制国有控股工业企业出口交货值,国有控股工业企业出口交货值,塑料制品业国有控股工业企业出口交货值,家具制造业国有控股工业企业出口交货值,工艺品及其他制造业国有控股工业企业出口交货值,废弃资源和废旧材料回收加工业国有控股工业企业出口交货值,文教体育用品制造业国有控股工业企业出口交货值,有色金属冶炼及压延加工业国有控股工业企业出口交货值,有色金属矿采选业国有控股工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业国有控股工业企业出口交货值,橡胶制品业国有控股工业企业出口交货值,水的生产和供应业国有控股工业企业出口交货值,烟草制品业国有控股工业企业出口交货值,煤炭开采和洗选业国有控股工业企业出口交货值,燃气生产和供应业国有控股工业企业出口交货值,电力、热力的生产和供应业国有控股工业企业出口交货值,电气机械及器材制造业国有控股工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业出口交货值,石油加工、炼焦及核燃料加工业国有控股工业企业出口交货值,石油和天然气开采业国有控股工业企业出口交货值,纺织业国有控股工业企业出口交货值,纺织服装、鞋、帽制造业国有控股工业企业出口交货值,通信设备、计算机及其他电子设备制造国有控股工业企业出口交货值,通用设备制造业国有控股工业企业出口交货值,造纸及纸制品业国有控股工业企业出口交货值,金属制品业国有控股工业企业出口交货值,非金属矿物制品业国有控股工业企业出口交货值,非金属矿采选业国有控股工业企业出口交货值,食品制造业国有控股工业企业出口交货值,饮料制造业国有控股工业企业出口交货值,黑色金属冶炼及压延加工业国有控股工业企业出口交货值,黑色金属矿采选业国有控股工业企业出口交货值
2003年,69.68214,329.00805,24.57855,1.27793,62.11346,196.61157,26.68482,119.60676,0.71397,3632.52734,9.56406,7.05288,19.56585,,12.58495,176.43434,18.41631,10.31418,68.12851,,22.95284,123.60325,4.11816,69.30807,122.38718,18.53645,270.52649,71.43341,343.68809,46.82172,828.99086,128.99336,13.02972,52.59522,59.99721,15.49464,49.84835,26.7879,210.57104,0.50505
2004年,87.13162,394.50827,35.25326,,62.54708,244.30355,24.08238,112.52436,2.39253,4433.82033,13.97425,17.69829,8.27629,,12.26105,275.38471,20.02122,18.08357,73.46742,0.5589,24.96008,172.89629,4.13304,84.92707,138.17503,11.72555,160.327,36.93858,250.91784,39.95311,1129.62309,158.09373,14.18132,76.78887,60.83614,17.37263,47.62149,29.50363,568.59293,3.78416
2005年,127.34981,600.49596,28.76278,,58.32836,309.08368,35.16734,120.0217,2.56434,5543.23479,18.68054,16.19389,15.1367,,12.74389,267.97119,58.24003,31.61637,111.16055,0.5404,24.93385,197.54556,4.41744,108.60333,186.41603,9.92042,281.62617,61.78448,221.82092,40.06581,1366.82185,282.35747,26.86342,67.75565,83.23599,5.00173,58.23474,30.70955,671.03484,0.02801
2006年,179.57,902.92,37.13,0.0,43.64,323.75,42.21,113.14,1.64,5981.38,17.96,17.83,7.86,0.0,11.76,457.05,51.54,27.4,121.51,0.48,26.35,188.86,6.22,91.86,218.57,9.43,77.31,222.48,206.52,35.0,732.52,358.71,41.85,102.16,90.09,11.13,58.14,36.01,1108.72,2.04
2007年,262.09155,1406.70619,45.66475,,33.5183,420.82734,55.16628,137.33492,5.73176,7218.33365,16.68651,18.05181,9.05453,,10.42976,390.39934,2.70604,14.98451,141.60229,0.10209,24.37829,156.84985,14.39014,54.31661,227.9673,6.49397,248.83142,144.12197,164.49226,33.76081,668.47334,473.2611,21.19136,211.39714,111.81805,5.45776,50.46767,34.90984,1593.32623,1.37057
2008年,347.31229,1927.23182,29.25851,,38.44718,464.30034,40.21586,138.88851,2.85633,8683.549,23.53851,5.91857,6.96291,,12.32639,313.99928,1.31975,12.2253,141.52092,26.56326,20.81654,141.90282,16.01142,52.88668,247.64421,5.09212,270.88566,216.43583,106.29475,21.97912,1240.06663,562.90451,36.50829,222.90766,122.69352,5.6855,52.95677,27.16406,1779.8102,0.01698
2009年,274.74037,1745.63983,30.84442,,34.82758,344.19998,27.29613,128.66524,3.77393,6023.17376,15.54699,4.50786,7.79972,,8.42778,142.26669,0.20948,8.7827,137.67701,2.8278,23.50304,68.21727,24.857,87.90221,232.4521,2.78882,278.03032,98.20905,95.65802,21.32965,967.85837,490.82443,25.18822,60.53155,64.84342,5.92546,36.4668,27.77746,492.77706,
2010年,331.18563,2137.72403,58.32559,,38.22583,445.6346,34.73131,156.20723,3.67853,7724.81873,27.17158,10.91877,7.78763,0.39443,11.67951,223.27569,0.03899,9.07821,178.31205,2.86468,27.39032,107.89464,12.53745,50.03031,363.96938,1.39831,296.22773,59.47268,109.62659,20.84594,1304.61729,285.03207,138.25789,115.7119,79.94091,4.78371,36.78659,30.66035,1002.40038,
2011年,340.68395,2507.69843,75.20378,,52.42542,506.28928,45.7791,162.2879,6.68744,8701.45878,21.01004,12.51827,16.55082,0.41022,10.21001,327.02594,0.13102,12.49379,216.75071,1.46241,30.9345,51.5955,49.33998,57.62928,411.29022,1.31856,296.66617,43.95592,136.94058,21.33977,1350.86837,397.34275,20.45899,140.35563,116.59365,8.96674,33.88892,45.31662,1171.0381,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
