,专用设备制造业国有控股工业企业存货,交通运输设备制造业国有控股工业企业存货,仪器仪表及文化、办公用机械制造业国有控股工业企业存货,其他采矿业国有控股工业企业存货,农副食品加工业国有控股工业企业存货,化学原料及化学制品制造业国有控股工业企业存货,化学纤维制造业国有控股工业企业存货,医药制造业国有控股工业企业存货,印刷业和记录媒介的复制国有控股工业企业存货,国有控股工业企业存货,塑料制品业国有控股工业企业存货,家具制造业国有控股工业企业存货,工艺品及其他制造业国有控股工业企业存货,废弃资源和废旧材料回收加工业国有控股工业企业存货,文教体育用品制造业国有控股工业企业存货,有色金属冶炼及压延加工业国有控股工业企业存货,有色金属矿采选业国有控股工业企业存货,木材加工及木、竹、藤、棕、草制品业国有控股工业企业存货,橡胶制品业国有控股工业企业存货,水的生产和供应业国有控股工业企业存货,烟草制品业国有控股工业企业存货,煤炭开采和洗选业国有控股工业企业存货,燃气生产和供应业国有控股工业企业存货,电力、热力的生产和供应业国有控股工业企业存货,电气机械及器材制造业国有控股工业企业存货,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业存货,石油加工、炼焦及核燃料加工业国有控股工业企业存货,石油和天然气开采业国有控股工业企业存货,纺织业国有控股工业企业存货,纺织服装、鞋、帽制造业国有控股工业企业存货,通信设备、计算机及其他电子设备制造国有控股工业企业存货,通用设备制造业国有控股工业企业存货,造纸及纸制品业国有控股工业企业存货,金属制品业国有控股工业企业存货,非金属矿物制品业国有控股工业企业存货,非金属矿采选业国有控股工业企业存货,食品制造业国有控股工业企业存货,饮料制造业国有控股工业企业存货,黑色金属冶炼及压延加工业国有控股工业企业存货,黑色金属矿采选业国有控股工业企业存货
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,546.11313,1439.01945,76.2352,4.07892,145.85112,507.28981,63.35724,210.32505,48.36862,9340.90892,46.11292,6.93226,17.48196,0.05176,13.52992,375.47001,31.29416,29.94012,68.34435,17.13642,879.55269,240.12645,22.10778,219.465,300.07233,14.3156,426.0289,133.08169,339.17377,24.48617,631.78333,625.66153,110.56472,99.60371,257.51263,30.02188,68.35872,248.55886,1004.22394,19.2768
2004年,537.92033,1618.01943,87.99622,0.0085,149.93278,565.90186,79.55203,183.16759,53.02534,10616.09059,66.8031,8.85992,48.09819,0.85896,12.86588,470.08125,31.9417,32.47787,73.09718,21.80756,905.66905,306.13315,28.60614,290.23624,352.32384,12.75714,627.51747,199.19441,250.58957,26.04886,588.28475,721.3158,109.70574,119.27295,261.93282,27.51042,57.21637,207.82267,1452.14144,29.39607
2005年,596.00403,1605.7424,84.15706,0.12248,158.33785,675.22789,81.909,226.46892,48.54813,11841.56193,51.0661,5.82447,32.21735,3.15559,12.69986,578.61437,44.11123,38.97883,75.50928,24.67323,1026.73107,386.90741,26.6833,357.16357,378.23299,5.59925,814.43071,251.73143,217.42109,28.29117,590.17061,870.34086,102.40255,109.49161,251.63287,19.44362,68.54957,231.39579,1732.44063,29.13376
2006年,618.69,1746.1,89.26,0.02,152.36,729.28,90.39,207.21,50.82,12787.5,55.81,6.25,43.0,2.09,10.94,831.03,78.76,38.86,71.38,25.39,1078.8,461.02,26.78,422.65,454.96,6.02,807.55,334.48,213.51,27.59,442.26,855.63,94.67,126.15,253.95,28.41,81.09,246.28,1949.34,28.74
2007年,753.6162,2218.13071,93.66865,0.02106,177.66152,845.42755,99.17853,235.01857,60.3795,15262.76232,60.63379,6.76023,59.22555,5.38483,10.31222,944.47143,80.7745,32.86765,77.3252,30.68096,1194.66004,512.2176,28.7919,461.63655,515.43655,7.46221,1058.96235,353.16976,203.55896,34.53453,539.47851,1037.25051,81.90727,153.93899,255.29206,24.6168,97.95366,240.7154,2635.4229,34.21712
2008年,1057.74937,2541.03143,123.7444,0.02902,186.24896,949.67735,77.82083,242.77859,70.78858,18031.62167,59.13025,4.88509,57.29167,19.40456,12.7229,1083.60603,97.10954,38.3541,97.7591,28.61654,1414.43411,717.96999,47.1769,758.6282,517.20097,11.13781,1005.33976,452.85759,157.96279,33.36802,705.44731,1329.86252,124.67902,172.77557,349.85075,31.79491,95.53486,295.42367,3003.47603,57.95258
2009年,1144.5072,2827.50183,133.90191,0.03919,207.71665,898.89333,66.97042,221.4645,69.18414,19373.62358,69.74532,5.73225,87.59213,28.57541,9.87409,1284.22313,110.09103,26.1538,97.8939,36.39129,1676.07771,782.10856,69.00508,643.44528,607.01588,6.34754,1385.43709,497.61114,136.16945,34.67024,734.87018,1245.72514,117.44848,191.63777,330.14797,29.45444,85.04079,315.77446,3097.06809,62.11677
2010年,1245.88636,3555.13767,161.85491,0.0,331.68538,1116.96963,81.8043,310.33437,74.87532,23692.65067,76.42199,5.67689,111.46575,5.81256,10.97117,1889.1549,127.65895,27.03872,128.52311,37.40458,1891.7591,955.71853,49.42387,837.01268,770.67283,5.88247,1673.39159,526.09932,148.9547,38.09868,857.05003,1411.34925,159.62351,254.24317,419.423,34.78292,103.82611,344.21788,3813.46731,98.97716
2011年,1458.2773,3954.72957,188.17569,0.0,334.4322,1253.57656,79.76112,362.78038,73.5073,27478.60934,82.90351,5.96076,225.18237,8.03528,10.55392,2227.82112,161.89209,32.112,149.30537,34.09395,2264.91538,1160.54145,66.92879,969.65315,1023.54633,5.62196,2164.89363,606.99392,151.36727,39.37649,1019.602,1560.47239,176.77476,287.59449,523.78038,46.29886,116.75882,466.74759,4036.88425,146.75694
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
