,专用设备制造业国有控股工业企业资产总计,交通运输设备制造业国有控股工业企业资产总计,仪器仪表及文化、办公用机械制造业国有控股工业企业资产总计,其他采矿业国有控股工业企业资产总计,农副食品加工业国有控股工业企业资产总计,化学原料及化学制品制造业国有控股工业企业资产总计,化学纤维制造业国有控股工业企业资产总计,医药制造业国有控股工业企业资产总计,印刷业和记录媒介的复制国有控股工业企业资产总计,国有控股工业企业资产总计,塑料制品业国有控股工业企业资产总计,家具制造业国有控股工业企业资产总计,工艺品及其他制造业国有控股工业企业资产总计,废弃资源和废旧材料回收加工业国有控股工业企业资产总计,文教体育用品制造业国有控股工业企业资产总计,有色金属冶炼及压延加工业国有控股工业企业资产总计,有色金属矿采选业国有控股工业企业资产总计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业资产总计,橡胶制品业国有控股工业企业资产总计,水的生产和供应业国有控股工业企业资产总计,烟草制品业国有控股工业企业资产总计,煤炭开采和洗选业国有控股工业企业资产总计,燃气生产和供应业国有控股工业企业资产总计,电力、热力的生产和供应业国有控股工业企业资产总计,电气机械及器材制造业国有控股工业企业资产总计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业资产总计,石油加工、炼焦及核燃料加工业国有控股工业企业资产总计,石油和天然气开采业国有控股工业企业资产总计,纺织业国有控股工业企业资产总计,纺织服装、鞋、帽制造业国有控股工业企业资产总计,通信设备、计算机及其他电子设备制造国有控股工业企业资产总计,通用设备制造业国有控股工业企业资产总计,造纸及纸制品业国有控股工业企业资产总计,金属制品业国有控股工业企业资产总计,非金属矿物制品业国有控股工业企业资产总计,非金属矿采选业国有控股工业企业资产总计,食品制造业国有控股工业企业资产总计,饮料制造业国有控股工业企业资产总计,黑色金属冶炼及压延加工业国有控股工业企业资产总计,黑色金属矿采选业国有控股工业企业资产总计
2003年,2664.16666,8391.04987,453.4351,43.59201,1080.77546,5936.30393,702.58646,2019.36728,523.72268,94519.79,447.37358,51.38807,79.13431,0.50638,70.57901,2491.12663,388.89301,262.43748,488.1276,1894.52854,2764.06591,4929.50382,720.39131,22828.33725,1845.73925,58.73262,3174.45369,4802.28176,2042.09794,147.99919,3940.5475,3104.90428,1182.37358,569.37561,2624.38217,491.28318,671.55853,1526.12596,8827.51596,279.02878
2004年,2555.49033,9231.40116,509.13001,0.17506,940.67248,5897.67324,803.39095,1742.02757,567.64926,109708.25,497.07276,60.64219,303.98161,4.78653,73.57009,2844.56848,433.56158,272.34188,507.04016,2413.851,2979.49992,6160.16227,869.97951,32480.01864,1933.61937,58.90733,3514.30811,5839.10948,1587.4875,129.63531,3783.71368,3555.13106,1058.91482,648.13076,2656.74531,394.18129,594.97868,1209.88932,10139.14472,455.66298
2005年,2725.93506,9741.06726,504.07788,2.05616,861.66201,6551.79785,750.27825,1955.15273,537.0994,117629.61,429.73991,52.95801,178.13893,11.36982,63.92582,3278.49663,526.40579,301.52647,479.5047,2477.75593,3234.13597,7244.15312,867.29736,34362.41553,1945.71214,36.06863,4515.04116,6434.95943,1325.58629,138.67787,3971.52146,3527.08416,1030.81078,582.11393,2560.05932,278.5558,674.92475,1296.2584,11651.49143,523.78986
2006年,2907.95,11419.63,531.97,0.19,807.92,7788.68,845.93,1808.6,516.76,135153.35,465.67,52.26,211.22,34.81,58.28,4039.36,780.88,300.37,423.32,2735.89,3494.3,9105.91,1042.24,41177.96,2117.1,28.39,4935.66,8026.95,1269.2,127.66,3127.95,3690.25,1018.82,621.24,2801.3,341.21,715.92,1343.58,13815.52,622.5
2007年,3450.05174,14446.37181,591.73497,0.14327,887.06848,8699.0694,850.02665,1904.62264,521.06421,158187.87,373.47771,52.94219,308.37446,27.19408,56.68486,5236.16606,805.97743,201.23543,465.53927,2910.04838,3741.74775,11014.5859,963.25962,47578.94386,2349.7102,29.26234,6236.31989,9636.48194,1195.90298,146.88236,3553.05847,4522.17201,892.15634,757.57371,2850.42243,307.46539,777.90431,1460.9887,17602.95637,782.28639
2008年,4670.76038,16450.95622,740.20203,0.1429,946.26716,9686.00474,668.48751,1861.29786,516.99165,188811.37,488.61951,48.32736,292.01532,119.64603,59.46218,6293.10112,942.23317,180.71875,588.05539,3514.05368,4389.77063,14696.76464,1261.38781,55742.57838,2899.82103,47.83179,7609.64343,12351.8559,937.67133,149.73767,4701.49312,5217.93284,1333.26367,836.4225,3643.26142,398.54661,707.07848,1612.39137,21011.33395,1195.24217
2009年,5354.31303,20860.18459,804.0766,0.14501,1089.31389,10872.13841,568.38238,1928.13841,580.92281,215742.01,407.46349,54.73405,357.1736,149.76975,41.61347,7295.72823,1061.86283,176.01388,610.11155,3748.85613,4899.25569,18047.8781,2238.21075,61387.19072,3371.86255,35.20719,8060.63278,14334.55271,882.97298,153.95574,5329.50417,5911.26257,1379.65909,988.67039,3766.38264,448.95805,753.63233,1820.86911,24942.89875,1027.51135
2010年,6599.10127,25950.35441,940.26198,1.0917,1506.51838,12194.97157,610.46623,2368.88648,600.87335,247759.86,493.01298,72.35538,456.94889,70.02777,42.89053,8762.4846,1384.66214,185.27757,699.87785,4280.24673,5438.85547,21907.33248,1593.35383,68024.77561,4436.25825,34.26561,9336.41873,16125.4073,966.50545,170.9622,6211.11492,6075.81652,1544.87672,1191.86133,4861.87634,575.77348,880.1988,2135.61765,26143.8285,2884.44809
2011年,7335.13824,28901.74076,1143.95938,,1664.40676,13077.21581,631.50304,2683.44659,573.82191,281673.87,489.9189,71.02431,775.80318,85.74589,43.36026,10347.37972,1674.54107,213.8074,789.05351,4495.64657,6126.237,27327.48481,1876.38866,75985.32162,5636.14894,32.91928,11100.77561,17794.29021,993.05981,170.47248,8144.55165,6661.65923,1322.75463,1415.92694,5896.52736,722.65302,842.53611,2696.244,28354.85682,3575.55163
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
