,专用设备制造业国有控股工业企业管理费用,交通运输设备制造业国有控股工业企业管理费用,仪器仪表及文化、办公用机械制造业国有控股工业企业管理费用,其他采矿业国有控股工业企业管理费用,农副食品加工业国有控股工业企业管理费用,化学原料及化学制品制造业国有控股工业企业管理费用,化学纤维制造业国有控股工业企业管理费用,医药制造业国有控股工业企业管理费用,印刷业和记录媒介的复制国有控股工业企业管理费用,国有控股工业企业管理费用,塑料制品业国有控股工业企业管理费用,家具制造业国有控股工业企业管理费用,工艺品及其他制造业国有控股工业企业管理费用,废弃资源和废旧材料回收加工业国有控股工业企业管理费用,文教体育用品制造业国有控股工业企业管理费用,有色金属冶炼及压延加工业国有控股工业企业管理费用,有色金属矿采选业国有控股工业企业管理费用,木材加工及木、竹、藤、棕、草制品业国有控股工业企业管理费用,橡胶制品业国有控股工业企业管理费用,水的生产和供应业国有控股工业企业管理费用,烟草制品业国有控股工业企业管理费用,煤炭开采和洗选业国有控股工业企业管理费用,燃气生产和供应业国有控股工业企业管理费用,电力、热力的生产和供应业国有控股工业企业管理费用,电气机械及器材制造业国有控股工业企业管理费用,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业管理费用,石油加工、炼焦及核燃料加工业国有控股工业企业管理费用,石油和天然气开采业国有控股工业企业管理费用,纺织业国有控股工业企业管理费用,纺织服装、鞋、帽制造业国有控股工业企业管理费用,通信设备、计算机及其他电子设备制造国有控股工业企业管理费用,通用设备制造业国有控股工业企业管理费用,造纸及纸制品业国有控股工业企业管理费用,金属制品业国有控股工业企业管理费用,非金属矿物制品业国有控股工业企业管理费用,非金属矿采选业国有控股工业企业管理费用,食品制造业国有控股工业企业管理费用,饮料制造业国有控股工业企业管理费用,黑色金属冶炼及压延加工业国有控股工业企业管理费用,黑色金属矿采选业国有控股工业企业管理费用
2003年,175.75546,509.14915,34.07346,0.62309,42.38999,277.15167,23.78403,128.36918,39.70874,4117.59237,18.40111,2.39714,5.70435,0.07399,4.89971,98.80394,37.01935,9.11145,24.95757,63.94747,153.05984,340.24528,25.05642,367.69392,100.53463,3.31153,164.88268,194.50422,83.6794,9.18416,208.77408,187.22116,33.57639,31.54296,115.39793,20.6676,27.86604,62.60819,472.63654,18.82855
2004年,169.82269,491.69058,47.9711,0.01916,38.26203,299.02833,31.43788,106.67296,43.86468,4567.39656,17.9074,3.10235,20.56545,0.53377,6.08986,135.13764,42.56754,9.82154,22.10394,73.20274,181.58302,530.39338,28.42096,444.3455,104.25352,3.0229,166.29851,265.75125,70.12309,9.54397,209.30699,198.35728,30.96231,37.30269,118.00188,24.61319,23.59315,51.58019,467.92096,42.22018
2005年,175.47721,539.82376,40.67021,0.12015,35.52721,329.76389,28.11443,116.29163,42.728,4912.01836,15.57651,2.90591,14.51009,0.52757,4.42515,145.36706,49.51047,11.45071,18.84983,75.87976,193.47595,660.0039,28.89617,469.93886,110.41502,2.27232,197.20989,296.1157,60.67198,9.56869,247.56588,212.3462,32.926,35.74693,108.95669,21.65238,27.3274,58.55056,454.57514,36.28315
2006年,191.63,672.07,44.83,0.02,34.53,332.47,29.5,113.71,44.16,5293.47,23.0,3.38,15.56,0.74,4.19,189.46,64.23,12.18,16.8,82.44,219.94,718.98,36.19,508.0,122.62,2.13,219.88,329.59,54.27,9.4,173.68,230.34,28.86,35.48,100.97,24.81,28.41,64.74,476.17,34.12
2007年,218.30473,810.50836,47.99874,0.00724,38.6138,410.4007,36.20623,125.47297,43.33453,6349.98236,15.00028,4.49731,20.9165,1.16384,4.3181,209.22987,64.34429,9.5037,19.77649,86.33804,250.9791,835.04891,35.40578,629.91685,126.13666,2.38016,373.48492,428.08947,49.31869,11.56786,205.40263,249.9112,25.98079,42.10882,114.85512,22.28933,29.78579,65.2073,641.51684,44.66042
2008年,267.2779,859.73537,57.06593,0.01008,40.05297,457.45833,31.88714,125.99554,48.91791,7378.60841,19.83593,4.28827,18.823,4.92418,4.70236,202.66723,63.36468,10.2114,23.33175,103.83431,304.14884,1210.76301,45.30854,612.5912,139.92028,3.12502,515.3523,479.89261,42.38284,11.83982,285.76191,274.32624,30.76593,47.79604,134.86654,30.53831,34.84434,75.66824,689.59362,64.7385
2009年,299.82973,1098.60207,63.30689,0.00976,46.5037,458.24573,27.66012,123.34668,51.741,8002.7768,18.61191,5.59027,19.40063,5.73977,3.54532,214.70839,60.1722,8.34494,27.18805,103.46668,340.37477,1174.47161,45.56412,719.86538,163.60144,2.77126,433.58701,639.95827,34.85577,11.93652,327.26813,291.06478,35.21549,55.50438,143.01231,28.64814,33.0213,94.47396,734.21553,57.35279
2010年,364.5168,1408.03601,78.34028,0.08713,84.95397,514.13714,21.84151,159.95722,55.23089,9714.52385,18.79714,7.2576,23.96402,2.24736,3.47362,283.35532,92.03753,12.47381,39.47211,118.4561,360.26689,1541.54603,49.70251,832.40466,199.19368,1.41334,562.29316,660.25655,42.80045,18.45669,320.51846,361.97872,54.28816,64.36194,180.16037,31.55396,35.66851,107.14091,922.39061,79.49269
2011年,392.02524,1496.62062,87.94475,,73.53442,571.50514,24.72461,170.80782,53.52129,10623.05794,21.10782,6.23832,43.9615,3.02504,3.52944,350.61453,114.23761,16.83011,33.35212,113.19717,377.97849,1704.91699,59.9696,829.43201,224.73136,2.48037,611.01563,756.95897,42.55627,16.48916,422.76176,361.2131,50.2027,71.3649,224.17848,37.79062,40.08204,129.8796,957.62702,124.65132
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
