,专用设备制造业国有控股工业企业外商资本金,交通运输设备制造业国有控股工业企业外商资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业外商资本金,其他采矿业国有控股工业企业外商资本金,农副食品加工业国有控股工业企业外商资本金,化学原料及化学制品制造业国有控股工业企业外商资本金,化学纤维制造业国有控股工业企业外商资本金,医药制造业国有控股工业企业外商资本金,印刷业和记录媒介的复制国有控股工业企业外商资本金,国有控股工业企业外商资本金,塑料制品业国有控股工业企业外商资本金,家具制造业国有控股工业企业外商资本金,工艺品及其他制造业国有控股工业企业外商资本金,废弃资源和废旧材料回收加工业国有控股工业企业外商资本金,文教体育用品制造业国有控股工业企业外商资本金,有色金属冶炼及压延加工业国有控股工业企业外商资本金,有色金属矿采选业国有控股工业企业外商资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业外商资本金,橡胶制品业国有控股工业企业外商资本金,水的生产和供应业国有控股工业企业外商资本金,烟草制品业国有控股工业企业外商资本金,煤炭开采和洗选业国有控股工业企业外商资本金,燃气生产和供应业国有控股工业企业外商资本金,电力、热力的生产和供应业国有控股工业企业外商资本金,电气机械及器材制造业国有控股工业企业外商资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业外商资本金,石油加工、炼焦及核燃料加工业国有控股工业企业外商资本金,石油和天然气开采业国有控股工业企业外商资本金,纺织业国有控股工业企业外商资本金,纺织服装、鞋、帽制造业国有控股工业企业外商资本金,通信设备、计算机及其他电子设备制造国有控股工业企业外商资本金,通用设备制造业国有控股工业企业外商资本金,造纸及纸制品业国有控股工业企业外商资本金,金属制品业国有控股工业企业外商资本金,非金属矿物制品业国有控股工业企业外商资本金,非金属矿采选业国有控股工业企业外商资本金,食品制造业国有控股工业企业外商资本金,饮料制造业国有控股工业企业外商资本金,黑色金属冶炼及压延加工业国有控股工业企业外商资本金,黑色金属矿采选业国有控股工业企业外商资本金
2003年,11.71374,245.26675,4.55101,,18.17656,46.71869,6.38838,21.3141,5.64492,814.16933,4.59341,0.28111,0.38541,0.00751,0.25897,11.80289,0.07759,3.67158,4.48579,4.21591,,0.12363,11.68743,90.87227,37.5587,1.01731,7.53777,2.36682,9.19483,1.74388,79.50722,70.05193,14.93791,12.14979,19.16434,1.51467,12.55001,33.76584,18.87066,
2004年,11.16994,313.01627,5.82211,,9.3172,43.97117,9.05006,30.0022,6.6506,893.14937,5.82204,1.30615,1.09009,0.2,0.36859,10.58571,0.93137,4.63996,11.85436,17.44802,,1.77456,4.77156,94.71374,30.76496,1.20283,4.02838,2.44112,10.27907,2.25595,95.80739,62.86753,13.137,7.65451,26.64785,0.74532,6.13781,20.20299,24.47096,
2005年,9.27328,335.69745,5.99209,,11.70292,78.00232,7.02827,45.3202,4.57387,1032.78789,4.51385,1.2185,0.448,0.55306,0.23545,16.34738,0.2288,3.18883,12.95147,21.21407,,2.61977,6.61434,111.51645,35.41066,0.7192,4.59094,6.37107,10.94926,2.46614,100.87842,69.87112,20.35303,8.68935,22.55728,1.46596,9.7191,24.86031,34.64568,
2006年,9.26,418.05,3.95,0.0,15.06,174.98,9.97,17.96,2.25,1084.87,4.8,1.63,0.3,0.21,0.18,6.9,0.37,2.01,5.69,23.65,0.44,0.64,13.99,100.33,23.09,0.23,10.85,6.99,11.84,0.97,61.21,67.18,8.97,9.86,15.13,0.71,5.4,13.27,36.57,0.0
2007年,13.72912,495.15411,4.10356,,6.73829,174.71559,10.7942,33.29759,3.0739,1252.16999,5.22167,1.22341,0.44379,0.55874,1.51268,11.64461,6.1519,2.15158,2.95071,30.20135,,1.90111,18.206,113.76489,20.65853,0.10772,44.44265,8.70998,6.75207,1.30085,90.72945,42.87833,6.42863,8.26394,22.17373,0.2702,4.48784,17.72586,39.70141,
2008年,18.67104,461.50763,5.08132,,5.02645,142.09943,10.58911,27.81123,3.09886,1422.24729,4.96179,0.23055,0.40907,0.47812,0.3323,16.55134,2.42768,2.06495,9.11965,85.66185,0.26219,1.39534,13.29908,190.15876,12.51004,0.02895,83.95243,0.2717,6.22732,0.6806,145.64331,51.6475,14.35559,9.5924,30.1859,1.53338,10.54846,15.71831,38.11366,
2009年,20.14977,566.26202,4.35737,,4.18655,198.37187,13.05391,8.81915,4.12228,1520.30148,3.66278,0.58061,0.47119,0.39062,0.33168,19.70318,6.30643,1.16978,2.08543,25.40676,,4.74214,19.84561,219.11776,16.76079,0.01365,75.08859,0.34048,4.51748,0.35898,123.83896,51.6003,17.25591,13.20492,27.53718,1.33111,9.03771,14.36577,41.91276,
2010年,36.37659,638.51785,9.81334,,5.59336,199.99121,14.48575,30.54538,3.31639,1618.9743,7.33752,0.78977,0.45188,0.57062,0.25573,15.93223,3.37039,1.64303,2.0528,27.74204,,7.2967,24.7675,193.52761,16.53362,0.01365,77.13941,0.57928,4.31353,0.59357,113.43185,50.30207,32.49243,10.92673,24.53773,1.345,11.2347,13.27226,37.88078,
2011年,40.18074,686.38721,3.742,,6.82922,141.58028,10.1656,24.5667,3.42296,1495.87958,4.16633,0.53618,0.44187,0.51162,0.32314,31.70734,1.95017,0.26788,2.01893,25.60529,0.42416,15.10911,25.66983,173.12256,18.24721,,12.57032,0.4501,5.0085,0.39696,77.07549,47.08928,8.58935,12.16753,26.54333,0.87331,8.30534,14.52275,65.31099,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
