,专用设备制造业国有控股工业企业应交所得税,交通运输设备制造业国有控股工业企业应交所得税,仪器仪表及文化、办公用机械制造业国有控股工业企业应交所得税,其他采矿业国有控股工业企业应交所得税,农副食品加工业国有控股工业企业应交所得税,化学原料及化学制品制造业国有控股工业企业应交所得税,化学纤维制造业国有控股工业企业应交所得税,医药制造业国有控股工业企业应交所得税,印刷业和记录媒介的复制国有控股工业企业应交所得税,国有控股工业企业应交所得税,塑料制品业国有控股工业企业应交所得税,家具制造业国有控股工业企业应交所得税,工艺品及其他制造业国有控股工业企业应交所得税,废弃资源和废旧材料回收加工业国有控股工业企业应交所得税,文教体育用品制造业国有控股工业企业应交所得税,有色金属冶炼及压延加工业国有控股工业企业应交所得税,有色金属矿采选业国有控股工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业国有控股工业企业应交所得税,橡胶制品业国有控股工业企业应交所得税,水的生产和供应业国有控股工业企业应交所得税,烟草制品业国有控股工业企业应交所得税,煤炭开采和洗选业国有控股工业企业应交所得税,燃气生产和供应业国有控股工业企业应交所得税,电力、热力的生产和供应业国有控股工业企业应交所得税,电气机械及器材制造业国有控股工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业应交所得税,石油加工、炼焦及核燃料加工业国有控股工业企业应交所得税,石油和天然气开采业国有控股工业企业应交所得税,纺织业国有控股工业企业应交所得税,纺织服装、鞋、帽制造业国有控股工业企业应交所得税,通信设备、计算机及其他电子设备制造国有控股工业企业应交所得税,通用设备制造业国有控股工业企业应交所得税,造纸及纸制品业国有控股工业企业应交所得税,金属制品业国有控股工业企业应交所得税,非金属矿物制品业国有控股工业企业应交所得税,非金属矿采选业国有控股工业企业应交所得税,食品制造业国有控股工业企业应交所得税,饮料制造业国有控股工业企业应交所得税,黑色金属冶炼及压延加工业国有控股工业企业应交所得税,黑色金属矿采选业国有控股工业企业应交所得税
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,9.79976,58.51867,1.63769,0.13149,4.32733,28.86986,4.10602,18.39039,6.15934,727.77541,2.17527,0.10817,0.30449,0.00712,0.60965,22.47252,5.00995,0.44822,3.07259,2.84867,81.39575,31.93345,2.06621,100.21378,7.47921,0.12612,21.91468,102.60662,5.97258,0.35733,21.70759,14.25329,8.6605,3.28635,11.16893,1.39768,3.90811,21.78128,117.62778,0.92097
2004年,10.54209,49.41176,2.49951,0.00254,5.33256,65.00538,3.8013,16.02356,7.14542,1063.90816,2.75696,0.44343,0.72707,0.08261,0.60508,39.98447,9.91109,0.57695,1.78898,4.97153,107.15306,78.19619,4.06842,156.09904,9.87994,0.06905,48.20394,152.40299,3.85243,0.32586,20.84448,19.36956,6.86373,4.56358,11.57498,2.30243,3.31307,19.52837,185.81835,7.8664
2005年,12.19087,39.44317,2.89938,0.02055,6.33545,60.81411,3.95983,16.7691,5.13314,1289.00486,2.02732,0.49827,0.54471,0.08377,0.4955,53.27466,19.00678,1.16415,2.46276,2.99818,119.21217,108.72976,2.25284,201.92491,12.17639,0.08266,33.81187,276.07171,4.31872,0.36658,16.06189,27.95341,5.44424,4.43818,8.18053,3.21385,6.53327,24.61528,194.19428,9.30062
2006年,14.27,70.62,3.52,0.0,7.41,60.2,3.76,15.46,6.34,1498.16,2.4,0.69,0.77,0.15,0.3,99.05,36.08,1.01,1.28,4.15,139.13,116.14,4.26,289.05,15.15,0.1,23.1,282.53,5.16,0.34,11.9,30.41,4.81,5.06,11.06,3.59,6.21,31.12,183.36,8.22
2007年,25.22316,86.91688,4.46166,5e-05,7.2718,76.38717,6.88785,22.31481,8.42357,1834.09666,2.05878,0.66031,1.29062,0.24199,0.2808,100.54173,31.33237,0.95511,2.60338,5.22186,198.91881,146.00657,4.36567,358.14043,19.07381,0.16191,69.63958,270.69213,3.98996,0.49698,13.16131,36.84037,6.23634,6.23401,17.62054,3.95779,6.21235,32.27826,242.3395,14.65644
2008年,27.78954,108.95309,4.89074,5e-05,4.93134,68.64418,3.28722,26.37695,7.45974,1734.73615,2.1743,0.93957,1.75243,0.55921,0.2671,55.02688,18.81189,0.81426,1.05674,6.92525,178.54387,301.6188,6.44097,224.11932,20.09078,1.0922,11.18337,351.29363,2.18647,0.89866,13.30614,38.76813,7.69038,6.14867,21.90991,7.5423,5.29793,45.59611,113.48596,36.86207
2009年,34.4942,185.60737,5.50666,7e-05,4.45216,53.42237,4.28938,23.48972,8.55384,1635.6535,3.23371,0.70948,1.68405,0.7478,0.28203,39.1765,16.28066,0.38354,3.01552,4.62665,163.63521,282.78533,8.00313,243.74861,25.36127,0.25688,96.6572,175.21785,1.96533,0.9247,24.56383,38.7932,7.1395,6.68574,33.07869,3.19193,5.23636,51.52417,64.32832,12.60054
2010年,44.22005,341.26607,9.09856,0.0,8.88363,65.65791,4.47544,28.9972,9.11055,2372.13493,3.69131,1.32298,3.09697,0.9826,0.3619,43.87096,31.34628,0.50077,2.80001,9.49993,171.77797,414.29213,12.24827,320.96969,41.5142,0.37382,117.67126,327.90225,4.97207,1.09063,30.36501,49.2101,10.76821,8.32174,56.05665,4.39367,4.92465,62.92618,99.21742,23.95589
2011年,48.57624,378.94101,11.41376,0.0,9.46993,108.623,4.5363,33.91029,9.60268,2703.34705,3.77495,1.28384,4.20836,1.05508,0.42689,79.63688,58.07342,0.68666,4.00787,8.77851,177.3136,607.31783,21.33366,296.70361,25.64259,0.34573,64.367,306.85393,3.98685,0.93392,41.3982,53.49053,3.21337,13.2349,100.36084,7.87599,8.19529,91.28115,67.89073,44.60166
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
