,专用设备制造业国有控股工业亏损企业亏损总额,交通运输设备制造业国有控股工业亏损企业亏损总额,仪器仪表及文化、办公用机械制造业国有控股工业亏损企业亏损总额,其他采矿业国有控股工业亏损企业亏损总额,农副食品加工业国有控股工业亏损企业亏损总额,化学原料及化学制品制造业国有控股工业亏损企业亏损总额,化学纤维制造业国有控股工业亏损企业亏损总额,医药制造业国有控股工业亏损企业亏损总额,印刷业和记录媒介的复制国有控股工业亏损企业亏损总额,国有控股工业亏损企业亏损总额,塑料制品业国有控股工业亏损企业亏损总额,家具制造业国有控股工业亏损企业亏损总额,工艺品及其他制造业国有控股工业亏损企业亏损总额,废弃资源和废旧材料回收加工业国有控股工业亏损企业亏损总额,文教体育用品制造业国有控股工业亏损企业亏损总额,有色金属冶炼及压延加工业国有控股工业亏损企业亏损总额,有色金属矿采选业国有控股工业亏损企业亏损总额,木材加工及木、竹、藤、棕、草制品业国有控股工业亏损企业亏损总额,橡胶制品业国有控股工业亏损企业亏损总额,水的生产和供应业国有控股工业亏损企业亏损总额,烟草制品业国有控股工业亏损企业亏损总额,煤炭开采和洗选业国有控股工业亏损企业亏损总额,燃气生产和供应业国有控股工业亏损企业亏损总额,电力、热力的生产和供应业国有控股工业亏损企业亏损总额,电气机械及器材制造业国有控股工业亏损企业亏损总额,皮革、毛皮、羽毛(绒)及其制品业国有控股工业亏损企业亏损总额,石油加工、炼焦及核燃料加工业国有控股工业亏损企业亏损总额,石油和天然气开采业国有控股工业亏损企业亏损总额,纺织业国有控股工业亏损企业亏损总额,纺织服装、鞋、帽制造业国有控股工业亏损企业亏损总额,通信设备、计算机及其他电子设备制造国有控股工业亏损企业亏损总额,通用设备制造业国有控股工业亏损企业亏损总额,造纸及纸制品业国有控股工业亏损企业亏损总额,金属制品业国有控股工业亏损企业亏损总额,非金属矿物制品业国有控股工业亏损企业亏损总额,非金属矿采选业国有控股工业亏损企业亏损总额,食品制造业国有控股工业亏损企业亏损总额,饮料制造业国有控股工业亏损企业亏损总额,黑色金属冶炼及压延加工业国有控股工业亏损企业亏损总额,黑色金属矿采选业国有控股工业亏损企业亏损总额
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,39.71797,48.86803,6.77992,0.0,12.75144,55.94266,5.20561,9.42669,4.98862,679.95569,5.12014,0.6162,0.94546,0.00613,1.20815,14.46483,2.27798,3.23277,3.26561,20.80284,3.02798,7.54215,8.03607,138.61724,30.27274,1.49447,37.29855,16.63209,29.46837,2.2416,44.30796,30.41921,14.35877,7.36262,31.59593,3.08354,5.84388,8.19088,23.68623,0.85436
2004年,30.07618,63.71867,14.81572,0.0,13.77951,58.13706,15.12399,13.67419,5.80451,836.73323,6.46866,0.58462,1.73592,0.03548,1.13915,15.51815,1.98613,4.05012,5.79801,23.83828,7.64324,25.49641,13.7014,142.53849,23.64815,1.36381,41.087,55.8486,41.60785,2.04761,65.40948,33.50217,16.49836,10.40827,33.75213,2.73656,7.46906,10.46038,23.76846,1.46145
2005年,22.14279,64.61957,4.52178,0.00081,11.04296,77.33833,20.99943,11.60338,6.20926,1071.76937,4.8656,0.54387,1.74458,0.00985,0.6663,18.59691,1.98121,3.58045,3.31002,30.30458,2.86884,6.30072,14.09713,135.84599,16.94261,0.70395,351.50255,9.77127,22.31277,1.56887,87.6207,25.97625,9.68826,7.29766,44.78044,1.33424,3.37754,10.73517,33.68326,1.27947
2006年,14.73,53.08,4.29,0.03,5.74,100.83,12.66,11.2,5.65,1175.75,24.11,0.57,1.34,0.28,0.51,13.85,1.3,4.62,2.24,26.91,1.14,17.81,16.0,98.78,11.7,0.41,546.53,6.99,19.95,0.7,68.51,17.81,10.27,5.53,37.33,1.79,3.45,10.35,16.26,0.49
2007年,14.62731,53.0828,2.65276,0.0,5.70923,38.37018,14.80545,8.8721,4.12831,890.8016,3.13557,0.49198,0.91842,0.00625,0.53469,11.61338,1.88622,3.21689,1.36082,28.49092,1.07715,26.48518,11.72145,134.89359,10.17807,0.16613,365.72831,18.89239,14.71508,0.66604,35.96236,12.00503,6.31608,5.8589,27.40268,1.38335,2.83306,7.75443,11.403,1.45604
2008年,28.91267,60.41814,1.94422,0.0,7.61818,289.32077,43.63542,8.79439,4.62839,3434.8984,5.50588,0.25242,1.74725,0.45907,1.01524,103.14954,3.78403,3.38765,8.34603,41.88113,1.12507,28.51307,15.34453,799.59834,12.99273,0.26974,1520.57255,68.2855,19.60688,1.31182,68.54798,25.12936,11.04986,5.91169,30.81157,2.41372,13.05655,7.65361,186.24172,1.66169
2009年,28.03537,65.15465,1.85596,0.0,4.35457,211.62198,10.5635,8.01853,4.84489,1553.85124,7.10719,0.29834,1.34494,0.66367,0.42171,92.06964,4.18086,3.46084,1.43184,46.35241,0.47165,28.40474,7.93801,504.11733,12.07035,0.18807,66.65629,144.49208,15.03088,0.58021,67.1197,17.08131,23.12837,7.53331,29.36822,1.30908,5.10631,7.56342,116.72752,7.1835
2010年,18.5871,46.47779,1.53869,0.0,4.12372,122.66011,2.10084,4.45635,4.65457,1133.46201,1.48689,0.07329,1.65436,0.13117,0.16996,49.37651,2.08508,2.55735,3.75934,52.86705,1.5355,39.08166,7.10973,351.20186,12.97808,0.08474,78.90543,125.20977,10.46957,0.61286,29.65572,11.88641,11.05798,6.60344,15.79756,1.05217,10.10375,5.00023,94.66336,1.69202
2011年,30.74746,98.05436,1.1757,0.0,6.98291,172.18764,10.91855,4.05872,4.29909,2285.25194,1.98966,0.00832,1.68475,0.183,0.14202,76.67673,1.73414,1.64378,7.03497,43.09792,0.23463,39.15121,7.09794,582.53246,37.69707,0.0,680.65379,164.93223,8.31835,0.7728,46.14026,21.05029,18.38814,4.2693,22.56369,0.36026,9.47174,6.67752,157.81351,14.50703
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
