,专用设备制造业国有控股工业企业个人资本金,交通运输设备制造业国有控股工业企业个人资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业个人资本金,其他采矿业国有控股工业企业个人资本金,农副食品加工业国有控股工业企业个人资本金,化学原料及化学制品制造业国有控股工业企业个人资本金,化学纤维制造业国有控股工业企业个人资本金,医药制造业国有控股工业企业个人资本金,印刷业和记录媒介的复制国有控股工业企业个人资本金,国有控股工业企业个人资本金,塑料制品业国有控股工业企业个人资本金,家具制造业国有控股工业企业个人资本金,工艺品及其他制造业国有控股工业企业个人资本金,废弃资源和废旧材料回收加工业国有控股工业企业个人资本金,文教体育用品制造业国有控股工业企业个人资本金,有色金属冶炼及压延加工业国有控股工业企业个人资本金,有色金属矿采选业国有控股工业企业个人资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业个人资本金,橡胶制品业国有控股工业企业个人资本金,水的生产和供应业国有控股工业企业个人资本金,烟草制品业国有控股工业企业个人资本金,煤炭开采和洗选业国有控股工业企业个人资本金,燃气生产和供应业国有控股工业企业个人资本金,电力、热力的生产和供应业国有控股工业企业个人资本金,电气机械及器材制造业国有控股工业企业个人资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业个人资本金,石油加工、炼焦及核燃料加工业国有控股工业企业个人资本金,石油和天然气开采业国有控股工业企业个人资本金,纺织业国有控股工业企业个人资本金,纺织服装、鞋、帽制造业国有控股工业企业个人资本金,通信设备、计算机及其他电子设备制造国有控股工业企业个人资本金,通用设备制造业国有控股工业企业个人资本金,造纸及纸制品业国有控股工业企业个人资本金,金属制品业国有控股工业企业个人资本金,非金属矿物制品业国有控股工业企业个人资本金,非金属矿采选业国有控股工业企业个人资本金,食品制造业国有控股工业企业个人资本金,饮料制造业国有控股工业企业个人资本金,黑色金属冶炼及压延加工业国有控股工业企业个人资本金,黑色金属矿采选业国有控股工业企业个人资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,25.98853,48.39878,6.36674,0.0,14.78795,81.12943,10.35857,62.20083,6.52595,711.70707,7.58603,0.0479,0.62499,0.0,0.44337,26.69548,2.39324,3.4397,7.38579,3.70195,0.01555,8.4164,3.75703,36.13917,23.4105,0.23526,18.89793,5.17312,37.89691,1.98738,61.87351,30.07725,24.33226,9.96999,39.17673,2.57448,12.5591,32.95692,53.12882,1.05353
2004年,30.9414,64.31546,8.45438,0.0,19.229,77.34399,16.88845,66.64937,7.05055,779.19216,9.55912,0.10896,0.73104,0.01,0.85923,31.98412,2.47379,3.6245,5.39842,5.40379,0.01976,24.10211,4.85155,63.32848,23.03441,0.01697,16.67093,5.12527,28.58829,1.46206,58.2389,28.61206,18.63281,11.28471,39.38527,2.50183,10.79438,26.36323,64.07811,1.07546
2005年,30.97572,74.86683,9.90424,0.0,26.74141,72.22178,10.46024,58.32765,6.31694,805.38978,8.14338,0.20179,1.6468,0.01,0.34543,28.66861,3.1933,4.52817,8.27907,4.6873,0.01545,19.91618,2.89352,93.79919,28.08864,0.11704,17.30603,7.94012,24.63472,1.03959,62.63304,30.16263,17.97627,10.07769,40.59741,2.29607,15.93858,24.92777,52.542,2.96918
2006年,21.01,68.24,7.45,0.0,12.83,60.33,6.14,54.12,4.65,714.35,5.61,0.22,0.89,0.04,0.33,40.45,2.93,4.45,6.72,4.44,0.01,22.4,2.18,73.42,20.01,0.14,15.09,7.59,22.01,2.08,51.61,31.96,16.6,10.91,32.05,0.81,14.81,23.56,62.99,3.25
2007年,33.76293,96.54946,9.52228,0.0,14.05762,75.56508,8.91745,56.64737,4.19076,875.94584,4.02831,0.38918,0.62122,0.0245,0.6947,35.13847,10.04134,3.87871,6.61308,4.56718,0.0591,36.85356,2.85908,95.44103,25.94151,0.22587,21.61356,9.0252,21.85032,2.21545,66.08545,33.29066,18.07863,8.58436,41.49775,1.0497,7.37338,24.55967,91.42554,2.70638
2008年,41.64128,140.49692,13.29768,0.0,16.16983,111.02162,13.69442,69.15989,5.85404,1190.89239,13.78565,0.11426,0.90829,0.1295,0.21942,49.70287,3.45881,3.86313,9.92306,4.87424,0.0091,47.41593,2.42264,150.48676,26.20116,0.0748,44.2228,0.77975,21.84609,1.35727,73.19808,32.43102,28.85183,8.28781,45.24945,2.8733,19.57922,40.94881,140.44546,5.8962
2009年,48.37776,126.90723,12.92474,0.0,21.04839,122.34375,13.41842,64.69241,8.92814,1254.80995,10.81253,0.18823,2.6298,0.1303,0.36682,43.09741,6.63652,10.1863,9.78356,6.20828,0.03136,45.89103,5.8127,161.55378,44.43676,0.21789,22.80904,0.72399,19.86141,0.77501,104.49514,47.21103,16.32587,11.35768,64.82243,3.62884,14.00193,36.54808,141.03059,4.5948
2010年,104.02953,117.88221,12.15601,0.0,21.72441,113.89783,1.32798,66.05242,7.70932,1356.49423,13.62586,0.21048,3.71505,0.48923,0.72864,54.51096,2.61691,5.27189,10.45429,9.54208,5.59482,75.25138,5.21409,166.75405,35.8853,0.085,32.26725,0.28833,21.48336,0.87067,114.92474,40.5178,22.8722,14.32847,80.81663,2.66345,11.54649,53.3234,119.07313,6.78857
2011年,97.8732,150.75533,21.53697,0.0,22.60458,131.1771,6.68658,85.32189,7.44636,1563.84629,12.32325,0.33795,3.92896,0.64,0.178,52.43174,6.62158,5.8781,12.24147,14.11234,0.10001,87.79084,15.03177,166.30922,44.76221,0.16128,30.47734,1.22349,27.31395,0.41448,126.74023,49.27624,21.888,15.90724,59.0155,6.97011,17.48016,54.46169,189.46598,16.96115
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
