,专用设备制造业国有控股工业企业所有者权益合计,交通运输设备制造业国有控股工业企业所有者权益合计,仪器仪表及文化、办公用机械制造业国有控股工业企业所有者权益合计,其他采矿业国有控股工业企业所有者权益合计,农副食品加工业国有控股工业企业所有者权益合计,化学原料及化学制品制造业国有控股工业企业所有者权益合计,化学纤维制造业国有控股工业企业所有者权益合计,医药制造业国有控股工业企业所有者权益合计,印刷业和记录媒介的复制国有控股工业企业所有者权益合计,国有控股工业企业所有者权益合计,塑料制品业国有控股工业企业所有者权益合计,家具制造业国有控股工业企业所有者权益合计,工艺品及其他制造业国有控股工业企业所有者权益合计,废弃资源和废旧材料回收加工业国有控股工业企业所有者权益合计,文教体育用品制造业国有控股工业企业所有者权益合计,有色金属冶炼及压延加工业国有控股工业企业所有者权益合计,有色金属矿采选业国有控股工业企业所有者权益合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业所有者权益合计,橡胶制品业国有控股工业企业所有者权益合计,水的生产和供应业国有控股工业企业所有者权益合计,烟草制品业国有控股工业企业所有者权益合计,煤炭开采和洗选业国有控股工业企业所有者权益合计,燃气生产和供应业国有控股工业企业所有者权益合计,电力、热力的生产和供应业国有控股工业企业所有者权益合计,电气机械及器材制造业国有控股工业企业所有者权益合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业所有者权益合计,石油加工、炼焦及核燃料加工业国有控股工业企业所有者权益合计,石油和天然气开采业国有控股工业企业所有者权益合计,纺织业国有控股工业企业所有者权益合计,纺织服装、鞋、帽制造业国有控股工业企业所有者权益合计,通信设备、计算机及其他电子设备制造国有控股工业企业所有者权益合计,通用设备制造业国有控股工业企业所有者权益合计,造纸及纸制品业国有控股工业企业所有者权益合计,金属制品业国有控股工业企业所有者权益合计,非金属矿物制品业国有控股工业企业所有者权益合计,非金属矿采选业国有控股工业企业所有者权益合计,食品制造业国有控股工业企业所有者权益合计,饮料制造业国有控股工业企业所有者权益合计,黑色金属冶炼及压延加工业国有控股工业企业所有者权益合计,黑色金属矿采选业国有控股工业企业所有者权益合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,746.98712,3257.68102,153.32764,22.08009,300.32053,2475.06354,301.11504,903.85944,251.9325,38381.02,187.08284,22.05547,20.79179,0.31118,29.87878,819.02896,137.25392,91.61305,171.64713,1080.9617,1600.05463,2109.59846,380.10361,8177.56755,599.30439,8.12826,1612.58811,3065.02959,552.43248,49.13389,1599.43036,910.51232,415.49314,187.36939,916.25645,203.01212,260.07912,714.29352,3899.05726,148.58237
2004年,763.39993,3721.66652,160.18102,0.065,273.15711,2600.50242,360.37487,855.04402,283.32323,47479.25,177.95361,25.66473,104.7488,2.3287,30.4868,939.26263,191.07913,96.84401,166.2127,1352.90105,1876.34841,2375.10016,485.20909,14760.24886,561.74518,7.40431,1763.01905,3611.22697,381.22344,42.11432,1542.48468,1027.55191,340.11623,204.07725,949.66285,172.51739,201.58325,559.68254,4242.8276,269.91226
2005年,825.43673,3561.14185,186.03495,1.55684,275.45443,2848.33095,345.6879,934.63649,277.50552,50625.0,162.29401,21.46496,65.36228,4.21595,31.67231,1112.99813,252.59123,108.49485,154.8304,1305.65885,2174.29601,2704.6436,464.64606,15226.64039,581.3668,10.2537,2165.80806,4210.77171,356.95941,42.33535,1590.50337,989.36597,340.93058,205.39631,898.69875,112.54816,259.23382,662.26396,4854.55451,298.4121
2006年,904.88,4356.14,209.34,-0.03,290.25,3542.44,389.58,871.58,265.49,58656.37,163.1,22.46,70.47,5.68,30.34,1435.38,387.77,100.44,123.62,1451.81,2418.75,3390.43,495.4,17992.99,662.3,8.63,2373.2,5044.38,421.45,46.22,1318.66,1129.89,333.74,226.0,1167.06,134.11,280.0,732.94,5496.12,363.34
2007年,1164.13618,5284.6122,248.86198,0.03648,317.85327,4020.47962,428.02747,959.38948,274.04044,68568.59,126.78511,16.65381,95.38583,11.5026,29.47003,2174.57867,404.55204,80.33764,133.92936,1498.0002,2819.06494,4089.47799,406.5737,20174.47632,716.7893,9.63397,3005.09136,5908.2917,393.32845,50.09585,1514.35711,1515.82742,333.8946,293.86402,1088.57557,134.26887,350.59143,790.05607,7244.19273,461.5064
2008年,1515.98617,6077.06269,380.16357,0.03663,326.09818,4300.77027,291.82886,988.6215,302.07367,77388.89,173.44783,20.29582,82.961,42.94739,29.38337,2621.65866,494.4348,64.98565,156.91278,1727.25847,3364.65667,5725.27492,555.5492,20275.34433,1056.28386,27.15654,3128.87019,7527.30527,301.30567,52.9264,1901.96592,1578.69027,528.31717,344.82508,1402.00202,189.28441,260.19667,925.30201,7937.77689,708.92735
2009年,1735.42801,7247.12617,387.19515,0.03686,409.79393,4497.53943,240.86562,1009.07862,349.88787,85186.57,148.48267,18.59879,118.76578,56.43712,20.17019,2812.27477,540.61772,64.02289,190.39576,1794.65596,3731.66682,7039.4315,656.40073,21676.10011,1053.40678,11.06538,3140.35487,7852.13777,331.34652,49.66276,2405.99195,1873.79427,426.94149,391.23215,1464.8883,211.63878,282.98908,1079.1164,9318.99455,548.03707
2010年,2427.8139,8979.53706,453.06668,0.17047,510.75912,5049.82958,260.501,1283.47037,364.81821,98085.57,195.58972,24.87229,169.63332,20.76275,21.49755,3262.21454,695.40566,63.57304,210.15886,2023.83342,4135.53531,8778.43962,696.03901,23262.22285,1414.75255,18.47654,3997.30876,9174.58086,353.70811,61.74412,2803.08286,2061.06959,599.90885,475.18248,1912.73866,318.11495,312.64391,1222.01566,9010.88648,1459.61312
2011年,2730.36205,10401.14889,579.92014,0.0,471.37186,5184.59175,241.63434,1455.58669,350.40879,109233.21,216.80251,29.99311,245.38768,24.30191,21.58815,3694.50219,812.61969,79.31027,233.20484,2120.53805,4646.62408,10828.82581,806.96125,25647.79414,1776.71298,20.66155,4454.44149,9294.05267,374.58782,59.64293,3627.51477,2244.25777,481.60784,560.47623,2354.32215,385.81451,316.79765,1535.97363,9272.5983,1650.2665
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
